"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Info"
"3","0.036213033","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-38dBm","Beacon frame, SN=2029, FN=0, Flags=........C, BI=100, SSID=z5206677"
"13","0.138593206","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-39dBm","Beacon frame, SN=2030, FN=0, Flags=........C, BI=100, SSID=z5206677"
"17","0.241240600","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-38dBm","Beacon frame, SN=2031, FN=0, Flags=........C, BI=100, SSID=z5206677"
"21","0.343646537","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-43dBm","Beacon frame, SN=2032, FN=0, Flags=........C, BI=100, SSID=z5206677"
"27","0.445994966","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-40dBm","Beacon frame, SN=2033, FN=0, Flags=........C, BI=100, SSID=z5206677"
"31","0.548430765","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-39dBm","Beacon frame, SN=2034, FN=0, Flags=........C, BI=100, SSID=z5206677"
"35","0.650716382","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-46dBm","Beacon frame, SN=2035, FN=0, Flags=........C, BI=100, SSID=z5206677"
"51","0.753104997","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-41dBm","Beacon frame, SN=2038, FN=0, Flags=........C, BI=100, SSID=z5206677"
"61","0.855639984","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-40dBm","Beacon frame, SN=2039, FN=0, Flags=........C, BI=100, SSID=z5206677"
"79","0.958447246","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-39dBm","Beacon frame, SN=2041, FN=0, Flags=........C, BI=100, SSID=z5206677"
"147","1.060420814","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-40dBm","Beacon frame, SN=2043, FN=0, Flags=........C, BI=100, SSID=z5206677"
"194","1.162865697","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-41dBm","Beacon frame, SN=2047, FN=0, Flags=........C, BI=100, SSID=z5206677"
