"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Info"
"1","0.000000000","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=2581, FN=0, Flags=........C, BI=100, SSID=z5206677"
"2","0.204789890","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-60dBm","Beacon frame, SN=2583, FN=0, Flags=........C, BI=100, SSID=z5206677"
"3","0.308332466","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=2584, FN=0, Flags=........C, BI=100, SSID=z5206677"
"4","0.512002772","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=2586, FN=0, Flags=........C, BI=100, SSID=z5206677"
"5","0.819187192","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=2589, FN=0, Flags=........C, BI=100, SSID=z5206677"
"6","0.921601774","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=2590, FN=0, Flags=........C, BI=100, SSID=z5206677"
"7","1.026353659","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-60dBm","Beacon frame, SN=2591, FN=0, Flags=........C, BI=100, SSID=z5206677"
"8","1.228707729","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=2593, FN=0, Flags=........C, BI=100, SSID=z5206677"
"9","1.333212546","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=2594, FN=0, Flags=........C, BI=100, SSID=z5206677"
"10","1.433545328","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=2595, FN=0, Flags=........C, BI=100, SSID=z5206677"
"11","1.538843339","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=2596, FN=0, Flags=........C, BI=100, SSID=z5206677"
"12","1.843300821","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=2597, FN=0, Flags=........C, BI=100, SSID=z5206677"
"13","2.458318863","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=2600, FN=0, Flags=........C, BI=100, SSID=z5206677"
"14","2.560142387","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=2601, FN=0, Flags=........C, BI=100, SSID=z5206677"
"15","2.766227395","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-58dBm","Beacon frame, SN=2603, FN=0, Flags=........C, BI=100, SSID=z5206677"
"16","2.868887093","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=2604, FN=0, Flags=........C, BI=100, SSID=z5206677"
"17","2.969601278","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=2605, FN=0, Flags=........C, BI=100, SSID=z5206677"
"18","3.174561170","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=2607, FN=0, Flags=........C, BI=100, SSID=z5206677"
"19","3.276907713","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=2608, FN=0, Flags=........C, BI=100, SSID=z5206677"
"20","3.380309075","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=2609, FN=0, Flags=........C, BI=100, SSID=z5206677"
"21","3.482721675","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=2610, FN=0, Flags=........C, BI=100, SSID=z5206677"
"22","3.687518762","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=2612, FN=0, Flags=........C, BI=100, SSID=z5206677"
"23","3.789886957","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=2613, FN=0, Flags=........C, BI=100, SSID=z5206677"
"24","3.891387246","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=2614, FN=0, Flags=........C, BI=100, SSID=z5206677"
"25","3.993714641","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=2615, FN=0, Flags=........C, BI=100, SSID=z5206677"
"26","4.301047952","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=2618, FN=0, Flags=........C, BI=100, SSID=z5206677"
"27","4.403127711","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=2619, FN=0, Flags=........C, BI=100, SSID=z5206677"
"28","4.608046189","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=2621, FN=0, Flags=........C, BI=100, SSID=z5206677"
"29","4.813673533","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=2623, FN=0, Flags=........C, BI=100, SSID=z5206677"
"30","4.916294101","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=2624, FN=0, Flags=........C, BI=100, SSID=z5206677"
"31","5.120012636","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=2626, FN=0, Flags=........C, BI=100, SSID=z5206677"
"32","5.222494857","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=2627, FN=0, Flags=........C, BI=100, SSID=z5206677"
"33","5.428279286","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=2629, FN=0, Flags=........C, BI=100, SSID=z5206677"
"34","5.530668216","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=2630, FN=0, Flags=........C, BI=100, SSID=z5206677"
"35","5.631968765","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=2631, FN=0, Flags=........C, BI=100, SSID=z5206677"
"36","5.735500489","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=2632, FN=0, Flags=........C, BI=100, SSID=z5206677"
"37","5.939296325","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=2634, FN=0, Flags=........C, BI=100, SSID=z5206677"
"38","6.041982938","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=2635, FN=0, Flags=........C, BI=100, SSID=z5206677"
"39","6.247483903","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=2637, FN=0, Flags=........C, BI=100, SSID=z5206677"
"40","6.349369677","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=2638, FN=0, Flags=........C, BI=100, SSID=z5206677"
"41","6.451813430","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=2639, FN=0, Flags=........C, BI=100, SSID=z5206677"
"42","6.554961801","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=2640, FN=0, Flags=........C, BI=100, SSID=z5206677"
"43","6.754422202","0a:c5:e1:a7:65:73","HonHaiPr_bd:47:c2","802.11","314","-58dBm","Probe Response, SN=2642, FN=0, Flags=........C, BI=100, SSID=z5206677"
"44","6.759483520","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-58dBm","Beacon frame, SN=2643, FN=0, Flags=........C, BI=100, SSID=z5206677"
"45","7.066669961","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=2646, FN=0, Flags=........C, BI=100, SSID=z5206677"
"46","7.271039322","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=2648, FN=0, Flags=........C, BI=100, SSID=z5206677"
"47","7.372860293","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=2649, FN=0, Flags=........C, BI=100, SSID=z5206677"
"48","7.476258595","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=2650, FN=0, Flags=........C, BI=100, SSID=z5206677"
"49","7.578305278","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=2651, FN=0, Flags=........C, BI=100, SSID=z5206677"
"50","7.679979648","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=2652, FN=0, Flags=........C, BI=100, SSID=z5206677"
"51","7.783440791","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=2653, FN=0, Flags=........C, BI=100, SSID=z5206677"
"52","7.885885842","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=2654, FN=0, Flags=........C, BI=100, SSID=z5206677"
"53","7.987289796","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-58dBm","Beacon frame, SN=2655, FN=0, Flags=........C, BI=100, SSID=z5206677"
"54","8.089612448","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=2656, FN=0, Flags=........C, BI=100, SSID=z5206677"
"55","8.397672392","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=2659, FN=0, Flags=........C, BI=100, SSID=z5206677"
"56","8.500302759","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=2660, FN=0, Flags=........C, BI=100, SSID=z5206677"
"57","8.602647973","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=2661, FN=0, Flags=........C, BI=100, SSID=z5206677"
"58","8.704215180","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=2662, FN=0, Flags=........C, BI=100, SSID=z5206677"
"59","8.806457337","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=2663, FN=0, Flags=........C, BI=100, SSID=z5206677"
"60","8.909843430","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=2664, FN=0, Flags=........C, BI=100, SSID=z5206677"
"61","9.011820213","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=2665, FN=0, Flags=........C, BI=100, SSID=z5206677"
"62","9.113581414","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=2666, FN=0, Flags=........C, BI=100, SSID=z5206677"
"63","9.319367964","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=2668, FN=0, Flags=........C, BI=100, SSID=z5206677"
"64","9.523200877","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=2670, FN=0, Flags=........C, BI=100, SSID=z5206677"
"65","9.630017358","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=2671, FN=0, Flags=........C, BI=100, SSID=z5206677"
"66","9.727989273","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=2672, FN=0, Flags=........C, BI=100, SSID=z5206677"
"67","9.831449501","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=2673, FN=0, Flags=........C, BI=100, SSID=z5206677"
"68","9.933860151","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=2674, FN=0, Flags=........C, BI=100, SSID=z5206677"
"69","10.035316229","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=2675, FN=0, Flags=........C, BI=100, SSID=z5206677"
"70","10.240901339","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=2677, FN=0, Flags=........C, BI=100, SSID=z5206677"
"71","10.343060321","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=2678, FN=0, Flags=........C, BI=100, SSID=z5206677"
"72","10.445968809","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=2679, FN=0, Flags=........C, BI=100, SSID=z5206677"
