"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Info"
"1","0.000000000","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-40dBm","Beacon frame, SN=1086, FN=0, Flags=........C, BI=100, SSID=z5206677"
"2","0.101413481","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-40dBm","Beacon frame, SN=1087, FN=0, Flags=........C, BI=100, SSID=z5206677"
"3","0.204145934","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-40dBm","Beacon frame, SN=1088, FN=0, Flags=........C, BI=100, SSID=z5206677"
"4","0.306542493","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-40dBm","Beacon frame, SN=1089, FN=0, Flags=........C, BI=100, SSID=z5206677"
"5","0.511007754","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-44dBm","Beacon frame, SN=1091, FN=0, Flags=........C, BI=100, SSID=z5206677"
"6","0.613767545","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-40dBm","Beacon frame, SN=1092, FN=0, Flags=........C, BI=100, SSID=z5206677"
"7","0.719016819","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-40dBm","Beacon frame, SN=1093, FN=0, Flags=........C, BI=100, SSID=z5206677"
"8","0.829440438","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-40dBm","Beacon frame, SN=1094, FN=0, Flags=........C, BI=100, SSID=z5206677"
"9","0.923703881","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-40dBm","Beacon frame, SN=1095, FN=0, Flags=........C, BI=100, SSID=z5206677"
"10","1.023018763","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-40dBm","Beacon frame, SN=1096, FN=0, Flags=........C, BI=100, SSID=z5206677"
"11","1.128831115","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-40dBm","Beacon frame, SN=1097, FN=0, Flags=........C, BI=100, SSID=z5206677"
"12","1.232662920","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-40dBm","Beacon frame, SN=1098, FN=0, Flags=........C, BI=100, SSID=z5206677"
"13","1.331015472","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-40dBm","Beacon frame, SN=1099, FN=0, Flags=........C, BI=100, SSID=z5206677"
"14","1.434180884","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-40dBm","Beacon frame, SN=1100, FN=0, Flags=........C, BI=100, SSID=z5206677"
"15","1.535015692","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-40dBm","Beacon frame, SN=1101, FN=0, Flags=........C, BI=100, SSID=z5206677"
"16","1.637564184","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-40dBm","Beacon frame, SN=1102, FN=0, Flags=........C, BI=100, SSID=z5206677"
"17","1.739941976","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-40dBm","Beacon frame, SN=1103, FN=0, Flags=........C, BI=100, SSID=z5206677"
"18","1.842628796","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-40dBm","Beacon frame, SN=1104, FN=0, Flags=........C, BI=100, SSID=z5206677"
"19","2.150541672","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-40dBm","Beacon frame, SN=1107, FN=0, Flags=........C, BI=100, SSID=z5206677"
"20","2.252957772","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-40dBm","Beacon frame, SN=1108, FN=0, Flags=........C, BI=100, SSID=z5206677"
"21","2.355006711","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-40dBm","Beacon frame, SN=1109, FN=0, Flags=........C, BI=100, SSID=z5206677"
"22","2.559008797","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-40dBm","Beacon frame, SN=1111, FN=0, Flags=........C, BI=100, SSID=z5206677"
"23","2.764955108","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-40dBm","Beacon frame, SN=1113, FN=0, Flags=........C, BI=100, SSID=z5206677"
"24","2.867360353","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-40dBm","Beacon frame, SN=1114, FN=0, Flags=........C, BI=100, SSID=z5206677"
"25","2.969525078","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-40dBm","Beacon frame, SN=1115, FN=0, Flags=........C, BI=100, SSID=z5206677"
"26","3.072154684","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-40dBm","Beacon frame, SN=1116, FN=0, Flags=........C, BI=100, SSID=z5206677"
"27","3.276066036","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-40dBm","Beacon frame, SN=1118, FN=0, Flags=........C, BI=100, SSID=z5206677"
"28","3.481755623","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-40dBm","Beacon frame, SN=1120, FN=0, Flags=........C, BI=100, SSID=z5206677"
"29","3.584166135","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-40dBm","Beacon frame, SN=1121, FN=0, Flags=........C, BI=100, SSID=z5206677"
"30","3.685601395","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-40dBm","Beacon frame, SN=1122, FN=0, Flags=........C, BI=100, SSID=z5206677"
"31","3.788941874","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-40dBm","Beacon frame, SN=1123, FN=0, Flags=........C, BI=100, SSID=z5206677"
"32","3.890265619","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-40dBm","Beacon frame, SN=1124, FN=0, Flags=........C, BI=100, SSID=z5206677"
"33","3.992678239","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-40dBm","Beacon frame, SN=1125, FN=0, Flags=........C, BI=100, SSID=z5206677"
"34","4.094964037","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-40dBm","Beacon frame, SN=1126, FN=0, Flags=........C, BI=100, SSID=z5206677"
"35","4.197482983","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-40dBm","Beacon frame, SN=1127, FN=0, Flags=........C, BI=100, SSID=z5206677"
"36","4.505753538","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-40dBm","Beacon frame, SN=1130, FN=0, Flags=........C, BI=100, SSID=z5206677"
"37","4.606996830","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-40dBm","Beacon frame, SN=1131, FN=0, Flags=........C, BI=100, SSID=z5206677"
"38","4.811794685","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-40dBm","Beacon frame, SN=1133, FN=0, Flags=........C, BI=100, SSID=z5206677"
"39","4.914970021","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-40dBm","Beacon frame, SN=1134, FN=0, Flags=........C, BI=100, SSID=z5206677"
"40","5.017723457","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-40dBm","Beacon frame, SN=1135, FN=0, Flags=........C, BI=100, SSID=z5206677"
"41","5.221355063","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-38dBm","Beacon frame, SN=1137, FN=0, Flags=........C, BI=100, SSID=z5206677"
"42","5.326702631","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-40dBm","Beacon frame, SN=1138, FN=0, Flags=........C, BI=100, SSID=z5206677"
"43","5.426342354","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-40dBm","Beacon frame, SN=1139, FN=0, Flags=........C, BI=100, SSID=z5206677"
"44","5.529001162","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-40dBm","Beacon frame, SN=1140, FN=0, Flags=........C, BI=100, SSID=z5206677"
