"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Info"
"1","0.000000000","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-48dBm","Beacon frame, SN=38, FN=0, Flags=........C, BI=100, SSID=z5206677"
"2","0.102401457","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-44dBm","Beacon frame, SN=39, FN=0, Flags=........C, BI=100, SSID=z5206677"
"3","0.204812393","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-48dBm","Beacon frame, SN=40, FN=0, Flags=........C, BI=100, SSID=z5206677"
"4","0.307232354","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-48dBm","Beacon frame, SN=41, FN=0, Flags=........C, BI=100, SSID=z5206677"
"5","0.409567846","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-48dBm","Beacon frame, SN=42, FN=0, Flags=........C, BI=100, SSID=z5206677"
"6","0.614401372","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-48dBm","Beacon frame, SN=44, FN=0, Flags=........C, BI=100, SSID=z5206677"
"7","0.921602590","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-52dBm","Beacon frame, SN=47, FN=0, Flags=........C, BI=100, SSID=z5206677"
"8","1.024036346","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-52dBm","Beacon frame, SN=48, FN=0, Flags=........C, BI=100, SSID=z5206677"
"9","1.126375282","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-52dBm","Beacon frame, SN=49, FN=0, Flags=........C, BI=100, SSID=z5206677"
"10","1.228774405","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-52dBm","Beacon frame, SN=50, FN=0, Flags=........C, BI=100, SSID=z5206677"
"11","1.433656528","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=52, FN=0, Flags=........C, BI=100, SSID=z5206677"
"12","1.536004792","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-44dBm","Beacon frame, SN=53, FN=0, Flags=........C, BI=100, SSID=z5206677"
"13","1.638401512","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-48dBm","Beacon frame, SN=54, FN=0, Flags=........C, BI=100, SSID=z5206677"
"14","1.843177459","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-48dBm","Beacon frame, SN=56, FN=0, Flags=........C, BI=100, SSID=z5206677"
"15","1.945601317","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-48dBm","Beacon frame, SN=57, FN=0, Flags=........C, BI=100, SSID=z5206677"
"16","2.150402405","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-48dBm","Beacon frame, SN=59, FN=0, Flags=........C, BI=100, SSID=z5206677"
"17","2.252779932","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-48dBm","Beacon frame, SN=60, FN=0, Flags=........C, BI=100, SSID=z5206677"
"18","2.355170976","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-48dBm","Beacon frame, SN=61, FN=0, Flags=........C, BI=100, SSID=z5206677"
"19","2.457610353","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-50dBm","Beacon frame, SN=62, FN=0, Flags=........C, BI=100, SSID=z5206677"
"20","2.559992574","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-48dBm","Beacon frame, SN=63, FN=0, Flags=........C, BI=100, SSID=z5206677"
"21","2.662365319","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-44dBm","Beacon frame, SN=64, FN=0, Flags=........C, BI=100, SSID=z5206677"
"22","2.867177283","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-48dBm","Beacon frame, SN=66, FN=0, Flags=........C, BI=100, SSID=z5206677"
"23","3.071993514","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-48dBm","Beacon frame, SN=68, FN=0, Flags=........C, BI=100, SSID=z5206677"
"24","3.174387355","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-48dBm","Beacon frame, SN=69, FN=0, Flags=........C, BI=100, SSID=z5206677"
"25","3.276780243","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-48dBm","Beacon frame, SN=70, FN=0, Flags=........C, BI=100, SSID=z5206677"
"26","3.379198796","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-48dBm","Beacon frame, SN=71, FN=0, Flags=........C, BI=100, SSID=z5206677"
"27","3.481555559","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-48dBm","Beacon frame, SN=72, FN=0, Flags=........C, BI=100, SSID=z5206677"
"28","3.686382315","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-48dBm","Beacon frame, SN=74, FN=0, Flags=........C, BI=100, SSID=z5206677"
"29","3.788764005","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-48dBm","Beacon frame, SN=75, FN=0, Flags=........C, BI=100, SSID=z5206677"
"30","3.891157826","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-48dBm","Beacon frame, SN=76, FN=0, Flags=........C, BI=100, SSID=z5206677"
"31","3.993640647","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-48dBm","Beacon frame, SN=77, FN=0, Flags=........C, BI=100, SSID=z5206677"
"32","4.403158867","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-48dBm","Beacon frame, SN=81, FN=0, Flags=........C, BI=100, SSID=z5206677"
"33","4.710369622","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-48dBm","Beacon frame, SN=84, FN=0, Flags=........C, BI=100, SSID=z5206677"
"34","4.812766934","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-48dBm","Beacon frame, SN=85, FN=0, Flags=........C, BI=100, SSID=z5206677"
"35","4.915162308","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-48dBm","Beacon frame, SN=86, FN=0, Flags=........C, BI=100, SSID=z5206677"
"36","5.017558939","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-48dBm","Beacon frame, SN=87, FN=0, Flags=........C, BI=100, SSID=z5206677"
"37","5.222348824","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-48dBm","Beacon frame, SN=89, FN=0, Flags=........C, BI=100, SSID=z5206677"
"38","5.324687080","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-48dBm","Beacon frame, SN=90, FN=0, Flags=........C, BI=100, SSID=z5206677"
"39","5.631956735","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-48dBm","Beacon frame, SN=93, FN=0, Flags=........C, BI=100, SSID=z5206677"
"40","5.734348789","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-48dBm","Beacon frame, SN=94, FN=0, Flags=........C, BI=100, SSID=z5206677"
"41","5.836767036","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-48dBm","Beacon frame, SN=95, FN=0, Flags=........C, BI=100, SSID=z5206677"
"42","6.143932849","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-48dBm","Beacon frame, SN=98, FN=0, Flags=........C, BI=100, SSID=z5206677"
"43","6.246351699","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-48dBm","Beacon frame, SN=99, FN=0, Flags=........C, BI=100, SSID=z5206677"
"44","6.348742053","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-48dBm","Beacon frame, SN=100, FN=0, Flags=........C, BI=100, SSID=z5206677"
"45","6.451199442","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-48dBm","Beacon frame, SN=101, FN=0, Flags=........C, BI=100, SSID=z5206677"
"46","6.553558972","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-48dBm","Beacon frame, SN=102, FN=0, Flags=........C, BI=100, SSID=z5206677"
"47","6.655931882","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-48dBm","Beacon frame, SN=103, FN=0, Flags=........C, BI=100, SSID=z5206677"
"48","6.860744214","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-48dBm","Beacon frame, SN=105, FN=0, Flags=........C, BI=100, SSID=z5206677"
"49","6.963129304","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-48dBm","Beacon frame, SN=106, FN=0, Flags=........C, BI=100, SSID=z5206677"
"50","7.167932969","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-48dBm","Beacon frame, SN=108, FN=0, Flags=........C, BI=100, SSID=z5206677"
"51","7.270352254","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-48dBm","Beacon frame, SN=109, FN=0, Flags=........C, BI=100, SSID=z5206677"
"52","7.372747247","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-48dBm","Beacon frame, SN=110, FN=0, Flags=........C, BI=100, SSID=z5206677"
"53","7.475145420","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-48dBm","Beacon frame, SN=111, FN=0, Flags=........C, BI=100, SSID=z5206677"
"54","7.577516426","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-48dBm","Beacon frame, SN=112, FN=0, Flags=........C, BI=100, SSID=z5206677"
"55","7.782311136","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-48dBm","Beacon frame, SN=114, FN=0, Flags=........C, BI=100, SSID=z5206677"
"56","7.884705450","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-48dBm","Beacon frame, SN=115, FN=0, Flags=........C, BI=100, SSID=z5206677"
"57","8.089547490","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-48dBm","Beacon frame, SN=117, FN=0, Flags=........C, BI=100, SSID=z5206677"
"58","8.191934705","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-48dBm","Beacon frame, SN=118, FN=0, Flags=........C, BI=100, SSID=z5206677"
"59","8.396748368","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-48dBm","Beacon frame, SN=120, FN=0, Flags=........C, BI=100, SSID=z5206677"
"60","8.499131114","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-48dBm","Beacon frame, SN=121, FN=0, Flags=........C, BI=100, SSID=z5206677"
"61","8.601521181","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-48dBm","Beacon frame, SN=122, FN=0, Flags=........C, BI=100, SSID=z5206677"
"62","8.703924395","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-48dBm","Beacon frame, SN=123, FN=0, Flags=........C, BI=100, SSID=z5206677"
"63","8.806318770","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-50dBm","Beacon frame, SN=124, FN=0, Flags=........C, BI=100, SSID=z5206677"
"64","8.905732327","0a:c5:e1:a7:65:73","e2:12:d7:2b:07:3b","802.11","314","-56dBm","Probe Response, SN=126, FN=0, Flags=....R...C, BI=100, SSID=z5206677"
"65","8.908705593","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-48dBm","Beacon frame, SN=127, FN=0, Flags=........C, BI=100, SSID=z5206677"
"66","8.925488147","0a:c5:e1:a7:65:73","e2:12:d7:2b:07:3b","802.11","314","-56dBm","Probe Response, SN=128, FN=0, Flags=........C, BI=100, SSID=z5206677"
"67","8.928388592","0a:c5:e1:a7:65:73","e2:12:d7:2b:07:3b","802.11","314","-56dBm","Probe Response, SN=128, FN=0, Flags=....R...C, BI=100, SSID=z5206677"
"68","8.934122202","0a:c5:e1:a7:65:73","e2:12:d7:2b:07:3b","802.11","314","-56dBm","Probe Response, SN=128, FN=0, Flags=....R...C, BI=100, SSID=z5206677"
"69","8.937018585","0a:c5:e1:a7:65:73","e2:12:d7:2b:07:3b","802.11","314","-56dBm","Probe Response, SN=128, FN=0, Flags=....R...C, BI=100, SSID=z5206677"
"70","8.939860119","0a:c5:e1:a7:65:73","e2:12:d7:2b:07:3b","802.11","314","-56dBm","Probe Response, SN=128, FN=0, Flags=....R...C, BI=100, SSID=z5206677"
"71","8.942746782","0a:c5:e1:a7:65:73","e2:12:d7:2b:07:3b","802.11","314","-56dBm","Probe Response, SN=128, FN=0, Flags=....R...C, BI=100, SSID=z5206677"
"72","8.949519809","0a:c5:e1:a7:65:73","e2:12:d7:2b:07:3b","802.11","314","-56dBm","Probe Response, SN=129, FN=0, Flags=....R...C, BI=100, SSID=z5206677"
"73","8.952396311","0a:c5:e1:a7:65:73","e2:12:d7:2b:07:3b","802.11","314","-56dBm","Probe Response, SN=129, FN=0, Flags=....R...C, BI=100, SSID=z5206677"
"74","8.955279772","0a:c5:e1:a7:65:73","e2:12:d7:2b:07:3b","802.11","314","-56dBm","Probe Response, SN=129, FN=0, Flags=....R...C, BI=100, SSID=z5206677"
"75","8.958170591","0a:c5:e1:a7:65:73","e2:12:d7:2b:07:3b","802.11","314","-56dBm","Probe Response, SN=129, FN=0, Flags=....R...C, BI=100, SSID=z5206677"
"76","8.961023015","0a:c5:e1:a7:65:73","e2:12:d7:2b:07:3b","802.11","314","-56dBm","Probe Response, SN=129, FN=0, Flags=....R...C, BI=100, SSID=z5206677"
"77","8.963903483","0a:c5:e1:a7:65:73","e2:12:d7:2b:07:3b","802.11","314","-56dBm","Probe Response, SN=129, FN=0, Flags=....R...C, BI=100, SSID=z5206677"
"78","9.011122781","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-48dBm","Beacon frame, SN=130, FN=0, Flags=........C, BI=100, SSID=z5206677"
"79","9.113502318","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-48dBm","Beacon frame, SN=131, FN=0, Flags=........C, BI=100, SSID=z5206677"
"80","9.625504003","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-48dBm","Beacon frame, SN=136, FN=0, Flags=........C, BI=100, SSID=z5206677"
"81","9.727898174","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-48dBm","Beacon frame, SN=137, FN=0, Flags=........C, BI=100, SSID=z5206677"
