"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Info"
"1","0.000000000","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-68dBm","Beacon frame, SN=469, FN=0, Flags=........C, BI=100, SSID=z5206677"
"2","0.103573303","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=470, FN=0, Flags=........C, BI=100, SSID=z5206677"
"3","0.308378366","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-60dBm","Beacon frame, SN=472, FN=0, Flags=........C, BI=100, SSID=z5206677"
"4","0.410731332","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-72dBm","Beacon frame, SN=473, FN=0, Flags=........C, BI=100, SSID=z5206677"
"5","0.511963251","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=474, FN=0, Flags=........C, BI=100, SSID=z5206677"
"6","0.614566900","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-72dBm","Beacon frame, SN=475, FN=0, Flags=........C, BI=100, SSID=z5206677"
"7","0.716815407","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=476, FN=0, Flags=........C, BI=100, SSID=z5206677"
"8","0.922767662","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=478, FN=0, Flags=........C, BI=100, SSID=z5206677"
"9","1.024841984","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=479, FN=0, Flags=........C, BI=100, SSID=z5206677"
"10","1.127562831","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=480, FN=0, Flags=........C, BI=100, SSID=z5206677"
"11","1.228975189","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=481, FN=0, Flags=........C, BI=100, SSID=z5206677"
"12","1.332351142","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=482, FN=0, Flags=........C, BI=100, SSID=z5206677"
"13","1.344826377","0a:c5:e1:a7:65:73","Apple_76:c0:2a","802.11","314","-64dBm","Probe Response, SN=483, FN=0, Flags=....R...C, BI=100, SSID=z5206677"
"14","1.347736666","0a:c5:e1:a7:65:73","Apple_76:c0:2a","802.11","314","-64dBm","Probe Response, SN=483, FN=0, Flags=....R...C, BI=100, SSID=z5206677"
"15","1.351576140","0a:c5:e1:a7:65:73","Apple_76:c0:2a","802.11","314","-64dBm","Probe Response, SN=483, FN=0, Flags=....R...C, BI=100, SSID=z5206677"
"16","1.361365271","0a:c5:e1:a7:65:73","Apple_76:c0:2a","802.11","314","-68dBm","Probe Response, SN=483, FN=0, Flags=....R...C, BI=100, SSID=z5206677"
"17","1.368975147","0a:c5:e1:a7:65:73","Apple_76:c0:2a","802.11","314","-66dBm","Probe Response, SN=484, FN=0, Flags=........C, BI=100, SSID=z5206677"
"18","1.372278892","0a:c5:e1:a7:65:73","Apple_76:c0:2a","802.11","314","-68dBm","Probe Response, SN=484, FN=0, Flags=....R...C, BI=100, SSID=z5206677"
"19","1.434746472","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-72dBm","Beacon frame, SN=485, FN=0, Flags=........C, BI=100, SSID=z5206677"
"20","1.536109675","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-66dBm","Beacon frame, SN=486, FN=0, Flags=........C, BI=100, SSID=z5206677"
"21","1.639553183","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-68dBm","Beacon frame, SN=487, FN=0, Flags=........C, BI=100, SSID=z5206677"
"22","1.741711988","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=488, FN=0, Flags=........C, BI=100, SSID=z5206677"
"23","1.945702171","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=490, FN=0, Flags=........C, BI=100, SSID=z5206677"
"24","2.048968507","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=491, FN=0, Flags=........C, BI=100, SSID=z5206677"
"25","2.151534789","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=492, FN=0, Flags=........C, BI=100, SSID=z5206677"
"26","2.253546827","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=493, FN=0, Flags=........C, BI=100, SSID=z5206677"
"27","2.356327139","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=494, FN=0, Flags=........C, BI=100, SSID=z5206677"
"28","2.457804848","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-72dBm","Beacon frame, SN=495, FN=0, Flags=........C, BI=100, SSID=z5206677"
"29","2.560133675","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-68dBm","Beacon frame, SN=496, FN=0, Flags=........C, BI=100, SSID=z5206677"
"30","2.662521132","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-68dBm","Beacon frame, SN=497, FN=0, Flags=........C, BI=100, SSID=z5206677"
"31","2.764967139","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-68dBm","Beacon frame, SN=498, FN=0, Flags=........C, BI=100, SSID=z5206677"
"32","2.867359905","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-68dBm","Beacon frame, SN=499, FN=0, Flags=........C, BI=100, SSID=z5206677"
"33","2.970739332","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=500, FN=0, Flags=........C, BI=100, SSID=z5206677"
"34","3.073116481","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=501, FN=0, Flags=........C, BI=100, SSID=z5206677"
"35","3.175541336","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=502, FN=0, Flags=........C, BI=100, SSID=z5206677"
"36","3.276963547","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=503, FN=0, Flags=........C, BI=100, SSID=z5206677"
"37","3.380477231","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=504, FN=0, Flags=........C, BI=100, SSID=z5206677"
"38","3.482726557","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-72dBm","Beacon frame, SN=505, FN=0, Flags=........C, BI=100, SSID=z5206677"
"39","3.584976037","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-72dBm","Beacon frame, SN=506, FN=0, Flags=........C, BI=100, SSID=z5206677"
"40","3.687525828","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-72dBm","Beacon frame, SN=507, FN=0, Flags=........C, BI=100, SSID=z5206677"
"41","3.789939614","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-68dBm","Beacon frame, SN=508, FN=0, Flags=........C, BI=100, SSID=z5206677"
"42","3.892144418","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-66dBm","Beacon frame, SN=509, FN=0, Flags=........C, BI=100, SSID=z5206677"
"43","3.993785121","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=510, FN=0, Flags=........C, BI=100, SSID=z5206677"
"44","4.095922064","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=511, FN=0, Flags=........C, BI=100, SSID=z5206677"
"45","4.199496774","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=512, FN=0, Flags=........C, BI=100, SSID=z5206677"
"46","4.403287048","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-72dBm","Beacon frame, SN=514, FN=0, Flags=........C, BI=100, SSID=z5206677"
"47","4.505557329","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-72dBm","Beacon frame, SN=515, FN=0, Flags=........C, BI=100, SSID=z5206677"
"48","4.715041249","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=517, FN=0, Flags=........C, BI=100, SSID=z5206677"
"49","4.813912019","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=518, FN=0, Flags=........C, BI=100, SSID=z5206677"
"50","4.915169437","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=519, FN=0, Flags=........C, BI=100, SSID=z5206677"
"51","5.018075969","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=520, FN=0, Flags=........C, BI=100, SSID=z5206677"
"52","5.120992238","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=521, FN=0, Flags=........C, BI=100, SSID=z5206677"
"53","5.223495979","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-60dBm","Beacon frame, SN=522, FN=0, Flags=........C, BI=100, SSID=z5206677"
"54","5.325460528","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=523, FN=0, Flags=........C, BI=100, SSID=z5206677"
"55","5.530884823","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-66dBm","Beacon frame, SN=525, FN=0, Flags=........C, BI=100, SSID=z5206677"
"56","5.632974541","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=526, FN=0, Flags=........C, BI=100, SSID=z5206677"
"57","5.734340066","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=527, FN=0, Flags=........C, BI=100, SSID=z5206677"
"58","6.041649150","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=530, FN=0, Flags=........C, BI=100, SSID=z5206677"
"59","6.144969761","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=531, FN=0, Flags=........C, BI=100, SSID=z5206677"
"60","6.247488841","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=532, FN=0, Flags=........C, BI=100, SSID=z5206677"
"61","6.348689457","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=533, FN=0, Flags=........C, BI=100, SSID=z5206677"
"62","6.452599553","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-72dBm","Beacon frame, SN=534, FN=0, Flags=........C, BI=100, SSID=z5206677"
"63","6.553705680","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-72dBm","Beacon frame, SN=535, FN=0, Flags=........C, BI=100, SSID=z5206677"
"64","6.658924823","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-68dBm","Beacon frame, SN=536, FN=0, Flags=........C, BI=100, SSID=z5206677"
"65","6.758472971","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=537, FN=0, Flags=........C, BI=100, SSID=z5206677"
"66","6.860968349","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=538, FN=0, Flags=........C, BI=100, SSID=z5206677"
"67","6.963235334","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=539, FN=0, Flags=........C, BI=100, SSID=z5206677"
"68","7.066713646","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=540, FN=0, Flags=........C, BI=100, SSID=z5206677"
"69","7.168971310","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=541, FN=0, Flags=........C, BI=100, SSID=z5206677"
"70","7.270528051","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=542, FN=0, Flags=........C, BI=100, SSID=z5206677"
"71","7.373281304","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=543, FN=0, Flags=........C, BI=100, SSID=z5206677"
"72","7.475384567","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-72dBm","Beacon frame, SN=544, FN=0, Flags=........C, BI=100, SSID=z5206677"
