frame.number,frame.time,wlan_radio.signal_dbm
"1","Jun 24, 2020 13:28:26.690476757 AEST","-64"
"2","Jun 24, 2020 13:28:26.792819353 AEST","-64"
"3","Jun 24, 2020 13:28:26.896192194 AEST","-60"
"4","Jun 24, 2020 13:28:26.997438319 AEST","-64"
"5","Jun 24, 2020 13:28:27.101017095 AEST","-64"
"6","Jun 24, 2020 13:28:27.203415580 AEST","-72"
"7","Jun 24, 2020 13:28:27.304630782 AEST","-64"
"8","Jun 24, 2020 13:28:27.407053978 AEST","-64"
"9","Jun 24, 2020 13:28:27.509441859 AEST","-60"
"10","Jun 24, 2020 13:28:27.714283220 AEST","-64"
"11","Jun 24, 2020 13:28:27.817427248 AEST","-64"
"12","Jun 24, 2020 13:28:27.919055186 AEST","-68"
"13","Jun 24, 2020 13:28:28.023678467 AEST","-60"
"14","Jun 24, 2020 13:28:28.226248747 AEST","-56"
"15","Jun 24, 2020 13:28:28.329469828 AEST","-64"
"16","Jun 24, 2020 13:28:28.533468038 AEST","-64"
"17","Jun 24, 2020 13:28:28.636799277 AEST","-68"
"18","Jun 24, 2020 13:28:28.840797010 AEST","-64"
"19","Jun 24, 2020 13:28:28.943034376 AEST","-68"
"20","Jun 24, 2020 13:28:29.045487983 AEST","-64"
"21","Jun 24, 2020 13:28:29.148980943 AEST","-66"
"22","Jun 24, 2020 13:28:29.250579426 AEST","-68"
"23","Jun 24, 2020 13:28:29.455009372 AEST","-66"
"24","Jun 24, 2020 13:28:29.557450936 AEST","-66"
"25","Jun 24, 2020 13:28:29.659829661 AEST","-68"
"26","Jun 24, 2020 13:28:29.763372233 AEST","-68"
"27","Jun 24, 2020 13:28:29.864737018 AEST","-66"
"28","Jun 24, 2020 13:28:29.967023705 AEST","-68"
"29","Jun 24, 2020 13:28:30.171830880 AEST","-66"
"30","Jun 24, 2020 13:28:30.274225727 AEST","-66"
"31","Jun 24, 2020 13:28:30.377455185 AEST","-66"
"32","Jun 24, 2020 13:28:30.479020319 AEST","-66"
"33","Jun 24, 2020 13:28:30.581460500 AEST","-68"
"34","Jun 24, 2020 13:28:30.684958926 AEST","-68"
"35","Jun 24, 2020 13:28:30.787337186 AEST","-68"
"36","Jun 24, 2020 13:28:30.888771987 AEST","-66"
"37","Jun 24, 2020 13:28:30.992275425 AEST","-66"
"38","Jun 24, 2020 13:28:31.199650039 AEST","-66"
"39","Jun 24, 2020 13:28:31.605397269 AEST","-68"
"40","Jun 24, 2020 13:28:31.707827070 AEST","-66"
"41","Jun 24, 2020 13:28:31.811387498 AEST","-68"
"42","Jun 24, 2020 13:28:31.913763005 AEST","-66"
"43","Jun 24, 2020 13:28:32.015002867 AEST","-68"
"44","Jun 24, 2020 13:28:32.219994587 AEST","-66"
"45","Jun 24, 2020 13:28:32.322256581 AEST","-66"
"46","Jun 24, 2020 13:28:32.425422049 AEST","-66"
"47","Jun 24, 2020 13:28:32.528235694 AEST","-64"
"48","Jun 24, 2020 13:28:32.629418829 AEST","-66"
"49","Jun 24, 2020 13:28:32.732526083 AEST","-68"
"50","Jun 24, 2020 13:28:32.835339296 AEST","-68"
"51","Jun 24, 2020 13:28:32.936631528 AEST","-66"
"52","Jun 24, 2020 13:28:33.141407213 AEST","-66"
"53","Jun 24, 2020 13:28:33.243904828 AEST","-66"
"54","Jun 24, 2020 13:28:33.347346222 AEST","-64"
"55","Jun 24, 2020 13:28:33.449515610 AEST","-66"
"56","Jun 24, 2020 13:28:33.551791245 AEST","-68"
"57","Jun 24, 2020 13:28:33.756938436 AEST","-68"
"58","Jun 24, 2020 13:28:33.859013173 AEST","-66"
"59","Jun 24, 2020 13:28:34.064134648 AEST","-66"
"60","Jun 24, 2020 13:28:34.165339033 AEST","-66"
"61","Jun 24, 2020 13:28:34.267976429 AEST","-64"
"62","Jun 24, 2020 13:28:34.472583149 AEST","-66"
"63","Jun 24, 2020 13:28:34.574947242 AEST","-68"
"64","Jun 24, 2020 13:28:34.780940879 AEST","-66"
"65","Jun 24, 2020 13:28:34.882294869 AEST","-68"
"66","Jun 24, 2020 13:28:34.984604422 AEST","-66"
"67","Jun 24, 2020 13:28:35.086996658 AEST","-66"
"68","Jun 24, 2020 13:28:35.189390928 AEST","-66"
"69","Jun 24, 2020 13:28:35.291712460 AEST","-66"
"70","Jun 24, 2020 13:28:35.804131661 AEST","-64"
"71","Jun 24, 2020 13:28:35.906197130 AEST","-66"
"72","Jun 24, 2020 13:28:36.009432336 AEST","-66"
"73","Jun 24, 2020 13:28:36.213354045 AEST","-66"
"74","Jun 24, 2020 13:28:36.316184981 AEST","-64"
"75","Jun 24, 2020 13:28:36.418182002 AEST","-66"
"76","Jun 24, 2020 13:28:36.521433401 AEST","-66"
"77","Jun 24, 2020 13:28:36.624112785 AEST","-66"
"78","Jun 24, 2020 13:28:37.032570572 AEST","-66"
"79","Jun 24, 2020 13:28:37.134910304 AEST","-64"
"80","Jun 24, 2020 13:28:37.237319754 AEST","-64"
"81","Jun 24, 2020 13:28:37.443318815 AEST","-66"
"82","Jun 24, 2020 13:28:37.749289562 AEST","-68"
"83","Jun 24, 2020 13:28:37.851772605 AEST","-66"
"84","Jun 24, 2020 13:28:37.955301429 AEST","-66"
"85","Jun 24, 2020 13:28:38.057394620 AEST","-66"
"86","Jun 24, 2020 13:28:38.159092944 AEST","-66"
"87","Jun 24, 2020 13:28:38.363835143 AEST","-66"
"88","Jun 24, 2020 13:28:38.466248477 AEST","-66"
"89","Jun 24, 2020 13:28:38.569344273 AEST","-68"
"90","Jun 24, 2020 13:28:38.672074269 AEST","-66"
"91","Jun 24, 2020 13:28:38.978308395 AEST","-66"
"92","Jun 24, 2020 13:28:39.080617780 AEST","-64"
"93","Jun 24, 2020 13:28:39.182938515 AEST","-64"
"94","Jun 24, 2020 13:28:39.285481204 AEST","-64"
"95","Jun 24, 2020 13:28:39.388281254 AEST","-64"
"96","Jun 24, 2020 13:28:39.491278788 AEST","-66"
"97","Jun 24, 2020 13:28:39.593423269 AEST","-68"
"98","Jun 24, 2020 13:28:39.696093448 AEST","-66"
"99","Jun 24, 2020 13:28:39.797293588 AEST","-68"
"100","Jun 24, 2020 13:28:40.002874876 AEST","-66"
"101","Jun 24, 2020 13:28:40.206936515 AEST","-64"
