frame.number,frame.time,wlan_radio.signal_dbm
"1","Jun 24, 2020 13:35:32.464968426 AEST","-76"
"2","Jun 24, 2020 13:35:32.669974432 AEST","-74"
"3","Jun 24, 2020 13:35:32.772144459 AEST","-74"
"4","Jun 24, 2020 13:35:32.978104416 AEST","-66"
"5","Jun 24, 2020 13:35:33.079474148 AEST","-70"
"6","Jun 24, 2020 13:35:33.284837122 AEST","-66"
"7","Jun 24, 2020 13:35:33.489423190 AEST","-76"
"8","Jun 24, 2020 13:35:33.591368817 AEST","-72"
"9","Jun 24, 2020 13:35:33.693856862 AEST","-74"
"10","Jun 24, 2020 13:35:33.796858030 AEST","-74"
"11","Jun 24, 2020 13:35:33.898531162 AEST","-70"
"12","Jun 24, 2020 13:35:34.000922438 AEST","-74"
"13","Jun 24, 2020 13:35:34.205754498 AEST","-76"
"14","Jun 24, 2020 13:35:34.309303908 AEST","-76"
"15","Jun 24, 2020 13:35:34.411697969 AEST","-76"
"16","Jun 24, 2020 13:35:34.513141916 AEST","-74"
"17","Jun 24, 2020 13:35:34.615303751 AEST","-74"
"18","Jun 24, 2020 13:35:34.923667841 AEST","-72"
"19","Jun 24, 2020 13:35:35.025408637 AEST","-74"
"20","Jun 24, 2020 13:35:35.127525224 AEST","-74"
"21","Jun 24, 2020 13:35:35.229697831 AEST","-74"
"22","Jun 24, 2020 13:35:35.435673298 AEST","-80"
"23","Jun 24, 2020 13:35:35.537448575 AEST","-76"
"24","Jun 24, 2020 13:35:35.741922037 AEST","-74"
"25","Jun 24, 2020 13:35:35.845197901 AEST","-76"
"26","Jun 24, 2020 13:35:35.946631584 AEST","-76"
"27","Jun 24, 2020 13:35:36.253921240 AEST","-78"
"28","Jun 24, 2020 13:35:36.357315809 AEST","-80"
"29","Jun 24, 2020 13:35:36.459081362 AEST","-76"
"30","Jun 24, 2020 13:35:36.765683478 AEST","-76"
"31","Jun 24, 2020 13:35:36.868803794 AEST","-76"
"32","Jun 24, 2020 13:35:36.971655587 AEST","-74"
"33","Jun 24, 2020 13:35:37.175309803 AEST","-74"
"34","Jun 24, 2020 13:35:37.277723592 AEST","-78"
"35","Jun 24, 2020 13:35:37.482502577 AEST","-80"
"36","Jun 24, 2020 13:35:37.687289765 AEST","-78"
"37","Jun 24, 2020 13:35:37.893419006 AEST","-74"
"38","Jun 24, 2020 13:35:37.994850229 AEST","-76"
"39","Jun 24, 2020 13:35:38.097328265 AEST","-76"
"40","Jun 24, 2020 13:35:38.199386251 AEST","-74"
"41","Jun 24, 2020 13:35:38.301776791 AEST","-76"
"42","Jun 24, 2020 13:35:38.404366493 AEST","-76"
"43","Jun 24, 2020 13:35:38.507670963 AEST","-76"
"44","Jun 24, 2020 13:35:38.609573827 AEST","-74"
"45","Jun 24, 2020 13:35:38.711297694 AEST","-74"
"46","Jun 24, 2020 13:35:38.813677778 AEST","-76"
"47","Jun 24, 2020 13:35:39.019634656 AEST","-74"
"48","Jun 24, 2020 13:35:39.121415329 AEST","-74"
"49","Jun 24, 2020 13:35:39.325680021 AEST","-76"
"50","Jun 24, 2020 13:35:39.428305157 AEST","-76"
"51","Jun 24, 2020 13:35:39.530545188 AEST","-76"
"52","Jun 24, 2020 13:35:39.632948206 AEST","-76"
"53","Jun 24, 2020 13:35:39.837876624 AEST","-70"
"54","Jun 24, 2020 13:35:39.940863994 AEST","-74"
"55","Jun 24, 2020 13:35:40.042611947 AEST","-74"
"56","Jun 24, 2020 13:35:40.145101770 AEST","-72"
"57","Jun 24, 2020 13:35:40.247216348 AEST","-72"
"58","Jun 24, 2020 13:35:40.349751523 AEST","-74"
"59","Jun 24, 2020 13:35:40.453253061 AEST","-76"
"60","Jun 24, 2020 13:35:40.759237403 AEST","-80"
"61","Jun 24, 2020 13:35:40.965248969 AEST","-74"
"62","Jun 24, 2020 13:35:41.067647108 AEST","-74"
"63","Jun 24, 2020 13:35:41.271208825 AEST","-76"
"64","Jun 24, 2020 13:35:41.885771306 AEST","-76"
"65","Jun 24, 2020 13:35:42.603593732 AEST","-78"
"66","Jun 24, 2020 13:35:43.216895089 AEST","-80"
"67","Jun 24, 2020 13:35:43.831228600 AEST","-76"
