frame.number,frame.time,wlan_radio.signal_dbm
"1","Jun 24, 2020 13:32:37.671934286 AEST","-64"
"2","Jun 24, 2020 13:32:37.772641839 AEST","-66"
"3","Jun 24, 2020 13:32:37.876126416 AEST","-72"
"4","Jun 24, 2020 13:32:37.977485062 AEST","-74"
"5","Jun 24, 2020 13:32:38.079707296 AEST","-76"
"6","Jun 24, 2020 13:32:38.386827946 AEST","-72"
"7","Jun 24, 2020 13:32:38.489163101 AEST","-72"
"8","Jun 24, 2020 13:32:38.695125353 AEST","-74"
"9","Jun 24, 2020 13:32:38.797439559 AEST","-72"
"10","Jun 24, 2020 13:32:38.899588522 AEST","-72"
"11","Jun 24, 2020 13:32:39.001378908 AEST","-74"
"12","Jun 24, 2020 13:32:39.205960623 AEST","-72"
"13","Jun 24, 2020 13:32:39.309461983 AEST","-74"
"14","Jun 24, 2020 13:32:39.410896910 AEST","-74"
"15","Jun 24, 2020 13:32:39.513382206 AEST","-74"
"16","Jun 24, 2020 13:32:39.616495633 AEST","-72"
"17","Jun 24, 2020 13:32:39.718015041 AEST","-72"
"18","Jun 24, 2020 13:32:39.821007359 AEST","-72"
"19","Jun 24, 2020 13:32:39.922718625 AEST","-72"
"20","Jun 24, 2020 13:32:40.025412599 AEST","-74"
"21","Jun 24, 2020 13:32:40.127600520 AEST","-72"
"22","Jun 24, 2020 13:32:40.230193686 AEST","-72"
"23","Jun 24, 2020 13:32:40.332576634 AEST","-74"
"24","Jun 24, 2020 13:32:40.434806144 AEST","-74"
"25","Jun 24, 2020 13:32:40.537276295 AEST","-74"
"26","Jun 24, 2020 13:32:40.640719910 AEST","-74"
"27","Jun 24, 2020 13:32:40.742665505 AEST","-74"
"28","Jun 24, 2020 13:32:40.845384950 AEST","-76"
"29","Jun 24, 2020 13:32:40.946770710 AEST","-76"
"30","Jun 24, 2020 13:32:41.049341884 AEST","-74"
"31","Jun 24, 2020 13:32:41.151685077 AEST","-74"
"32","Jun 24, 2020 13:32:41.254998173 AEST","-76"
"33","Jun 24, 2020 13:32:41.359083478 AEST","-72"
"34","Jun 24, 2020 13:32:41.458769626 AEST","-72"
"35","Jun 24, 2020 13:32:41.664686534 AEST","-72"
"36","Jun 24, 2020 13:32:41.869023859 AEST","-68"
"37","Jun 24, 2020 13:32:42.073418049 AEST","-72"
"38","Jun 24, 2020 13:32:42.176722353 AEST","-64"
"39","Jun 24, 2020 13:32:42.278692777 AEST","-64"
"40","Jun 24, 2020 13:32:42.380902720 AEST","-68"
"41","Jun 24, 2020 13:32:42.482761970 AEST","-64"
"42","Jun 24, 2020 13:32:42.585263524 AEST","-68"
"43","Jun 24, 2020 13:32:42.688713322 AEST","-68"
"44","Jun 24, 2020 13:32:42.892452281 AEST","-68"
"45","Jun 24, 2020 13:32:42.995916870 AEST","-68"
"46","Jun 24, 2020 13:32:43.097202670 AEST","-64"
"47","Jun 24, 2020 13:32:43.301974786 AEST","-64"
"48","Jun 24, 2020 13:32:43.404387713 AEST","-64"
"49","Jun 24, 2020 13:32:43.460119180 AEST","-64"
"50","Jun 24, 2020 13:32:43.463956397 AEST","-64"
"51","Jun 24, 2020 13:32:43.476573573 AEST","-66"
"52","Jun 24, 2020 13:32:43.479424165 AEST","-68"
"53","Jun 24, 2020 13:32:43.481210563 AEST","-64"
"54","Jun 24, 2020 13:32:43.609432311 AEST","-60"
"55","Jun 24, 2020 13:32:43.917348560 AEST","-64"
"56","Jun 24, 2020 13:32:44.018804877 AEST","-64"
"57","Jun 24, 2020 13:32:44.121084627 AEST","-64"
