frame.number,frame.time,wlan_radio.signal_dbm
"1","Jun 24, 2020 13:40:15.188445018 AEST","-60"
"2","Jun 24, 2020 13:40:15.291984063 AEST","-64"
"3","Jun 24, 2020 13:40:15.496038263 AEST","-64"
"4","Jun 24, 2020 13:40:15.700450555 AEST","-56"
"5","Jun 24, 2020 13:40:15.802839228 AEST","-64"
"6","Jun 24, 2020 13:40:15.905195678 AEST","-64"
"7","Jun 24, 2020 13:40:16.102299884 AEST","-64"
"8","Jun 24, 2020 13:40:16.110650170 AEST","-58"
"9","Jun 24, 2020 13:40:16.130726952 AEST","-58"
"10","Jun 24, 2020 13:40:16.136425859 AEST","-58"
"11","Jun 24, 2020 13:40:16.141353217 AEST","-58"
"12","Jun 24, 2020 13:40:16.150494996 AEST","-58"
"13","Jun 24, 2020 13:40:16.315973895 AEST","-60"
"14","Jun 24, 2020 13:40:16.519675181 AEST","-64"
"15","Jun 24, 2020 13:40:16.622591959 AEST","-58"
"16","Jun 24, 2020 13:40:16.724832902 AEST","-64"
"17","Jun 24, 2020 13:40:16.826970896 AEST","-64"
"18","Jun 24, 2020 13:40:16.929314519 AEST","-64"
"19","Jun 24, 2020 13:40:17.032521363 AEST","-64"
"20","Jun 24, 2020 13:40:17.236711540 AEST","-64"
"21","Jun 24, 2020 13:40:17.338830965 AEST","-64"
"22","Jun 24, 2020 13:40:17.441167734 AEST","-64"
"23","Jun 24, 2020 13:40:17.543782760 AEST","-60"
"24","Jun 24, 2020 13:40:17.748727681 AEST","-58"
"25","Jun 24, 2020 13:40:17.851051983 AEST","-60"
"26","Jun 24, 2020 13:40:17.953352217 AEST","-60"
"27","Jun 24, 2020 13:40:18.055833982 AEST","-60"
"28","Jun 24, 2020 13:40:18.158184794 AEST","-58"
"29","Jun 24, 2020 13:40:18.260392527 AEST","-60"
"30","Jun 24, 2020 13:40:18.363946700 AEST","-60"
"31","Jun 24, 2020 13:40:18.465225401 AEST","-60"
"32","Jun 24, 2020 13:40:18.670928728 AEST","-60"
"33","Jun 24, 2020 13:40:18.875148424 AEST","-64"
"34","Jun 24, 2020 13:40:18.977140841 AEST","-64"
"35","Jun 24, 2020 13:40:19.079810436 AEST","-64"
"36","Jun 24, 2020 13:40:19.182918952 AEST","-64"
"37","Jun 24, 2020 13:40:19.285400211 AEST","-60"
"38","Jun 24, 2020 13:40:19.489347434 AEST","-60"
"39","Jun 24, 2020 13:40:19.591591068 AEST","-60"
"40","Jun 24, 2020 13:40:19.695294460 AEST","-60"
"41","Jun 24, 2020 13:40:19.796771609 AEST","-64"
"42","Jun 24, 2020 13:40:19.899065568 AEST","-60"
"43","Jun 24, 2020 13:40:20.003835097 AEST","-64"
