frame.number,frame.time,wlan_radio.signal_dbm
"1","Jun 24, 2020 13:39:00.437165405 AEST","-58"
"2","Jun 24, 2020 13:39:00.539779500 AEST","-60"
"3","Jun 24, 2020 13:39:00.642007472 AEST","-64"
"4","Jun 24, 2020 13:39:00.744412424 AEST","-64"
"5","Jun 24, 2020 13:39:01.051874996 AEST","-64"
"6","Jun 24, 2020 13:39:01.153959493 AEST","-64"
"7","Jun 24, 2020 13:39:01.564165707 AEST","-68"
"8","Jun 24, 2020 13:39:01.769787128 AEST","-68"
"9","Jun 24, 2020 13:39:01.872270235 AEST","-56"
"10","Jun 24, 2020 13:39:02.281415201 AEST","-60"
"11","Jun 24, 2020 13:39:02.383513154 AEST","-64"
"12","Jun 24, 2020 13:39:02.485306009 AEST","-64"
"13","Jun 24, 2020 13:39:02.587669292 AEST","-64"
"14","Jun 24, 2020 13:39:02.690174781 AEST","-64"
"15","Jun 24, 2020 13:39:02.793409634 AEST","-64"
"16","Jun 24, 2020 13:39:02.896099084 AEST","-64"
"17","Jun 24, 2020 13:39:02.997356027 AEST","-64"
"18","Jun 24, 2020 13:39:03.099562843 AEST","-64"
"19","Jun 24, 2020 13:39:03.202458894 AEST","-60"
"20","Jun 24, 2020 13:39:03.304407975 AEST","-64"
"21","Jun 24, 2020 13:39:03.407936009 AEST","-64"
"22","Jun 24, 2020 13:39:03.509372771 AEST","-64"
"23","Jun 24, 2020 13:39:03.612690852 AEST","-60"
"24","Jun 24, 2020 13:39:03.714137178 AEST","-64"
"25","Jun 24, 2020 13:39:03.816412457 AEST","-64"
"26","Jun 24, 2020 13:39:03.919047473 AEST","-64"
"27","Jun 24, 2020 13:39:04.021448613 AEST","-60"
"28","Jun 24, 2020 13:39:04.123580152 AEST","-64"
"29","Jun 24, 2020 13:39:04.225906974 AEST","-64"
"30","Jun 24, 2020 13:39:04.533185324 AEST","-64"
"31","Jun 24, 2020 13:39:04.737919461 AEST","-64"
"32","Jun 24, 2020 13:39:04.841400310 AEST","-64"
"33","Jun 24, 2020 13:39:04.942944239 AEST","-64"
"34","Jun 24, 2020 13:39:05.045163097 AEST","-60"
"35","Jun 24, 2020 13:39:05.249915846 AEST","-64"
"36","Jun 24, 2020 13:39:05.352454816 AEST","-64"
"37","Jun 24, 2020 13:39:05.557178217 AEST","-64"
"38","Jun 24, 2020 13:39:05.659525241 AEST","-64"
"39","Jun 24, 2020 13:39:05.761933386 AEST","-64"
"40","Jun 24, 2020 13:39:05.864328301 AEST","-64"
"41","Jun 24, 2020 13:39:05.967601974 AEST","-64"
"42","Jun 24, 2020 13:39:06.376276616 AEST","-60"
"43","Jun 24, 2020 13:39:06.478894722 AEST","-64"
"44","Jun 24, 2020 13:39:06.581328708 AEST","-64"
"45","Jun 24, 2020 13:39:06.683693893 AEST","-64"
"46","Jun 24, 2020 13:39:06.785906682 AEST","-64"
"47","Jun 24, 2020 13:39:06.889416084 AEST","-64"
"48","Jun 24, 2020 13:39:06.990691185 AEST","-60"
"49","Jun 24, 2020 13:39:07.195551790 AEST","-64"
"50","Jun 24, 2020 13:39:07.297907647 AEST","-64"
"51","Jun 24, 2020 13:39:07.502884802 AEST","-60"
"52","Jun 24, 2020 13:39:07.605404504 AEST","-64"
"53","Jun 24, 2020 13:39:07.707524634 AEST","-64"
"54","Jun 24, 2020 13:39:08.015857163 AEST","-64"
"55","Jun 24, 2020 13:39:08.117292887 AEST","-64"
"56","Jun 24, 2020 13:39:08.219523963 AEST","-64"
"57","Jun 24, 2020 13:39:08.424289721 AEST","-64"
"58","Jun 24, 2020 13:39:08.629096379 AEST","-60"
"59","Jun 24, 2020 13:39:08.731562982 AEST","-64"
"60","Jun 24, 2020 13:39:08.833927296 AEST","-64"
"61","Jun 24, 2020 13:39:09.039827602 AEST","-64"
"62","Jun 24, 2020 13:39:09.141401323 AEST","-62"
"63","Jun 24, 2020 13:39:09.243935872 AEST","-64"
"64","Jun 24, 2020 13:39:09.347051052 AEST","-64"
"65","Jun 24, 2020 13:39:09.448308150 AEST","-64"
"66","Jun 24, 2020 13:39:09.550825824 AEST","-60"
"67","Jun 24, 2020 13:39:09.653212443 AEST","-64"
"68","Jun 24, 2020 13:39:09.755764973 AEST","-64"
"69","Jun 24, 2020 13:39:09.858390068 AEST","-64"
"70","Jun 24, 2020 13:39:09.960319709 AEST","-64"
"71","Jun 24, 2020 13:39:10.165102258 AEST","-64"
"72","Jun 24, 2020 13:39:10.268641870 AEST","-64"
"73","Jun 24, 2020 13:39:10.371065974 AEST","-64"
"74","Jun 24, 2020 13:39:10.472277925 AEST","-60"
"75","Jun 24, 2020 13:39:10.574766655 AEST","-64"
"76","Jun 24, 2020 13:39:10.780330407 AEST","-64"
"77","Jun 24, 2020 13:39:10.984383551 AEST","-64"
"78","Jun 24, 2020 13:39:11.292675414 AEST","-64"
"79","Jun 24, 2020 13:39:11.496267023 AEST","-64"
"80","Jun 24, 2020 13:39:11.599012933 AEST","-64"
"81","Jun 24, 2020 13:39:11.701389133 AEST","-60"
"82","Jun 24, 2020 13:39:11.804572683 AEST","-64"
"83","Jun 24, 2020 13:39:11.905859488 AEST","-64"
"84","Jun 24, 2020 13:39:12.008863392 AEST","-64"
"85","Jun 24, 2020 13:39:12.110685560 AEST","-64"
"86","Jun 24, 2020 13:39:12.213031703 AEST","-60"
"87","Jun 24, 2020 13:39:12.315638875 AEST","-64"
"88","Jun 24, 2020 13:39:12.418609623 AEST","-64"
"89","Jun 24, 2020 13:39:12.520919588 AEST","-68"
"90","Jun 24, 2020 13:39:12.725046628 AEST","-64"
"91","Jun 24, 2020 13:39:12.827469130 AEST","-60"
"92","Jun 24, 2020 13:39:12.929912385 AEST","-60"
"93","Jun 24, 2020 13:39:13.134678714 AEST","-60"
"94","Jun 24, 2020 13:39:13.237008488 AEST","-56"
"95","Jun 24, 2020 13:39:13.339525120 AEST","-64"
"96","Jun 24, 2020 13:39:13.441952252 AEST","-58"
"97","Jun 24, 2020 13:39:13.544303808 AEST","-56"
"98","Jun 24, 2020 13:39:13.749204467 AEST","-64"
"99","Jun 24, 2020 13:39:13.852639657 AEST","-64"
"100","Jun 24, 2020 13:39:13.954809484 AEST","-64"
"101","Jun 24, 2020 13:39:14.057083327 AEST","-64"
"102","Jun 24, 2020 13:39:14.158670893 AEST","-60"
"103","Jun 24, 2020 13:39:14.363601121 AEST","-60"
"104","Jun 24, 2020 13:39:14.466027736 AEST","-64"
