frame.number,frame.time,wlan_radio.signal_dbm
"1","Jun 24, 2020 13:26:16.336997211 AEST","-64"
"2","Jun 24, 2020 13:26:16.541646128 AEST","-64"
"3","Jun 24, 2020 13:26:16.645066016 AEST","-64"
"4","Jun 24, 2020 13:26:16.746186564 AEST","-64"
"5","Jun 24, 2020 13:26:17.053849234 AEST","-64"
"6","Jun 24, 2020 13:26:17.360460176 AEST","-68"
"7","Jun 24, 2020 13:26:17.464425409 AEST","-64"
"8","Jun 24, 2020 13:26:17.565669047 AEST","-64"
"9","Jun 24, 2020 13:26:17.669205209 AEST","-64"
"10","Jun 24, 2020 13:26:18.077407304 AEST","-60"
"11","Jun 24, 2020 13:26:18.181467969 AEST","-64"
"12","Jun 24, 2020 13:26:18.282891410 AEST","-60"
"13","Jun 24, 2020 13:26:18.385386648 AEST","-64"
"14","Jun 24, 2020 13:26:18.487767059 AEST","-72"
"15","Jun 24, 2020 13:26:18.589985899 AEST","-58"
"16","Jun 24, 2020 13:26:18.691737962 AEST","-56"
"17","Jun 24, 2020 13:26:18.795371941 AEST","-64"
"18","Jun 24, 2020 13:26:18.897308227 AEST","-58"
"19","Jun 24, 2020 13:26:19.101293896 AEST","-56"
"20","Jun 24, 2020 13:26:19.203765719 AEST","-58"
"21","Jun 24, 2020 13:26:19.306090439 AEST","-64"
"22","Jun 24, 2020 13:26:19.408561608 AEST","-64"
"23","Jun 24, 2020 13:26:19.512017901 AEST","-58"
"24","Jun 24, 2020 13:26:19.613471354 AEST","-56"
"25","Jun 24, 2020 13:26:19.716021408 AEST","-56"
"26","Jun 24, 2020 13:26:19.755535178 AEST","-56"
"27","Jun 24, 2020 13:26:19.761298991 AEST","-56"
"28","Jun 24, 2020 13:26:19.818643524 AEST","-56"
"29","Jun 24, 2020 13:26:20.125654960 AEST","-64"
"30","Jun 24, 2020 13:26:20.331600070 AEST","-72"
"31","Jun 24, 2020 13:26:20.432830222 AEST","-64"
"32","Jun 24, 2020 13:26:20.535026009 AEST","-72"
"33","Jun 24, 2020 13:26:20.739881802 AEST","-60"
"34","Jun 24, 2020 13:26:20.843182848 AEST","-64"
"35","Jun 24, 2020 13:26:20.944409694 AEST","-64"
"36","Jun 24, 2020 13:26:21.047992572 AEST","-64"
"37","Jun 24, 2020 13:26:21.149188532 AEST","-58"
"38","Jun 24, 2020 13:26:21.246482923 AEST","-68"
"39","Jun 24, 2020 13:26:21.252271032 AEST","-64"
"40","Jun 24, 2020 13:26:21.254735980 AEST","-64"
"41","Jun 24, 2020 13:26:21.257781191 AEST","-64"
"42","Jun 24, 2020 13:26:21.260447966 AEST","-60"
"43","Jun 24, 2020 13:26:21.263486706 AEST","-60"
"44","Jun 24, 2020 13:26:21.272189832 AEST","-56"
"45","Jun 24, 2020 13:26:21.276188718 AEST","-56"
"46","Jun 24, 2020 13:26:21.280671801 AEST","-56"
"47","Jun 24, 2020 13:26:21.286767824 AEST","-56"
"48","Jun 24, 2020 13:26:21.289269454 AEST","-56"
"49","Jun 24, 2020 13:26:21.354375030 AEST","-64"
"50","Jun 24, 2020 13:26:21.456404164 AEST","-76"
"51","Jun 24, 2020 13:26:21.661589110 AEST","-72"
"52","Jun 24, 2020 13:26:21.765101147 AEST","-68"
"53","Jun 24, 2020 13:26:21.866561926 AEST","-64"
"54","Jun 24, 2020 13:26:21.968859525 AEST","-64"
"55","Jun 24, 2020 13:26:22.071158556 AEST","-68"
"56","Jun 24, 2020 13:26:22.275611169 AEST","-64"
"57","Jun 24, 2020 13:26:22.378092178 AEST","-72"
"58","Jun 24, 2020 13:26:22.480486917 AEST","-72"
"59","Jun 24, 2020 13:26:22.582981426 AEST","-58"
"60","Jun 24, 2020 13:26:22.685673720 AEST","-64"
"61","Jun 24, 2020 13:26:23.095202933 AEST","-64"
"62","Jun 24, 2020 13:26:23.300258134 AEST","-66"
"63","Jun 24, 2020 13:26:23.401994766 AEST","-68"
"64","Jun 24, 2020 13:26:23.504836849 AEST","-68"
"65","Jun 24, 2020 13:26:23.607113832 AEST","-64"
"66","Jun 24, 2020 13:26:23.709621165 AEST","-64"
"67","Jun 24, 2020 13:26:23.813134175 AEST","-64"
"68","Jun 24, 2020 13:26:24.016731741 AEST","-64"
"69","Jun 24, 2020 13:26:24.119148687 AEST","-64"
"70","Jun 24, 2020 13:26:24.221667984 AEST","-60"
"71","Jun 24, 2020 13:26:24.325134715 AEST","-72"
"72","Jun 24, 2020 13:26:24.427565296 AEST","-66"
"73","Jun 24, 2020 13:26:24.529427516 AEST","-68"
"74","Jun 24, 2020 13:26:24.631220513 AEST","-64"
"75","Jun 24, 2020 13:26:24.733624153 AEST","-64"
"76","Jun 24, 2020 13:26:24.835996647 AEST","-64"
