frame.number,frame.time,wlan_radio.signal_dbm,wlan_radio.11n.mcs_index,wlan_radio.data_rate,wlan_radio.11n.greenfield
"1","Jul  2, 2020 22:18:05.081701000 AEST","-24","15","144.444","0"
"2","Jul  2, 2020 22:18:05.082001000 AEST","-24","15","144.444","0"
"3","Jul  2, 2020 22:18:06.076342000 AEST","-24","15","144.444","0"
"4","Jul  2, 2020 22:18:06.185594000 AEST","-24","15","144.444","0"
"5","Jul  2, 2020 22:18:07.334379000 AEST","-24","15","144.444","0"
"6","Jul  2, 2020 22:18:07.935552000 AEST","-24","15","144.444","0"
"7","Jul  2, 2020 22:18:07.937641000 AEST","-24","15","144.444","0"
"8","Jul  2, 2020 22:18:08.001643000 AEST","-24","15","144.444","0"
"9","Jul  2, 2020 22:18:08.358562000 AEST","-24","15","144.444","0"
"10","Jul  2, 2020 22:18:08.760630000 AEST","-24","15","144.444","0"
"11","Jul  2, 2020 22:18:08.761017000 AEST","-24","15","144.444","0"
"12","Jul  2, 2020 22:18:09.896518000 AEST","-25","15","144.444","0"
"13","Jul  2, 2020 22:18:10.077117000 AEST","-24","15","144.444","0"
"14","Jul  2, 2020 22:18:10.132611000 AEST","-24","15","144.444","0"
"15","Jul  2, 2020 22:18:10.148658000 AEST","-24","15","144.444","0"
"16","Jul  2, 2020 22:18:10.188732000 AEST","-24","15","144.444","0"
"17","Jul  2, 2020 22:18:10.189626000 AEST","-24","15","144.444","0"
"18","Jul  2, 2020 22:18:10.227558000 AEST","-24","15","144.444","0"
"19","Jul  2, 2020 22:18:10.279611000 AEST","-24","15","144.444","0"
"20","Jul  2, 2020 22:18:10.327712000 AEST","-24","15","144.444","0"
"21","Jul  2, 2020 22:18:10.328023000 AEST","-23","15","144.444","0"
"22","Jul  2, 2020 22:18:10.329428000 AEST","-24","15","144.444","0"
"23","Jul  2, 2020 22:18:10.397076000 AEST","-24","15","144.444","0"
"24","Jul  2, 2020 22:18:11.131554000 AEST","-24","15","144.444","0"
"25","Jul  2, 2020 22:18:11.945603000 AEST","-25","15","144.444","0"
"26","Jul  2, 2020 22:18:12.132199000 AEST","-25","15","144.444","0"
"27","Jul  2, 2020 22:18:13.133574000 AEST","-25","15","144.444","0"
"28","Jul  2, 2020 22:18:13.268555000 AEST","-25","15","144.444","0"
"29","Jul  2, 2020 22:18:13.778549000 AEST","-24","15","144.444","0"
"30","Jul  2, 2020 22:18:13.809810000 AEST","-24","15","144.444","0"
"31","Jul  2, 2020 22:18:13.816532000 AEST","-24","15","144.444","0"
"32","Jul  2, 2020 22:18:14.017536000 AEST","-24","15","144.444","0"
"33","Jul  2, 2020 22:18:14.133869000 AEST","-24","15","144.444","0"
"34","Jul  2, 2020 22:18:14.168603000 AEST","-24","15","144.444","0"
"35","Jul  2, 2020 22:18:14.477547000 AEST","-25","15","144.444","0"
"36","Jul  2, 2020 22:18:14.716394000 AEST","-23","15","144.444","0"
"37","Jul  2, 2020 22:18:15.149083000 AEST","-23","15","144.444","0"
"38","Jul  2, 2020 22:18:15.448582000 AEST","-22","15","144.444","0"
"39","Jul  2, 2020 22:18:15.478390000 AEST","-23","15","144.444","0"
"40","Jul  2, 2020 22:18:15.662664000 AEST","-22","15","144.444","0"
"41","Jul  2, 2020 22:18:15.678534000 AEST","-22","15","144.444","0"
"42","Jul  2, 2020 22:18:15.708295000 AEST","-22","15","144.444","0"
"43","Jul  2, 2020 22:18:15.708574000 AEST","-22","15","144.444","0"
"44","Jul  2, 2020 22:18:15.717139000 AEST","-19","13","115.556","0"
"45","Jul  2, 2020 22:18:16.140577000 AEST","-23","15","144.444","0"
"46","Jul  2, 2020 22:18:16.374670000 AEST","-31","15","144.444","0"
"47","Jul  2, 2020 22:18:16.382329000 AEST","-30","15","144.444","0"
"48","Jul  2, 2020 22:18:16.382597000 AEST","-30","15","144.444","0"
"49","Jul  2, 2020 22:18:16.816396000 AEST","-26","15","144.444","0"
"50","Jul  2, 2020 22:18:17.140379000 AEST","-28","15","144.444","0"
"51","Jul  2, 2020 22:18:17.436622000 AEST","-31","15","144.444","0"
"52","Jul  2, 2020 22:18:17.556534000 AEST","-34","15","144.444","0"
