frame.number,frame.time,wlan_radio.signal_dbm
"1","Jun 24, 2020 13:43:50.784528028 AEST","-16"
"2","Jun 24, 2020 13:43:50.886978972 AEST","-18"
"3","Jun 24, 2020 13:43:50.989411664 AEST","-16"
"4","Jun 24, 2020 13:43:51.091779702 AEST","-16"
"5","Jun 24, 2020 13:43:51.194109953 AEST","-16"
"6","Jun 24, 2020 13:43:51.296513552 AEST","-16"
"7","Jun 24, 2020 13:43:51.399088855 AEST","-16"
"8","Jun 24, 2020 13:43:51.501410863 AEST","-16"
"9","Jun 24, 2020 13:43:51.707093016 AEST","-18"
"10","Jun 24, 2020 13:43:51.809666710 AEST","-16"
"11","Jun 24, 2020 13:43:51.912087341 AEST","-16"
"12","Jun 24, 2020 13:43:52.013329061 AEST","-16"
"13","Jun 24, 2020 13:43:52.115984963 AEST","-16"
"14","Jun 24, 2020 13:43:52.218115463 AEST","-16"
"15","Jun 24, 2020 13:43:52.320483613 AEST","-16"
"16","Jun 24, 2020 13:43:52.525326317 AEST","-16"
"17","Jun 24, 2020 13:43:53.139803047 AEST","-16"
"18","Jun 24, 2020 13:43:53.242120560 AEST","-16"
"19","Jun 24, 2020 13:43:53.344542896 AEST","-16"
"20","Jun 24, 2020 13:43:53.447047199 AEST","-16"
"21","Jun 24, 2020 13:43:53.549427782 AEST","-16"
"22","Jun 24, 2020 13:43:53.651694944 AEST","-18"
"23","Jun 24, 2020 13:43:53.754275027 AEST","-16"
"24","Jun 24, 2020 13:43:53.857388783 AEST","-16"
"25","Jun 24, 2020 13:43:53.959053239 AEST","-16"
"26","Jun 24, 2020 13:43:54.163875403 AEST","-18"
"27","Jun 24, 2020 13:43:54.368452621 AEST","-18"
"28","Jun 24, 2020 13:43:54.778256394 AEST","-18"
"29","Jun 24, 2020 13:43:54.880706301 AEST","-16"
"30","Jun 24, 2020 13:43:54.984062395 AEST","-16"
"31","Jun 24, 2020 13:43:55.085442158 AEST","-16"
"32","Jun 24, 2020 13:43:55.187953889 AEST","-16"
"33","Jun 24, 2020 13:43:55.290099901 AEST","-16"
"34","Jun 24, 2020 13:43:55.495367431 AEST","-16"
"35","Jun 24, 2020 13:43:55.597302281 AEST","-18"
"36","Jun 24, 2020 13:43:55.699652935 AEST","-16"
"37","Jun 24, 2020 13:43:55.802549691 AEST","-18"
"38","Jun 24, 2020 13:43:56.109291867 AEST","-18"
"39","Jun 24, 2020 13:43:56.314063154 AEST","-16"
"40","Jun 24, 2020 13:43:56.417431641 AEST","-16"
"41","Jun 24, 2020 13:43:56.621441877 AEST","-16"
"42","Jun 24, 2020 13:43:56.723759021 AEST","-16"
