frame.number,frame.time,wlan_radio.signal_dbm
"1","Jun 24, 2020 13:50:53.282638339 AEST","-64"
"2","Jun 24, 2020 13:50:53.385037325 AEST","-64"
"3","Jun 24, 2020 13:50:53.590820760 AEST","-56"
"4","Jun 24, 2020 13:50:53.693396651 AEST","-66"
"5","Jun 24, 2020 13:50:53.999442159 AEST","-56"
"6","Jun 24, 2020 13:50:54.102026360 AEST","-64"
"7","Jun 24, 2020 13:50:54.306831839 AEST","-72"
"8","Jun 24, 2020 13:50:54.409365692 AEST","-68"
"9","Jun 24, 2020 13:50:54.511434048 AEST","-68"
"10","Jun 24, 2020 13:50:54.613870803 AEST","-64"
"11","Jun 24, 2020 13:50:54.819009856 AEST","-60"
"12","Jun 24, 2020 13:50:54.921108433 AEST","-64"
"13","Jun 24, 2020 13:50:55.023422937 AEST","-64"
"14","Jun 24, 2020 13:50:55.126947494 AEST","-60"
"15","Jun 24, 2020 13:50:55.228262529 AEST","-64"
"16","Jun 24, 2020 13:50:55.331744486 AEST","-64"
"17","Jun 24, 2020 13:50:55.434026097 AEST","-64"
"18","Jun 24, 2020 13:50:55.535590031 AEST","-64"
"19","Jun 24, 2020 13:50:55.638698664 AEST","-64"
"20","Jun 24, 2020 13:50:55.843771320 AEST","-64"
"21","Jun 24, 2020 13:50:55.945048666 AEST","-64"
"22","Jun 24, 2020 13:50:56.150079877 AEST","-58"
"23","Jun 24, 2020 13:50:56.252416331 AEST","-64"
"24","Jun 24, 2020 13:50:56.457385182 AEST","-64"
"25","Jun 24, 2020 13:50:56.559460877 AEST","-64"
"26","Jun 24, 2020 13:50:56.866784003 AEST","-64"
"27","Jun 24, 2020 13:50:57.071377580 AEST","-64"
"28","Jun 24, 2020 13:50:57.173830819 AEST","-64"
"29","Jun 24, 2020 13:50:57.276323137 AEST","-64"
"30","Jun 24, 2020 13:50:57.482159516 AEST","-60"
"31","Jun 24, 2020 13:50:57.583612091 AEST","-64"
"32","Jun 24, 2020 13:50:57.685824691 AEST","-64"
"33","Jun 24, 2020 13:50:57.788230373 AEST","-64"
"34","Jun 24, 2020 13:50:57.891757537 AEST","-64"
"35","Jun 24, 2020 13:50:57.993415959 AEST","-64"
"36","Jun 24, 2020 13:50:58.096343299 AEST","-64"
"37","Jun 24, 2020 13:50:58.197791171 AEST","-64"
"38","Jun 24, 2020 13:50:58.300171461 AEST","-64"
"39","Jun 24, 2020 13:50:58.403341770 AEST","-64"
"40","Jun 24, 2020 13:50:58.709773793 AEST","-64"
"41","Jun 24, 2020 13:50:58.812292424 AEST","-64"
"42","Jun 24, 2020 13:50:58.914775203 AEST","-64"
"43","Jun 24, 2020 13:50:59.119445732 AEST","-60"
"44","Jun 24, 2020 13:50:59.221782149 AEST","-64"
"45","Jun 24, 2020 13:50:59.325347490 AEST","-64"
"46","Jun 24, 2020 13:50:59.427720274 AEST","-64"
"47","Jun 24, 2020 13:50:59.529571664 AEST","-64"
"48","Jun 24, 2020 13:50:59.733770702 AEST","-64"
"49","Jun 24, 2020 13:50:59.836147797 AEST","-64"
"50","Jun 24, 2020 13:50:59.939737022 AEST","-64"
"51","Jun 24, 2020 13:51:00.041387573 AEST","-64"
"52","Jun 24, 2020 13:51:00.144521756 AEST","-64"
"53","Jun 24, 2020 13:51:00.245770924 AEST","-64"
"54","Jun 24, 2020 13:51:00.348339026 AEST","-64"
"55","Jun 24, 2020 13:51:00.451533694 AEST","-64"
"56","Jun 24, 2020 13:51:00.553718657 AEST","-60"
"57","Jun 24, 2020 13:51:00.659265657 AEST","-64"
"58","Jun 24, 2020 13:51:00.757806192 AEST","-64"
"59","Jun 24, 2020 13:51:01.065157053 AEST","-64"
"60","Jun 24, 2020 13:51:01.167415154 AEST","-64"
"61","Jun 24, 2020 13:51:01.281057478 AEST","-64"
"62","Jun 24, 2020 13:51:01.343505102 AEST","-64"
"63","Jun 24, 2020 13:51:01.346293302 AEST","-64"
"64","Jun 24, 2020 13:51:01.349428235 AEST","-60"
"65","Jun 24, 2020 13:51:01.352597199 AEST","-62"
"66","Jun 24, 2020 13:51:01.355512411 AEST","-64"
"67","Jun 24, 2020 13:51:01.358763288 AEST","-64"
"68","Jun 24, 2020 13:51:01.372498973 AEST","-64"
"69","Jun 24, 2020 13:51:01.475704708 AEST","-64"
"70","Jun 24, 2020 13:51:01.679505186 AEST","-64"
"71","Jun 24, 2020 13:51:01.987224158 AEST","-64"
"72","Jun 24, 2020 13:51:02.192516955 AEST","-68"
"73","Jun 24, 2020 13:51:02.293829569 AEST","-64"
"74","Jun 24, 2020 13:51:02.398723508 AEST","-68"
"75","Jun 24, 2020 13:51:02.500280401 AEST","-66"
"76","Jun 24, 2020 13:51:02.606929005 AEST","-64"
"77","Jun 24, 2020 13:51:02.704471773 AEST","-68"
"78","Jun 24, 2020 13:51:02.808116430 AEST","-64"
"79","Jun 24, 2020 13:51:02.908116435 AEST","-60"
"80","Jun 24, 2020 13:51:03.010566497 AEST","-60"
"81","Jun 24, 2020 13:51:03.113172931 AEST","-56"
"82","Jun 24, 2020 13:51:03.215370124 AEST","-58"
"83","Jun 24, 2020 13:51:03.420128954 AEST","-66"
"84","Jun 24, 2020 13:51:03.523689678 AEST","-58"
"85","Jun 24, 2020 13:51:03.625154429 AEST","-60"
"86","Jun 24, 2020 13:51:03.727483264 AEST","-68"
"87","Jun 24, 2020 13:51:03.829705272 AEST","-64"
"88","Jun 24, 2020 13:51:03.932121004 AEST","-64"
"89","Jun 24, 2020 13:51:04.136874483 AEST","-64"
"90","Jun 24, 2020 13:51:04.239513391 AEST","-68"
"91","Jun 24, 2020 13:51:04.648956222 AEST","-56"
"92","Jun 24, 2020 13:51:04.751446075 AEST","-56"
"93","Jun 24, 2020 13:51:04.956354531 AEST","-56"
"94","Jun 24, 2020 13:51:05.059096058 AEST","-56"
"95","Jun 24, 2020 13:51:05.263474030 AEST","-56"
"96","Jun 24, 2020 13:51:05.468609705 AEST","-56"
"97","Jun 24, 2020 13:51:05.571664606 AEST","-56"
"98","Jun 24, 2020 13:51:05.673404524 AEST","-58"
"99","Jun 24, 2020 13:51:05.775537001 AEST","-58"
"100","Jun 24, 2020 13:51:05.980213162 AEST","-64"
"101","Jun 24, 2020 13:51:06.184857025 AEST","-74"
"102","Jun 24, 2020 13:51:06.390849536 AEST","-64"
"103","Jun 24, 2020 13:51:06.492265067 AEST","-56"
