frame.number,frame.time,wlan_radio.signal_dbm
"1","Jun 24, 2020 14:23:15.366210068 AEST","-64"
"2","Jun 24, 2020 14:23:15.468631136 AEST","-72"
"3","Jun 24, 2020 14:23:15.572171763 AEST","-64"
"4","Jun 24, 2020 14:23:15.673406399 AEST","-60"
"5","Jun 24, 2020 14:23:15.776962586 AEST","-64"
"6","Jun 24, 2020 14:23:15.878259753 AEST","-66"
"7","Jun 24, 2020 14:23:15.980647799 AEST","-66"
"8","Jun 24, 2020 14:23:16.084188848 AEST","-72"
"9","Jun 24, 2020 14:23:16.185389218 AEST","-72"
"10","Jun 24, 2020 14:23:16.288760604 AEST","-72"
"11","Jun 24, 2020 14:23:16.391349926 AEST","-72"
"12","Jun 24, 2020 14:23:16.493369090 AEST","-70"
"13","Jun 24, 2020 14:23:16.595528363 AEST","-72"
"14","Jun 24, 2020 14:23:16.697450927 AEST","-74"
"15","Jun 24, 2020 14:23:16.800978297 AEST","-76"
"16","Jun 24, 2020 14:23:16.902329854 AEST","-64"
"17","Jun 24, 2020 14:23:17.004842687 AEST","-64"
"18","Jun 24, 2020 14:23:17.108189922 AEST","-58"
"19","Jun 24, 2020 14:23:17.209379202 AEST","-58"
"20","Jun 24, 2020 14:23:17.311972469 AEST","-64"
"21","Jun 24, 2020 14:23:17.415389091 AEST","-64"
"22","Jun 24, 2020 14:23:17.517371286 AEST","-64"
"23","Jun 24, 2020 14:23:17.620157776 AEST","-64"
"24","Jun 24, 2020 14:23:17.721401098 AEST","-64"
"25","Jun 24, 2020 14:23:17.824974512 AEST","-64"
"26","Jun 24, 2020 14:23:17.926235713 AEST","-64"
"27","Jun 24, 2020 14:23:18.028634208 AEST","-64"
"28","Jun 24, 2020 14:23:18.132147746 AEST","-64"
"29","Jun 24, 2020 14:23:18.233426197 AEST","-66"
"30","Jun 24, 2020 14:23:18.329131284 AEST","-68"
"31","Jun 24, 2020 14:23:18.333621469 AEST","-68"
"32","Jun 24, 2020 14:23:18.342152788 AEST","-68"
"33","Jun 24, 2020 14:23:18.344453806 AEST","-68"
"34","Jun 24, 2020 14:23:18.348394610 AEST","-68"
"35","Jun 24, 2020 14:23:18.350121794 AEST","-68"
"36","Jun 24, 2020 14:23:18.353428313 AEST","-66"
"37","Jun 24, 2020 14:23:18.439358916 AEST","-64"
"38","Jun 24, 2020 14:23:18.540795677 AEST","-66"
"39","Jun 24, 2020 14:23:18.643154985 AEST","-66"
"40","Jun 24, 2020 14:23:18.745537245 AEST","-64"
"41","Jun 24, 2020 14:23:18.847848761 AEST","-64"
"42","Jun 24, 2020 14:23:18.954092789 AEST","-64"
"43","Jun 24, 2020 14:23:19.053388337 AEST","-64"
"44","Jun 24, 2020 14:23:19.155108678 AEST","-60"
"45","Jun 24, 2020 14:23:19.257411975 AEST","-66"
"46","Jun 24, 2020 14:23:19.359762911 AEST","-68"
"47","Jun 24, 2020 14:23:19.462334914 AEST","-68"
"48","Jun 24, 2020 14:23:19.565387423 AEST","-68"
"49","Jun 24, 2020 14:23:19.667031246 AEST","-66"
"50","Jun 24, 2020 14:23:19.769392205 AEST","-64"
"51","Jun 24, 2020 14:23:19.872647730 AEST","-64"
"52","Jun 24, 2020 14:23:19.974261219 AEST","-64"
"53","Jun 24, 2020 14:23:20.076576689 AEST","-58"
"54","Jun 24, 2020 14:23:20.180148901 AEST","-64"
"55","Jun 24, 2020 14:23:20.281359886 AEST","-64"
"56","Jun 24, 2020 14:23:20.384945629 AEST","-68"
"57","Jun 24, 2020 14:23:20.487327024 AEST","-64"
"58","Jun 24, 2020 14:23:20.589741691 AEST","-68"
"59","Jun 24, 2020 14:23:20.691278693 AEST","-68"
"60","Jun 24, 2020 14:23:20.793397548 AEST","-68"
"61","Jun 24, 2020 14:23:20.896938768 AEST","-68"
"62","Jun 24, 2020 14:23:20.999336998 AEST","-68"
"63","Jun 24, 2020 14:23:21.101390854 AEST","-64"
"64","Jun 24, 2020 14:23:21.204130281 AEST","-68"
"65","Jun 24, 2020 14:23:21.305340857 AEST","-68"
"66","Jun 24, 2020 14:23:21.407705561 AEST","-68"
"67","Jun 24, 2020 14:23:21.510275318 AEST","-68"
"68","Jun 24, 2020 14:23:21.540780499 AEST","-72"
"69","Jun 24, 2020 14:23:21.545985647 AEST","-68"
"70","Jun 24, 2020 14:23:21.549946011 AEST","-66"
"71","Jun 24, 2020 14:23:21.554179446 AEST","-72"
"72","Jun 24, 2020 14:23:21.555898284 AEST","-72"
"73","Jun 24, 2020 14:23:21.558724484 AEST","-68"
"74","Jun 24, 2020 14:23:21.562023889 AEST","-68"
"75","Jun 24, 2020 14:23:21.581809578 AEST","-68"
"76","Jun 24, 2020 14:23:21.613721597 AEST","-66"
"77","Jun 24, 2020 14:23:21.714996387 AEST","-64"
"78","Jun 24, 2020 14:23:21.817341159 AEST","-64"
"79","Jun 24, 2020 14:23:21.922114946 AEST","-64"
"80","Jun 24, 2020 14:23:22.022407944 AEST","-64"
"81","Jun 24, 2020 14:23:22.124735759 AEST","-64"
"82","Jun 24, 2020 14:23:22.228700673 AEST","-64"
"83","Jun 24, 2020 14:23:22.329342624 AEST","-60"
"84","Jun 24, 2020 14:23:22.431941176 AEST","-64"
"85","Jun 24, 2020 14:23:22.534225626 AEST","-64"
"86","Jun 24, 2020 14:23:22.637741065 AEST","-58"
"87","Jun 24, 2020 14:23:22.841345850 AEST","-64"
"88","Jun 24, 2020 14:23:22.944644374 AEST","-64"
"89","Jun 24, 2020 14:23:23.047320896 AEST","-64"
"90","Jun 24, 2020 14:23:23.252116582 AEST","-64"
"91","Jun 24, 2020 14:23:23.353345639 AEST","-64"
"92","Jun 24, 2020 14:23:23.455771202 AEST","-64"
"93","Jun 24, 2020 14:23:23.559001831 AEST","-64"
