frame.number,frame.time,wlan_radio.signal_dbm
"1","Jun 24, 2020 13:54:34.361979879 AEST","-64"
"2","Jun 24, 2020 13:54:34.464917587 AEST","-64"
"3","Jun 24, 2020 13:54:34.567940861 AEST","-64"
"4","Jun 24, 2020 13:54:34.669419048 AEST","-68"
"5","Jun 24, 2020 13:54:34.771716731 AEST","-68"
"6","Jun 24, 2020 13:54:34.874116889 AEST","-68"
"7","Jun 24, 2020 13:54:34.976916363 AEST","-66"
"8","Jun 24, 2020 13:54:35.078825547 AEST","-68"
"9","Jun 24, 2020 13:54:35.181367962 AEST","-68"
"10","Jun 24, 2020 13:54:35.284711643 AEST","-72"
"11","Jun 24, 2020 13:54:35.386896397 AEST","-72"
"12","Jun 24, 2020 13:54:35.488509239 AEST","-64"
"13","Jun 24, 2020 13:54:35.590759483 AEST","-64"
"14","Jun 24, 2020 13:54:35.693213586 AEST","-60"
"15","Jun 24, 2020 13:54:35.795554963 AEST","-64"
"16","Jun 24, 2020 13:54:35.897990784 AEST","-64"
"17","Jun 24, 2020 13:54:36.000915900 AEST","-60"
"18","Jun 24, 2020 13:54:36.102809542 AEST","-56"
"19","Jun 24, 2020 13:54:36.205116475 AEST","-56"
"20","Jun 24, 2020 13:54:36.308715646 AEST","-58"
"21","Jun 24, 2020 13:54:36.411117790 AEST","-58"
"22","Jun 24, 2020 13:54:36.512408006 AEST","-56"
"23","Jun 24, 2020 13:54:36.614724902 AEST","-60"
"24","Jun 24, 2020 13:54:36.717245201 AEST","-58"
"25","Jun 24, 2020 13:54:36.819747616 AEST","-56"
"26","Jun 24, 2020 13:54:36.922153177 AEST","-58"
"27","Jun 24, 2020 13:54:37.025086119 AEST","-58"
"28","Jun 24, 2020 13:54:37.126787317 AEST","-60"
"29","Jun 24, 2020 13:54:37.229177563 AEST","-64"
"30","Jun 24, 2020 13:54:37.332741745 AEST","-64"
"31","Jun 24, 2020 13:54:37.435211192 AEST","-60"
"32","Jun 24, 2020 13:54:37.536476155 AEST","-60"
"33","Jun 24, 2020 13:54:37.638758771 AEST","-64"
"34","Jun 24, 2020 13:54:37.741192630 AEST","-60"
"35","Jun 24, 2020 13:54:37.843557768 AEST","-58"
"36","Jun 24, 2020 13:54:37.947110143 AEST","-60"
"37","Jun 24, 2020 13:54:38.048356076 AEST","-64"
"38","Jun 24, 2020 13:54:38.150762602 AEST","-72"
"39","Jun 24, 2020 13:54:38.253315456 AEST","-66"
"40","Jun 24, 2020 13:54:38.355781220 AEST","-68"
"41","Jun 24, 2020 13:54:38.457963590 AEST","-64"
"42","Jun 24, 2020 13:54:38.560378614 AEST","-68"
"43","Jun 24, 2020 13:54:38.662762048 AEST","-68"
"44","Jun 24, 2020 13:54:38.765404056 AEST","-68"
"45","Jun 24, 2020 13:54:38.867820947 AEST","-64"
"46","Jun 24, 2020 13:54:38.970104857 AEST","-64"
"47","Jun 24, 2020 13:54:39.073301523 AEST","-68"
"48","Jun 24, 2020 13:54:39.175126822 AEST","-64"
"49","Jun 24, 2020 13:54:39.277094067 AEST","-64"
"50","Jun 24, 2020 13:54:39.379526254 AEST","-64"
"51","Jun 24, 2020 13:54:39.481970370 AEST","-64"
"52","Jun 24, 2020 13:54:39.584498421 AEST","-64"
"53","Jun 24, 2020 13:54:39.686726659 AEST","-64"
"54","Jun 24, 2020 13:54:39.789321775 AEST","-64"
"55","Jun 24, 2020 13:54:39.891655302 AEST","-64"
"56","Jun 24, 2020 13:54:39.995104101 AEST","-64"
"57","Jun 24, 2020 13:54:40.116357511 AEST","-52"
"58","Jun 24, 2020 13:54:40.119728326 AEST","-56"
"59","Jun 24, 2020 13:54:40.136880944 AEST","-56"
"60","Jun 24, 2020 13:54:40.198730313 AEST","-64"
"61","Jun 24, 2020 13:54:40.301359501 AEST","-64"
"62","Jun 24, 2020 13:54:40.404364497 AEST","-64"
"63","Jun 24, 2020 13:54:40.505960180 AEST","-64"
"64","Jun 24, 2020 13:54:40.608326272 AEST","-64"
"65","Jun 24, 2020 13:54:40.710735905 AEST","-64"
"66","Jun 24, 2020 13:54:40.813392779 AEST","-64"
"67","Jun 24, 2020 13:54:40.915742591 AEST","-64"
"68","Jun 24, 2020 13:54:41.018144033 AEST","-64"
"69","Jun 24, 2020 13:54:41.121389257 AEST","-64"
"70","Jun 24, 2020 13:54:41.222733339 AEST","-64"
"71","Jun 24, 2020 13:54:41.325143900 AEST","-64"
"72","Jun 24, 2020 13:54:41.428679326 AEST","-64"
"73","Jun 24, 2020 13:54:41.531079227 AEST","-64"
"74","Jun 24, 2020 13:54:41.632457641 AEST","-64"
"75","Jun 24, 2020 13:54:41.734669299 AEST","-64"
"76","Jun 24, 2020 13:54:41.837360889 AEST","-64"
"77","Jun 24, 2020 13:54:42.043096909 AEST","-64"
