frame.number,frame.time,wlan_radio.signal_dbm
"1","Jun 24, 2020 14:08:28.592553302 AEST","-22"
"2","Jun 24, 2020 14:08:28.694834052 AEST","-22"
"3","Jun 24, 2020 14:08:29.002177151 AEST","-22"
"4","Jun 24, 2020 14:08:29.105913784 AEST","-22"
"5","Jun 24, 2020 14:08:29.208454949 AEST","-22"
"6","Jun 24, 2020 14:08:29.308678337 AEST","-22"
"7","Jun 24, 2020 14:08:29.410957367 AEST","-22"
"8","Jun 24, 2020 14:08:29.513398673 AEST","-22"
"9","Jun 24, 2020 14:08:29.615375435 AEST","-22"
"10","Jun 24, 2020 14:08:29.718571513 AEST","-22"
"11","Jun 24, 2020 14:08:29.820415766 AEST","-22"
"12","Jun 24, 2020 14:08:29.923754541 AEST","-22"
"13","Jun 24, 2020 14:08:30.025017050 AEST","-22"
"14","Jun 24, 2020 14:08:30.127392853 AEST","-22"
"15","Jun 24, 2020 14:08:30.230525403 AEST","-22"
"16","Jun 24, 2020 14:08:30.435375977 AEST","-22"
"17","Jun 24, 2020 14:08:30.639396125 AEST","-22"
"18","Jun 24, 2020 14:08:30.741936819 AEST","-22"
"19","Jun 24, 2020 14:08:30.844224039 AEST","-22"
"20","Jun 24, 2020 14:08:30.947740140 AEST","-22"
"21","Jun 24, 2020 14:08:31.151401931 AEST","-22"
"22","Jun 24, 2020 14:08:31.253910267 AEST","-22"
"23","Jun 24, 2020 14:08:31.356894308 AEST","-18"
"24","Jun 24, 2020 14:08:31.459157649 AEST","-22"
"25","Jun 24, 2020 14:08:31.561009746 AEST","-22"
"26","Jun 24, 2020 14:08:31.663408796 AEST","-22"
"27","Jun 24, 2020 14:08:31.765884216 AEST","-22"
"28","Jun 24, 2020 14:08:31.868397886 AEST","-22"
"29","Jun 24, 2020 14:08:31.970708359 AEST","-22"
"30","Jun 24, 2020 14:08:32.073013751 AEST","-18"
"31","Jun 24, 2020 14:08:32.175340596 AEST","-22"
"32","Jun 24, 2020 14:08:32.278418306 AEST","-22"
"33","Jun 24, 2020 14:08:32.380286901 AEST","-22"
"34","Jun 24, 2020 14:08:32.585183410 AEST","-22"
"35","Jun 24, 2020 14:08:32.687396577 AEST","-22"
"36","Jun 24, 2020 14:08:32.789934783 AEST","-22"
"37","Jun 24, 2020 14:08:32.892158754 AEST","-22"
"38","Jun 24, 2020 14:08:32.995740717 AEST","-22"
"39","Jun 24, 2020 14:08:33.199366368 AEST","-22"
"40","Jun 24, 2020 14:08:33.301740892 AEST","-22"
"41","Jun 24, 2020 14:08:33.404169346 AEST","-22"
"42","Jun 24, 2020 14:08:33.506581596 AEST","-22"
"43","Jun 24, 2020 14:08:33.609313568 AEST","-18"
"44","Jun 24, 2020 14:08:33.711369436 AEST","-20"
"45","Jun 24, 2020 14:08:33.813779936 AEST","-22"
"46","Jun 24, 2020 14:08:33.925038378 AEST","-22"
"47","Jun 24, 2020 14:08:34.018673000 AEST","-22"
"48","Jun 24, 2020 14:08:34.121126883 AEST","-18"
"49","Jun 24, 2020 14:08:34.325857576 AEST","-22"
"50","Jun 24, 2020 14:08:34.429332470 AEST","-22"
