frame.number,frame.time,wlan_radio.signal_dbm
"1","Jun 24, 2020 13:57:33.255227401 AEST","-68"
"2","Jun 24, 2020 13:57:33.356360259 AEST","-72"
"3","Jun 24, 2020 13:57:33.458781345 AEST","-64"
"4","Jun 24, 2020 13:57:33.767065753 AEST","-64"
"5","Jun 24, 2020 13:57:33.869388113 AEST","-64"
"6","Jun 24, 2020 13:57:34.073378695 AEST","-64"
"7","Jun 24, 2020 13:57:34.278984361 AEST","-64"
"8","Jun 24, 2020 13:57:34.381418317 AEST","-64"
"9","Jun 24, 2020 13:57:34.687673909 AEST","-64"
"10","Jun 24, 2020 13:57:34.790011298 AEST","-64"
"11","Jun 24, 2020 13:57:34.994620979 AEST","-64"
"12","Jun 24, 2020 13:57:35.097387400 AEST","-66"
"13","Jun 24, 2020 13:57:35.199484419 AEST","-64"
"14","Jun 24, 2020 13:57:35.226823336 AEST","-64"
"15","Jun 24, 2020 13:57:35.229728111 AEST","-64"
"16","Jun 24, 2020 13:57:35.232977438 AEST","-64"
"17","Jun 24, 2020 13:57:35.302708333 AEST","-64"
"18","Jun 24, 2020 13:57:35.404327005 AEST","-64"
"19","Jun 24, 2020 13:57:35.507034840 AEST","-64"
"20","Jun 24, 2020 13:57:35.608383511 AEST","-64"
"21","Jun 24, 2020 13:57:35.711514469 AEST","-64"
"22","Jun 24, 2020 13:57:35.816172117 AEST","-64"
"23","Jun 24, 2020 13:57:35.917454453 AEST","-64"
"24","Jun 24, 2020 13:57:36.121290610 AEST","-64"
"25","Jun 24, 2020 13:57:36.223501192 AEST","-62"
"26","Jun 24, 2020 13:57:36.240652664 AEST","-68"
"27","Jun 24, 2020 13:57:36.244735903 AEST","-64"
"28","Jun 24, 2020 13:57:36.250860490 AEST","-64"
"29","Jun 24, 2020 13:57:36.256987138 AEST","-62"
"30","Jun 24, 2020 13:57:36.260278075 AEST","-64"
"31","Jun 24, 2020 13:57:36.278185334 AEST","-60"
"32","Jun 24, 2020 13:57:36.285561263 AEST","-60"
"33","Jun 24, 2020 13:57:36.288438059 AEST","-64"
"34","Jun 24, 2020 13:57:36.291291745 AEST","-60"
"35","Jun 24, 2020 13:57:36.294145528 AEST","-60"
"36","Jun 24, 2020 13:57:36.297311198 AEST","-60"
"37","Jun 24, 2020 13:57:36.327097076 AEST","-56"
"38","Jun 24, 2020 13:57:36.428303833 AEST","-64"
"39","Jun 24, 2020 13:57:36.530678197 AEST","-64"
"40","Jun 24, 2020 13:57:36.633433615 AEST","-64"
"41","Jun 24, 2020 13:57:36.735826491 AEST","-64"
"42","Jun 24, 2020 13:57:36.838201836 AEST","-64"
"43","Jun 24, 2020 13:57:37.042708643 AEST","-64"
"44","Jun 24, 2020 13:57:37.145110071 AEST","-64"
"45","Jun 24, 2020 13:57:37.247763046 AEST","-64"
"46","Jun 24, 2020 13:57:37.452361509 AEST","-64"
"47","Jun 24, 2020 13:57:37.554708966 AEST","-64"
"48","Jun 24, 2020 13:57:37.759516980 AEST","-64"
"49","Jun 24, 2020 13:57:37.862081553 AEST","-64"
"50","Jun 24, 2020 13:57:37.965416853 AEST","-64"
"51","Jun 24, 2020 13:57:38.169344985 AEST","-64"
"52","Jun 24, 2020 13:57:38.375053673 AEST","-64"
"53","Jun 24, 2020 13:57:38.477414669 AEST","-64"
"54","Jun 24, 2020 13:57:39.090753010 AEST","-64"
"55","Jun 24, 2020 13:57:39.193362227 AEST","-64"
"56","Jun 24, 2020 13:57:39.297019112 AEST","-64"
"57","Jun 24, 2020 13:57:39.500293587 AEST","-64"
"58","Jun 24, 2020 13:57:39.602715081 AEST","-64"
"59","Jun 24, 2020 13:57:39.705216442 AEST","-64"
"60","Jun 24, 2020 13:57:39.909944905 AEST","-64"
"61","Jun 24, 2020 13:57:40.114777412 AEST","-64"
"62","Jun 24, 2020 13:57:40.217326560 AEST","-64"
"63","Jun 24, 2020 13:57:40.421985489 AEST","-64"
"64","Jun 24, 2020 13:57:40.524418874 AEST","-68"
"65","Jun 24, 2020 13:57:40.626757763 AEST","-64"
"66","Jun 24, 2020 13:57:40.729442042 AEST","-64"
