frame.number,frame.time,wlan_radio.signal_dbm
"1","Jun 24, 2020 14:10:13.346477060 AEST","-40"
"2","Jun 24, 2020 14:10:13.448064784 AEST","-40"
"3","Jun 24, 2020 14:10:13.550524964 AEST","-40"
"4","Jun 24, 2020 14:10:13.652763903 AEST","-48"
"5","Jun 24, 2020 14:10:13.756405400 AEST","-40"
"6","Jun 24, 2020 14:10:13.858942240 AEST","-42"
"7","Jun 24, 2020 14:10:13.959908241 AEST","-42"
"8","Jun 24, 2020 14:10:14.063472838 AEST","-40"
"9","Jun 24, 2020 14:10:14.097985197 AEST","-44"
"10","Jun 24, 2020 14:10:14.100996448 AEST","-42"
"11","Jun 24, 2020 14:10:14.104676866 AEST","-44"
"12","Jun 24, 2020 14:10:14.111226730 AEST","-42"
"13","Jun 24, 2020 14:10:14.114618882 AEST","-44"
"14","Jun 24, 2020 14:10:14.123670449 AEST","-42"
"15","Jun 24, 2020 14:10:14.128213097 AEST","-44"
"16","Jun 24, 2020 14:10:14.132739517 AEST","-42"
"17","Jun 24, 2020 14:10:14.136887431 AEST","-42"
"18","Jun 24, 2020 14:10:14.140652485 AEST","-42"
"19","Jun 24, 2020 14:10:14.143522168 AEST","-48"
"20","Jun 24, 2020 14:10:14.145412252 AEST","-48"
"21","Jun 24, 2020 14:10:14.149375965 AEST","-48"
"22","Jun 24, 2020 14:10:14.155945969 AEST","-40"
"23","Jun 24, 2020 14:10:14.165381469 AEST","-40"
"24","Jun 24, 2020 14:10:14.267164104 AEST","-42"
"25","Jun 24, 2020 14:10:14.369524280 AEST","-40"
"26","Jun 24, 2020 14:10:14.471929934 AEST","-40"
"27","Jun 24, 2020 14:10:14.575424497 AEST","-40"
"28","Jun 24, 2020 14:10:14.677869842 AEST","-40"
"29","Jun 24, 2020 14:10:14.780320188 AEST","-42"
"30","Jun 24, 2020 14:10:14.881485809 AEST","-40"
"31","Jun 24, 2020 14:10:14.984048515 AEST","-42"
"32","Jun 24, 2020 14:10:15.087452074 AEST","-42"
"33","Jun 24, 2020 14:10:15.189449680 AEST","-40"
"34","Jun 24, 2020 14:10:15.292253556 AEST","-40"
"35","Jun 24, 2020 14:10:15.393531534 AEST","-40"
"36","Jun 24, 2020 14:10:15.496760066 AEST","-40"
"37","Jun 24, 2020 14:10:15.598393746 AEST","-40"
"38","Jun 24, 2020 14:10:15.700697691 AEST","-40"
"39","Jun 24, 2020 14:10:15.803109630 AEST","-40"
"40","Jun 24, 2020 14:10:16.009050839 AEST","-42"
"41","Jun 24, 2020 14:10:16.111481682 AEST","-40"
"42","Jun 24, 2020 14:10:16.212883930 AEST","-40"
"43","Jun 24, 2020 14:10:16.315139417 AEST","-40"
"44","Jun 24, 2020 14:10:16.417511974 AEST","-40"
"45","Jun 24, 2020 14:10:16.521155591 AEST","-40"
"46","Jun 24, 2020 14:10:16.623429159 AEST","-40"
"47","Jun 24, 2020 14:10:16.724648545 AEST","-40"
"48","Jun 24, 2020 14:10:16.828256156 AEST","-40"
"49","Jun 24, 2020 14:10:16.929490741 AEST","-40"
"50","Jun 24, 2020 14:10:17.032145429 AEST","-40"
"51","Jun 24, 2020 14:10:17.134486726 AEST","-40"
"52","Jun 24, 2020 14:10:17.236798775 AEST","-40"
"53","Jun 24, 2020 14:10:17.441416216 AEST","-40"
"54","Jun 24, 2020 14:10:17.543882542 AEST","-40"
"55","Jun 24, 2020 14:10:17.646645448 AEST","-40"
"56","Jun 24, 2020 14:10:17.663533927 AEST","-40"
"57","Jun 24, 2020 14:10:17.666876886 AEST","-44"
"58","Jun 24, 2020 14:10:17.673658686 AEST","-48"
"59","Jun 24, 2020 14:10:17.677396776 AEST","-44"
"60","Jun 24, 2020 14:10:17.679905947 AEST","-44"
"61","Jun 24, 2020 14:10:17.682236742 AEST","-40"
"62","Jun 24, 2020 14:10:17.685423891 AEST","-40"
"63","Jun 24, 2020 14:10:17.748814248 AEST","-40"
"64","Jun 24, 2020 14:10:17.852658520 AEST","-40"
"65","Jun 24, 2020 14:10:17.953522796 AEST","-40"
"66","Jun 24, 2020 14:10:18.057017657 AEST","-40"
"67","Jun 24, 2020 14:10:18.159091561 AEST","-40"
"68","Jun 24, 2020 14:10:18.260666013 AEST","-40"
"69","Jun 24, 2020 14:10:18.363076697 AEST","-40"
"70","Jun 24, 2020 14:10:18.465421661 AEST","-40"
"71","Jun 24, 2020 14:10:18.569051914 AEST","-40"
"72","Jun 24, 2020 14:10:18.671411701 AEST","-40"
"73","Jun 24, 2020 14:10:18.773390788 AEST","-40"
"74","Jun 24, 2020 14:10:18.875046668 AEST","-40"
"75","Jun 24, 2020 14:10:18.977467842 AEST","-40"
"76","Jun 24, 2020 14:10:19.080117904 AEST","-40"
"77","Jun 24, 2020 14:10:19.182442137 AEST","-40"
"78","Jun 24, 2020 14:10:19.285466550 AEST","-40"
"79","Jun 24, 2020 14:10:19.489469842 AEST","-40"
"80","Jun 24, 2020 14:10:19.593011378 AEST","-40"
"81","Jun 24, 2020 14:10:19.694315966 AEST","-40"
"82","Jun 24, 2020 14:10:19.796937681 AEST","-40"
"83","Jun 24, 2020 14:10:20.002488732 AEST","-40"
"84","Jun 24, 2020 14:10:20.104399110 AEST","-40"
"85","Jun 24, 2020 14:10:20.206683792 AEST","-40"
"86","Jun 24, 2020 14:10:20.309555072 AEST","-40"
"87","Jun 24, 2020 14:10:20.411074867 AEST","-40"
"88","Jun 24, 2020 14:10:20.513403068 AEST","-40"
"89","Jun 24, 2020 14:10:20.616993526 AEST","-40"
"90","Jun 24, 2020 14:10:20.718364543 AEST","-40"
"91","Jun 24, 2020 14:10:20.820614119 AEST","-40"
"92","Jun 24, 2020 14:10:20.923159079 AEST","-40"
"93","Jun 24, 2020 14:10:21.025665803 AEST","-40"
"94","Jun 24, 2020 14:10:21.127981615 AEST","-40"
"95","Jun 24, 2020 14:10:21.230247476 AEST","-40"
"96","Jun 24, 2020 14:10:21.333390036 AEST","-40"
"97","Jun 24, 2020 14:10:21.436208840 AEST","-40"
"98","Jun 24, 2020 14:10:21.537428281 AEST","-40"
"99","Jun 24, 2020 14:10:21.639803429 AEST","-40"
"100","Jun 24, 2020 14:10:21.752221902 AEST","-40"
"101","Jun 24, 2020 14:10:21.762105943 AEST","-40"
"102","Jun 24, 2020 14:10:21.764981567 AEST","-40"
"103","Jun 24, 2020 14:10:21.767813893 AEST","-40"
"104","Jun 24, 2020 14:10:21.770686364 AEST","-42"
"105","Jun 24, 2020 14:10:21.774378204 AEST","-40"
"106","Jun 24, 2020 14:10:21.844648302 AEST","-40"
"107","Jun 24, 2020 14:10:21.947251361 AEST","-40"
"108","Jun 24, 2020 14:10:22.152207899 AEST","-40"
"109","Jun 24, 2020 14:10:22.254409663 AEST","-40"
"110","Jun 24, 2020 14:10:22.459112924 AEST","-40"
"111","Jun 24, 2020 14:10:22.561412721 AEST","-40"
"112","Jun 24, 2020 14:10:22.663919125 AEST","-40"
"113","Jun 24, 2020 14:10:22.767376379 AEST","-40"
"114","Jun 24, 2020 14:10:22.869442316 AEST","-40"
"115","Jun 24, 2020 14:10:22.972161268 AEST","-40"
"116","Jun 24, 2020 14:10:23.073398084 AEST","-40"
"117","Jun 24, 2020 14:10:23.175868092 AEST","-40"
"118","Jun 24, 2020 14:10:23.278246343 AEST","-40"
"119","Jun 24, 2020 14:10:23.385388135 AEST","-40"
"120","Jun 24, 2020 14:10:23.484170898 AEST","-40"
"121","Jun 24, 2020 14:10:23.585371253 AEST","-40"
"122","Jun 24, 2020 14:10:23.687960563 AEST","-40"
"123","Jun 24, 2020 14:10:23.791192028 AEST","-40"
"124","Jun 24, 2020 14:10:23.892730026 AEST","-40"
"125","Jun 24, 2020 14:10:24.097365306 AEST","-40"
"126","Jun 24, 2020 14:10:24.199968383 AEST","-40"
"127","Jun 24, 2020 14:10:24.302238053 AEST","-40"
"128","Jun 24, 2020 14:10:24.406108738 AEST","-40"
"129","Jun 24, 2020 14:10:24.507245881 AEST","-40"
"130","Jun 24, 2020 14:10:24.609468052 AEST","-40"
"131","Jun 24, 2020 14:10:24.815362797 AEST","-40"
"132","Jun 24, 2020 14:10:24.917406401 AEST","-40"
"133","Jun 24, 2020 14:10:25.020179597 AEST","-40"
"134","Jun 24, 2020 14:10:25.121365428 AEST","-40"
"135","Jun 24, 2020 14:10:25.223807186 AEST","-40"
"136","Jun 24, 2020 14:10:25.326181403 AEST","-40"
"137","Jun 24, 2020 14:10:25.532161692 AEST","-40"
"138","Jun 24, 2020 14:10:25.633376135 AEST","-40"
"139","Jun 24, 2020 14:10:25.736925047 AEST","-40"
"140","Jun 24, 2020 14:10:25.838321200 AEST","-40"
"141","Jun 24, 2020 14:10:25.940626591 AEST","-40"
"142","Jun 24, 2020 14:10:26.043204037 AEST","-40"
"143","Jun 24, 2020 14:10:26.145423665 AEST","-40"
"144","Jun 24, 2020 14:10:26.247755807 AEST","-40"
"145","Jun 24, 2020 14:10:26.350235918 AEST","-40"
"146","Jun 24, 2020 14:10:26.453386650 AEST","-40"
"147","Jun 24, 2020 14:10:26.555436758 AEST","-40"
"148","Jun 24, 2020 14:10:26.657384103 AEST","-40"
"149","Jun 24, 2020 14:10:26.759738735 AEST","-40"
"150","Jun 24, 2020 14:10:26.863034718 AEST","-40"
"151","Jun 24, 2020 14:10:26.965420995 AEST","-40"
"152","Jun 24, 2020 14:10:27.068157456 AEST","-40"
"153","Jun 24, 2020 14:10:27.169403609 AEST","-40"
"154","Jun 24, 2020 14:10:27.271741637 AEST","-40"
"155","Jun 24, 2020 14:10:27.681373111 AEST","-40"
"156","Jun 24, 2020 14:10:27.778708794 AEST","-40"
"157","Jun 24, 2020 14:10:27.781595334 AEST","-40"
"158","Jun 24, 2020 14:10:27.784559883 AEST","-40"
"159","Jun 24, 2020 14:10:27.787740650 AEST","-40"
"160","Jun 24, 2020 14:10:27.790152664 AEST","-40"
"161","Jun 24, 2020 14:10:27.796944490 AEST","-40"
"162","Jun 24, 2020 14:10:27.886672116 AEST","-40"
"163","Jun 24, 2020 14:10:28.091185347 AEST","-40"
"164","Jun 24, 2020 14:10:28.193379904 AEST","-40"
"165","Jun 24, 2020 14:10:28.296166694 AEST","-40"
"166","Jun 24, 2020 14:10:28.399344979 AEST","-40"
"167","Jun 24, 2020 14:10:28.501419859 AEST","-40"
"168","Jun 24, 2020 14:10:28.603146971 AEST","-40"
"169","Jun 24, 2020 14:10:28.705730080 AEST","-40"
"170","Jun 24, 2020 14:10:28.807720557 AEST","-42"
"171","Jun 24, 2020 14:10:28.911236828 AEST","-40"
"172","Jun 24, 2020 14:10:29.012601019 AEST","-40"
"173","Jun 24, 2020 14:10:29.115012715 AEST","-40"
"174","Jun 24, 2020 14:10:29.217352070 AEST","-40"
"175","Jun 24, 2020 14:10:29.319695129 AEST","-40"
"176","Jun 24, 2020 14:10:29.422142920 AEST","-40"
"177","Jun 24, 2020 14:10:29.525721623 AEST","-40"
"178","Jun 24, 2020 14:10:29.628096366 AEST","-40"
"179","Jun 24, 2020 14:10:29.729394396 AEST","-40"
"180","Jun 24, 2020 14:10:29.832253481 AEST","-40"
"181","Jun 24, 2020 14:10:29.934977962 AEST","-40"
"182","Jun 24, 2020 14:10:30.036676149 AEST","-40"
"183","Jun 24, 2020 14:10:30.138995370 AEST","-40"
"184","Jun 24, 2020 14:10:30.241451893 AEST","-40"
"185","Jun 24, 2020 14:10:30.343797380 AEST","-40"
"186","Jun 24, 2020 14:10:30.446449950 AEST","-40"
"187","Jun 24, 2020 14:10:30.550671129 AEST","-40"
"188","Jun 24, 2020 14:10:30.553884354 AEST","-40"
"189","Jun 24, 2020 14:10:30.651074852 AEST","-40"
"190","Jun 24, 2020 14:10:30.753417204 AEST","-40"
"191","Jun 24, 2020 14:10:30.958984996 AEST","-40"
"192","Jun 24, 2020 14:10:31.060534696 AEST","-40"
"193","Jun 24, 2020 14:10:31.265463910 AEST","-40"
"194","Jun 24, 2020 14:10:31.367869589 AEST","-40"
"195","Jun 24, 2020 14:10:31.470123316 AEST","-40"
"196","Jun 24, 2020 14:10:31.573394844 AEST","-40"
"197","Jun 24, 2020 14:10:31.676069914 AEST","-40"
"198","Jun 24, 2020 14:10:31.777403295 AEST","-40"
"199","Jun 24, 2020 14:10:31.982158723 AEST","-40"
"200","Jun 24, 2020 14:10:32.084567866 AEST","-40"
"201","Jun 24, 2020 14:10:32.189581658 AEST","-40"
"202","Jun 24, 2020 14:10:32.289462691 AEST","-40"
"203","Jun 24, 2020 14:10:32.392399541 AEST","-40"
"204","Jun 24, 2020 14:10:32.495266033 AEST","-40"
"205","Jun 24, 2020 14:10:32.699380825 AEST","-40"
"206","Jun 24, 2020 14:10:32.801350133 AEST","-40"
"207","Jun 24, 2020 14:10:32.903824496 AEST","-40"
"208","Jun 24, 2020 14:10:33.007288384 AEST","-40"
"209","Jun 24, 2020 14:10:33.109390618 AEST","-40"
"210","Jun 24, 2020 14:10:33.210934066 AEST","-40"
"211","Jun 24, 2020 14:10:33.313428152 AEST","-40"
"212","Jun 24, 2020 14:10:33.415705279 AEST","-40"
"213","Jun 24, 2020 14:10:33.518235049 AEST","-40"
"214","Jun 24, 2020 14:10:33.620676431 AEST","-40"
"215","Jun 24, 2020 14:10:33.722917894 AEST","-40"
"216","Jun 24, 2020 14:10:33.825387663 AEST","-40"
"217","Jun 24, 2020 14:10:33.928301853 AEST","-40"
"218","Jun 24, 2020 14:10:34.031267609 AEST","-40"
"219","Jun 24, 2020 14:10:34.132537256 AEST","-40"
"220","Jun 24, 2020 14:10:34.234887499 AEST","-40"
"221","Jun 24, 2020 14:10:34.337469640 AEST","-40"
"222","Jun 24, 2020 14:10:34.543301881 AEST","-40"
"223","Jun 24, 2020 14:10:34.645836068 AEST","-40"
"224","Jun 24, 2020 14:10:34.746917848 AEST","-40"
"225","Jun 24, 2020 14:10:34.952010637 AEST","-40"
"226","Jun 24, 2020 14:10:35.055362454 AEST","-40"
"227","Jun 24, 2020 14:10:35.157390407 AEST","-40"
"228","Jun 24, 2020 14:10:35.258901722 AEST","-40"
"229","Jun 24, 2020 14:10:35.363871185 AEST","-40"
"230","Jun 24, 2020 14:10:35.463738452 AEST","-40"
"231","Jun 24, 2020 14:10:35.566155613 AEST","-40"
"232","Jun 24, 2020 14:10:35.668661878 AEST","-40"
"233","Jun 24, 2020 14:10:35.771340140 AEST","-40"
"234","Jun 24, 2020 14:10:35.873388146 AEST","-40"
"235","Jun 24, 2020 14:10:35.975682410 AEST","-40"
"236","Jun 24, 2020 14:10:36.078088066 AEST","-40"
"237","Jun 24, 2020 14:10:36.180487524 AEST","-40"
"238","Jun 24, 2020 14:10:36.282859979 AEST","-40"
"239","Jun 24, 2020 14:10:36.385413115 AEST","-40"
"240","Jun 24, 2020 14:10:36.488358686 AEST","-40"
"241","Jun 24, 2020 14:10:36.591228419 AEST","-40"
"242","Jun 24, 2020 14:10:36.693389508 AEST","-40"
"243","Jun 24, 2020 14:10:36.795970291 AEST","-40"
"244","Jun 24, 2020 14:10:36.897332514 AEST","-40"
"245","Jun 24, 2020 14:10:36.999797436 AEST","-40"
"246","Jun 24, 2020 14:10:37.103249742 AEST","-40"
"247","Jun 24, 2020 14:10:37.204445326 AEST","-40"
"248","Jun 24, 2020 14:10:37.308020466 AEST","-40"
"249","Jun 24, 2020 14:10:37.409387921 AEST","-40"
"250","Jun 24, 2020 14:10:37.511712596 AEST","-40"
"251","Jun 24, 2020 14:10:37.614226947 AEST","-40"
"252","Jun 24, 2020 14:10:37.716486731 AEST","-42"
"253","Jun 24, 2020 14:10:37.818950851 AEST","-40"
"254","Jun 24, 2020 14:10:37.921396543 AEST","-40"
"255","Jun 24, 2020 14:10:38.023666509 AEST","-40"
"256","Jun 24, 2020 14:10:38.228538356 AEST","-40"
"257","Jun 24, 2020 14:10:38.330845253 AEST","-40"
"258","Jun 24, 2020 14:10:38.433224818 AEST","-40"
"259","Jun 24, 2020 14:10:38.536122050 AEST","-40"
"260","Jun 24, 2020 14:10:38.639235652 AEST","-40"
"261","Jun 24, 2020 14:10:38.740910573 AEST","-40"
"262","Jun 24, 2020 14:10:38.844039743 AEST","-40"
"263","Jun 24, 2020 14:10:38.945283504 AEST","-40"
"264","Jun 24, 2020 14:10:39.047641837 AEST","-40"
"265","Jun 24, 2020 14:10:39.150495394 AEST","-40"
"266","Jun 24, 2020 14:10:39.252667792 AEST","-42"
"267","Jun 24, 2020 14:10:39.356017638 AEST","-40"
"268","Jun 24, 2020 14:10:39.457527056 AEST","-40"
"269","Jun 24, 2020 14:10:39.559674722 AEST","-40"
"270","Jun 24, 2020 14:10:39.662151824 AEST","-40"
"271","Jun 24, 2020 14:10:39.764480825 AEST","-40"
"272","Jun 24, 2020 14:10:39.866809733 AEST","-40"
"273","Jun 24, 2020 14:10:39.969423750 AEST","-40"
"274","Jun 24, 2020 14:10:40.071655354 AEST","-40"
"275","Jun 24, 2020 14:10:40.175183634 AEST","-40"
"276","Jun 24, 2020 14:10:40.276619055 AEST","-40"
"277","Jun 24, 2020 14:10:40.380693215 AEST","-40"
"278","Jun 24, 2020 14:10:40.481367968 AEST","-40"
"279","Jun 24, 2020 14:10:40.583871845 AEST","-40"
"280","Jun 24, 2020 14:10:40.687180642 AEST","-40"
"281","Jun 24, 2020 14:10:40.789426219 AEST","-40"
"282","Jun 24, 2020 14:10:40.891187903 AEST","-40"
"283","Jun 24, 2020 14:10:40.993206752 AEST","-40"
"284","Jun 24, 2020 14:10:41.095607237 AEST","-40"
"285","Jun 24, 2020 14:10:41.301382410 AEST","-40"
"286","Jun 24, 2020 14:10:41.403976883 AEST","-40"
"287","Jun 24, 2020 14:10:41.505251274 AEST","-40"
"288","Jun 24, 2020 14:10:41.607576503 AEST","-40"
"289","Jun 24, 2020 14:10:41.710754532 AEST","-40"
"290","Jun 24, 2020 14:10:41.812484732 AEST","-40"
"291","Jun 24, 2020 14:10:41.915243702 AEST","-40"
"292","Jun 24, 2020 14:10:42.017417363 AEST","-40"
"293","Jun 24, 2020 14:10:42.090539029 AEST","-40"
"294","Jun 24, 2020 14:10:42.105490356 AEST","-40"
"295","Jun 24, 2020 14:10:42.120141688 AEST","-40"
"296","Jun 24, 2020 14:10:42.160123920 AEST","-42"
"297","Jun 24, 2020 14:10:42.163153762 AEST","-40"
"298","Jun 24, 2020 14:10:42.166535865 AEST","-42"
"299","Jun 24, 2020 14:10:42.170543718 AEST","-42"
"300","Jun 24, 2020 14:10:42.177941737 AEST","-42"
"301","Jun 24, 2020 14:10:42.181954946 AEST","-42"
"302","Jun 24, 2020 14:10:42.184901137 AEST","-42"
"303","Jun 24, 2020 14:10:42.223193128 AEST","-40"
"304","Jun 24, 2020 14:10:42.324890314 AEST","-40"
"305","Jun 24, 2020 14:10:42.427081064 AEST","-40"
"306","Jun 24, 2020 14:10:42.529403278 AEST","-40"
"307","Jun 24, 2020 14:10:42.631602461 AEST","-40"
"308","Jun 24, 2020 14:10:42.734681849 AEST","-40"
"309","Jun 24, 2020 14:10:42.837454134 AEST","-40"
"310","Jun 24, 2020 14:10:42.940003345 AEST","-40"
"311","Jun 24, 2020 14:10:43.041211266 AEST","-40"
