"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"12","0.064099","46:b3:2c:81:00:f3","Broadcast","802.11","244","-26dBm","-85dBm","59dB","Beacon frame, SN=2403, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"57","1.907470","46:b3:2c:81:00:f3","Broadcast","802.11","244","-25dBm","-86dBm","61dB","Beacon frame, SN=2411, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"65","2.214666","46:b3:2c:81:00:f3","Broadcast","802.11","244","-26dBm","-86dBm","60dB","Beacon frame, SN=2412, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"114","2.521757","46:b3:2c:81:00:f3","Broadcast","802.11","244","-29dBm","-86dBm","57dB","Beacon frame, SN=2413, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"225","4.365076","46:b3:2c:81:00:f3","Broadcast","802.11","244","-28dBm","-87dBm","59dB","Beacon frame, SN=2423, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"228","4.672234","46:b3:2c:81:00:f3","Broadcast","802.11","244","-29dBm","-87dBm","58dB","Beacon frame, SN=2424, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"239","4.979462","46:b3:2c:81:00:f3","Broadcast","802.11","244","-26dBm","-87dBm","61dB","Beacon frame, SN=2425, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"484","5.901089","46:b3:2c:81:00:f3","Broadcast","802.11","244","-40dBm","-87dBm","47dB","Beacon frame, SN=2428, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"516","6.208294","46:b3:2c:81:00:f3","Broadcast","802.11","244","-38dBm","-88dBm","50dB","Beacon frame, SN=2429, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"521","6.515754","46:b3:2c:81:00:f3","Broadcast","802.11","244","-45dBm","-88dBm","43dB","Beacon frame, SN=2430, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"524","6.822690","46:b3:2c:81:00:f3","Broadcast","802.11","244","-37dBm","-88dBm","51dB","Beacon frame, SN=2431, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"557","8.358725","46:b3:2c:81:00:f3","Broadcast","802.11","244","-39dBm","-87dBm","48dB","Beacon frame, SN=2436, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"570","8.665925","46:b3:2c:81:00:f3","Broadcast","802.11","244","-41dBm","-87dBm","46dB","Beacon frame, SN=2437, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"572","8.973108","46:b3:2c:81:00:f3","Broadcast","802.11","244","-47dBm","-87dBm","40dB","Beacon frame, SN=2438, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"595","10.816329","46:b3:2c:81:00:f3","Broadcast","802.11","244","-40dBm","-88dBm","48dB","Beacon frame, SN=2446, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"596","11.123428","46:b3:2c:81:00:f3","Broadcast","802.11","244","-44dBm","-87dBm","43dB","Beacon frame, SN=2447, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"648","11.430711","46:b3:2c:81:00:f3","Broadcast","802.11","244","-45dBm","-87dBm","42dB","Beacon frame, SN=2448, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"655","11.737942","46:b3:2c:81:00:f3","Broadcast","802.11","244","-45dBm","-87dBm","42dB","Beacon frame, SN=2449, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"755","13.273939","46:b3:2c:81:00:f3","Broadcast","802.11","244","-48dBm","-86dBm","38dB","Beacon frame, SN=2454, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"784","13.581052","46:b3:2c:81:00:f3","Broadcast","802.11","244","-53dBm","-86dBm","33dB","Beacon frame, SN=2455, FN=0, Flags=........C, BI=300, SSID=COMP4336[Malformed Packet]"
