"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Info"
"1","0.000000000","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-10dBm","Beacon frame, SN=409, FN=0, Flags=........C, BI=100, SSID=z5206677"
"2","0.102588705","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-10dBm","Beacon frame, SN=410, FN=0, Flags=........C, BI=100, SSID=z5206677"
"3","0.306734223","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-10dBm","Beacon frame, SN=412, FN=0, Flags=........C, BI=100, SSID=z5206677"
"4","0.512684677","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-10dBm","Beacon frame, SN=414, FN=0, Flags=........C, BI=100, SSID=z5206677"
"5","0.615083993","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-10dBm","Beacon frame, SN=415, FN=0, Flags=........C, BI=100, SSID=z5206677"
"6","0.717330307","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-10dBm","Beacon frame, SN=416, FN=0, Flags=........C, BI=100, SSID=z5206677"
"7","0.819893444","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-10dBm","Beacon frame, SN=417, FN=0, Flags=........C, BI=100, SSID=z5206677"
"8","0.921342575","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-10dBm","Beacon frame, SN=418, FN=0, Flags=........C, BI=100, SSID=z5206677"
"9","1.023694387","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-10dBm","Beacon frame, SN=419, FN=0, Flags=........C, BI=100, SSID=z5206677"
"10","1.126059148","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-14dBm","Beacon frame, SN=420, FN=0, Flags=........C, BI=100, SSID=z5206677"
"11","1.229346347","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-10dBm","Beacon frame, SN=421, FN=0, Flags=........C, BI=100, SSID=z5206677"
"12","1.433134707","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-14dBm","Beacon frame, SN=423, FN=0, Flags=........C, BI=100, SSID=z5206677"
"13","1.535669502","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-10dBm","Beacon frame, SN=424, FN=0, Flags=........C, BI=100, SSID=z5206677"
