"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Info"
"1","0.000000000","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=941, FN=0, Flags=........C, BI=100, SSID=z5206677"
"2","0.102471294","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=942, FN=0, Flags=........C, BI=100, SSID=z5206677"
"3","0.204936055","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=943, FN=0, Flags=........C, BI=100, SSID=z5206677"
"4","0.308312094","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=944, FN=0, Flags=........C, BI=100, SSID=z5206677"
"5","0.512857910","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=946, FN=0, Flags=........C, BI=100, SSID=z5206677"
"6","0.614496249","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=947, FN=0, Flags=........C, BI=100, SSID=z5206677"
"7","0.716848094","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=948, FN=0, Flags=........C, BI=100, SSID=z5206677"
"8","0.819294971","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-58dBm","Beacon frame, SN=949, FN=0, Flags=........C, BI=100, SSID=z5206677"
"9","0.922587833","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-72dBm","Beacon frame, SN=950, FN=0, Flags=........C, BI=100, SSID=z5206677"
"10","1.126515636","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=952, FN=0, Flags=........C, BI=100, SSID=z5206677"
"11","1.229895807","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=953, FN=0, Flags=........C, BI=100, SSID=z5206677"
"12","1.332297018","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=954, FN=0, Flags=........C, BI=100, SSID=z5206677"
"13","1.536146777","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=956, FN=0, Flags=........C, BI=100, SSID=z5206677"
"14","1.639487234","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-58dBm","Beacon frame, SN=957, FN=0, Flags=........C, BI=100, SSID=z5206677"
"15","1.806817141","0a:c5:e1:a7:65:73","HonHaiPr_bd:47:c2","802.11","314","-56dBm","Probe Response, SN=959, FN=0, Flags=........C, BI=100, SSID=z5206677"
"16","1.815760237","0a:c5:e1:a7:65:73","HonHaiPr_bd:47:c2","802.11","314","-56dBm","Probe Response, SN=960, FN=0, Flags=........C, BI=100, SSID=z5206677"
"17","1.828062625","0a:c5:e1:a7:65:73","HonHaiPr_bd:47:c2","802.11","314","-58dBm","Probe Response, SN=961, FN=0, Flags=........C, BI=100, SSID=z5206677"
"18","1.831498805","0a:c5:e1:a7:65:73","HonHaiPr_bd:47:c2","802.11","314","-60dBm","Probe Response, SN=961, FN=0, Flags=....R...C, BI=100, SSID=z5206677"
"19","1.838980004","0a:c5:e1:a7:65:73","HonHaiPr_bd:47:c2","802.11","314","-60dBm","Probe Response, SN=961, FN=0, Flags=....R...C, BI=100, SSID=z5206677"
"20","1.840707034","0a:c5:e1:a7:65:73","HonHaiPr_bd:47:c2","802.11","314","-64dBm","Probe Response, SN=961, FN=0, Flags=....R...C, BI=100, SSID=z5206677"
"21","1.844758299","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=962, FN=0, Flags=........C, BI=100, SSID=z5206677"
"22","1.856017585","0a:c5:e1:a7:65:73","HonHaiPr_bd:47:c2","802.11","314","-60dBm","Probe Response, SN=963, FN=0, Flags=....R...C, BI=100, SSID=z5206677"
"23","1.858914165","0a:c5:e1:a7:65:73","HonHaiPr_bd:47:c2","802.11","314","-60dBm","Probe Response, SN=963, FN=0, Flags=....R...C, BI=100, SSID=z5206677"
"24","1.860850474","0a:c5:e1:a7:65:73","HonHaiPr_bd:47:c2","802.11","314","-60dBm","Probe Response, SN=963, FN=0, Flags=....R...C, BI=100, SSID=z5206677"
"25","1.867109705","0a:c5:e1:a7:65:73","HonHaiPr_bd:47:c2","802.11","314","-60dBm","Probe Response, SN=963, FN=0, Flags=....R...C, BI=100, SSID=z5206677"
"26","1.870051022","0a:c5:e1:a7:65:73","HonHaiPr_bd:47:c2","802.11","314","-60dBm","Probe Response, SN=963, FN=0, Flags=....R...C, BI=100, SSID=z5206677"
"27","1.946497558","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-60dBm","Beacon frame, SN=964, FN=0, Flags=........C, BI=100, SSID=z5206677"
"28","2.048855648","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=965, FN=0, Flags=........C, BI=100, SSID=z5206677"
