"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Info"
"1","0.000000000","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=1877, FN=0, Flags=........C, BI=100, SSID=z5206677"
"2","0.103451620","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=1878, FN=0, Flags=........C, BI=100, SSID=z5206677"
"3","0.205850418","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-60dBm","Beacon frame, SN=1879, FN=0, Flags=........C, BI=100, SSID=z5206677"
"4","0.308233877","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=1880, FN=0, Flags=........C, BI=100, SSID=z5206677"
"5","0.410236940","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=1881, FN=0, Flags=........C, BI=100, SSID=z5206677"
"6","0.614826734","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-62dBm","Beacon frame, SN=1883, FN=0, Flags=........C, BI=100, SSID=z5206677"
"7","0.717842234","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-68dBm","Beacon frame, SN=1884, FN=0, Flags=........C, BI=100, SSID=z5206677"
"8","0.820254132","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-58dBm","Beacon frame, SN=1885, FN=0, Flags=........C, BI=100, SSID=z5206677"
"9","1.024332816","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=1887, FN=0, Flags=........C, BI=100, SSID=z5206677"
"10","1.126486303","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-58dBm","Beacon frame, SN=1888, FN=0, Flags=........C, BI=100, SSID=z5206677"
"11","1.228666796","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=1889, FN=0, Flags=........C, BI=100, SSID=z5206677"
"12","1.332223344","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=1890, FN=0, Flags=........C, BI=100, SSID=z5206677"
"13","1.537032373","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=1892, FN=0, Flags=........C, BI=100, SSID=z5206677"
"14","1.639433108","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=1893, FN=0, Flags=........C, BI=100, SSID=z5206677"
"15","1.741830422","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-58dBm","Beacon frame, SN=1894, FN=0, Flags=........C, BI=100, SSID=z5206677"
"16","1.945630237","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=1896, FN=0, Flags=........C, BI=100, SSID=z5206677"
"17","2.047973633","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-58dBm","Beacon frame, SN=1897, FN=0, Flags=........C, BI=100, SSID=z5206677"
"18","2.457486346","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-66dBm","Beacon frame, SN=1901, FN=0, Flags=........C, BI=100, SSID=z5206677"
"19","2.560027536","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=1902, FN=0, Flags=........C, BI=100, SSID=z5206677"
"20","2.663412898","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-60dBm","Beacon frame, SN=1903, FN=0, Flags=........C, BI=100, SSID=z5206677"
"21","2.764680136","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=1904, FN=0, Flags=........C, BI=100, SSID=z5206677"
"22","3.072664522","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-58dBm","Beacon frame, SN=1907, FN=0, Flags=........C, BI=100, SSID=z5206677"
"23","3.174637158","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=1908, FN=0, Flags=........C, BI=100, SSID=z5206677"
"24","3.276631017","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-54dBm","Beacon frame, SN=1909, FN=0, Flags=........C, BI=100, SSID=z5206677"
"25","3.481605776","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=1911, FN=0, Flags=........C, BI=100, SSID=z5206677"
"26","3.585020130","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=1912, FN=0, Flags=........C, BI=100, SSID=z5206677"
"27","3.788814337","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-58dBm","Beacon frame, SN=1914, FN=0, Flags=........C, BI=100, SSID=z5206677"
"28","3.891214522","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=1915, FN=0, Flags=........C, BI=100, SSID=z5206677"
"29","3.993559822","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=1916, FN=0, Flags=........C, BI=100, SSID=z5206677"
"30","4.097000938","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=1917, FN=0, Flags=........C, BI=100, SSID=z5206677"
"31","4.199425916","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=1918, FN=0, Flags=........C, BI=100, SSID=z5206677"
"32","4.404211597","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=1920, FN=0, Flags=........C, BI=100, SSID=z5206677"
"33","4.506600516","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=1921, FN=0, Flags=........C, BI=100, SSID=z5206677"
"34","4.608022339","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-60dBm","Beacon frame, SN=1922, FN=0, Flags=........C, BI=100, SSID=z5206677"
"35","4.711397414","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-58dBm","Beacon frame, SN=1923, FN=0, Flags=........C, BI=100, SSID=z5206677"
"36","4.812816893","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-58dBm","Beacon frame, SN=1924, FN=0, Flags=........C, BI=100, SSID=z5206677"
"37","4.916210407","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=1925, FN=0, Flags=........C, BI=100, SSID=z5206677"
"38","5.018583291","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-60dBm","Beacon frame, SN=1926, FN=0, Flags=........C, BI=100, SSID=z5206677"
"39","5.120540145","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-68dBm","Beacon frame, SN=1927, FN=0, Flags=........C, BI=100, SSID=z5206677"
"40","5.222803894","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-60dBm","Beacon frame, SN=1928, FN=0, Flags=........C, BI=100, SSID=z5206677"
"41","5.324864946","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=1929, FN=0, Flags=........C, BI=100, SSID=z5206677"
"42","5.428194850","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-72dBm","Beacon frame, SN=1930, FN=0, Flags=........C, BI=100, SSID=z5206677"
"43","5.530607365","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-72dBm","Beacon frame, SN=1931, FN=0, Flags=........C, BI=100, SSID=z5206677"
"44","5.632995983","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=1932, FN=0, Flags=........C, BI=100, SSID=z5206677"
"45","5.734212387","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=1933, FN=0, Flags=........C, BI=100, SSID=z5206677"
"46","5.836665648","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-58dBm","Beacon frame, SN=1934, FN=0, Flags=........C, BI=100, SSID=z5206677"
"47","5.939208848","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=1935, FN=0, Flags=........C, BI=100, SSID=z5206677"
"48","6.247380250","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=1938, FN=0, Flags=........C, BI=100, SSID=z5206677"
"49","6.349799838","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=1939, FN=0, Flags=........C, BI=100, SSID=z5206677"
"50","6.451853267","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=1940, FN=0, Flags=........C, BI=100, SSID=z5206677"
"51","6.554569430","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=1941, FN=0, Flags=........C, BI=100, SSID=z5206677"
"52","6.655925847","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=1942, FN=0, Flags=........C, BI=100, SSID=z5206677"
