"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Info"
"1","0.000000000","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=2740, FN=0, Flags=........C, BI=100, SSID=z5206677"
"2","0.102389492","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=2741, FN=0, Flags=........C, BI=100, SSID=z5206677"
"3","0.205010776","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-60dBm","Beacon frame, SN=2742, FN=0, Flags=........C, BI=100, SSID=z5206677"
"4","0.307268003","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-58dBm","Beacon frame, SN=2743, FN=0, Flags=........C, BI=100, SSID=z5206677"
"5","0.411721993","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-68dBm","Beacon frame, SN=2744, FN=0, Flags=........C, BI=100, SSID=z5206677"
"6","0.513157874","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-72dBm","Beacon frame, SN=2745, FN=0, Flags=........C, BI=100, SSID=z5206677"
"7","0.615523813","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=2746, FN=0, Flags=........C, BI=100, SSID=z5206677"
"8","0.716981624","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-60dBm","Beacon frame, SN=2747, FN=0, Flags=........C, BI=100, SSID=z5206677"
"9","0.820314451","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-72dBm","Beacon frame, SN=2748, FN=0, Flags=........C, BI=100, SSID=z5206677"
"10","0.921643395","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-72dBm","Beacon frame, SN=2749, FN=0, Flags=........C, BI=100, SSID=z5206677"
"11","1.024124712","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-68dBm","Beacon frame, SN=2750, FN=0, Flags=........C, BI=100, SSID=z5206677"
"12","1.126378123","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-68dBm","Beacon frame, SN=2751, FN=0, Flags=........C, BI=100, SSID=z5206677"
"13","1.229372174","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=2752, FN=0, Flags=........C, BI=100, SSID=z5206677"
"14","1.331382856","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=2753, FN=0, Flags=........C, BI=100, SSID=z5206677"
"15","1.434714431","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=2754, FN=0, Flags=........C, BI=100, SSID=z5206677"
"16","1.537082493","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=2755, FN=0, Flags=........C, BI=100, SSID=z5206677"
"17","1.638369603","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=2756, FN=0, Flags=........C, BI=100, SSID=z5206677"
"18","1.741647932","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=2757, FN=0, Flags=........C, BI=100, SSID=z5206677"
"19","1.844315928","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-72dBm","Beacon frame, SN=2758, FN=0, Flags=........C, BI=100, SSID=z5206677"
"20","1.946690706","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-72dBm","Beacon frame, SN=2759, FN=0, Flags=........C, BI=100, SSID=z5206677"
"21","2.048032969","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-68dBm","Beacon frame, SN=2760, FN=0, Flags=........C, BI=100, SSID=z5206677"
"22","2.150327374","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-72dBm","Beacon frame, SN=2761, FN=0, Flags=........C, BI=100, SSID=z5206677"
"23","2.253330496","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-68dBm","Beacon frame, SN=2762, FN=0, Flags=........C, BI=100, SSID=z5206677"
"24","2.355387736","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=2763, FN=0, Flags=........C, BI=100, SSID=z5206677"
"25","2.458696661","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=2764, FN=0, Flags=........C, BI=100, SSID=z5206677"
"26","2.561114102","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=2765, FN=0, Flags=........C, BI=100, SSID=z5206677"
"27","2.662545232","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=2766, FN=0, Flags=........C, BI=100, SSID=z5206677"
"28","2.765908415","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-72dBm","Beacon frame, SN=2767, FN=0, Flags=........C, BI=100, SSID=z5206677"
"29","2.868033259","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-68dBm","Beacon frame, SN=2768, FN=0, Flags=........C, BI=100, SSID=z5206677"
"30","2.969744204","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-68dBm","Beacon frame, SN=2769, FN=0, Flags=........C, BI=100, SSID=z5206677"
"31","3.072121018","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=2770, FN=0, Flags=........C, BI=100, SSID=z5206677"
"32","3.277899633","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=2772, FN=0, Flags=........C, BI=100, SSID=z5206677"
"33","3.379259245","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=2773, FN=0, Flags=........C, BI=100, SSID=z5206677"
"34","3.482711204","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=2774, FN=0, Flags=........C, BI=100, SSID=z5206677"
"35","3.584361120","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=2775, FN=0, Flags=........C, BI=100, SSID=z5206677"
"36","3.686481250","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=2776, FN=0, Flags=........C, BI=100, SSID=z5206677"
"37","3.788831324","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-68dBm","Beacon frame, SN=2777, FN=0, Flags=........C, BI=100, SSID=z5206677"
"38","3.892261512","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-68dBm","Beacon frame, SN=2778, FN=0, Flags=........C, BI=100, SSID=z5206677"
"39","3.994271689","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-68dBm","Beacon frame, SN=2779, FN=0, Flags=........C, BI=100, SSID=z5206677"
"40","4.198462334","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=2781, FN=0, Flags=........C, BI=100, SSID=z5206677"
"41","4.301650587","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=2782, FN=0, Flags=........C, BI=100, SSID=z5206677"
"42","4.403219142","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=2783, FN=0, Flags=........C, BI=100, SSID=z5206677"
"43","4.506695866","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=2784, FN=0, Flags=........C, BI=100, SSID=z5206677"
"44","4.609011090","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=2785, FN=0, Flags=........C, BI=100, SSID=z5206677"
