frame.number,frame.time,wlan_radio.signal_dbm
"1","Jun 24, 2020 13:30:14.927060594 AEST","-68"
"2","Jun 24, 2020 13:30:15.029370207 AEST","-76"
"3","Jun 24, 2020 13:30:15.233099926 AEST","-72"
"4","Jun 24, 2020 13:30:15.335595642 AEST","-64"
"5","Jun 24, 2020 13:30:15.438021034 AEST","-64"
"6","Jun 24, 2020 13:30:15.540433365 AEST","-64"
"7","Jun 24, 2020 13:30:15.578982774 AEST","-56"
"8","Jun 24, 2020 13:30:15.601085025 AEST","-56"
"9","Jun 24, 2020 13:30:15.603394912 AEST","-56"
"10","Jun 24, 2020 13:30:15.607275178 AEST","-58"
"11","Jun 24, 2020 13:30:15.610137777 AEST","-58"
"12","Jun 24, 2020 13:30:15.612235434 AEST","-60"
"13","Jun 24, 2020 13:30:15.643803299 AEST","-60"
"14","Jun 24, 2020 13:30:15.847798967 AEST","-64"
"15","Jun 24, 2020 13:30:15.950009196 AEST","-60"
"16","Jun 24, 2020 13:30:16.052264104 AEST","-64"
"17","Jun 24, 2020 13:30:16.154835709 AEST","-64"
"18","Jun 24, 2020 13:30:16.257117221 AEST","-64"
"19","Jun 24, 2020 13:30:16.359522360 AEST","-64"
"20","Jun 24, 2020 13:30:16.461893470 AEST","-64"
"21","Jun 24, 2020 13:30:16.666895165 AEST","-64"
"22","Jun 24, 2020 13:30:16.769150964 AEST","-64"
"23","Jun 24, 2020 13:30:16.873014912 AEST","-64"
"24","Jun 24, 2020 13:30:16.975036288 AEST","-64"
"25","Jun 24, 2020 13:30:17.076362246 AEST","-64"
"26","Jun 24, 2020 13:30:17.179833233 AEST","-64"
"27","Jun 24, 2020 13:30:17.281410034 AEST","-64"
"28","Jun 24, 2020 13:30:17.384469655 AEST","-64"
"29","Jun 24, 2020 13:30:17.485846858 AEST","-64"
"30","Jun 24, 2020 13:30:17.588311350 AEST","-64"
"31","Jun 24, 2020 13:30:17.691447303 AEST","-64"
"32","Jun 24, 2020 13:30:17.793286190 AEST","-64"
"33","Jun 24, 2020 13:30:17.896055373 AEST","-64"
"34","Jun 24, 2020 13:30:18.100549429 AEST","-64"
"35","Jun 24, 2020 13:30:18.204057538 AEST","-64"
"36","Jun 24, 2020 13:30:18.305393955 AEST","-64"
"37","Jun 24, 2020 13:30:18.509952646 AEST","-64"
"38","Jun 24, 2020 13:30:18.612267733 AEST","-64"
"39","Jun 24, 2020 13:30:18.714692478 AEST","-64"
"40","Jun 24, 2020 13:30:18.817363988 AEST","-66"
"41","Jun 24, 2020 13:30:18.920608059 AEST","-64"
"42","Jun 24, 2020 13:30:19.023047749 AEST","-64"
"43","Jun 24, 2020 13:30:19.226693127 AEST","-64"
"44","Jun 24, 2020 13:30:19.329092751 AEST","-64"
"45","Jun 24, 2020 13:30:19.431913533 AEST","-64"
"46","Jun 24, 2020 13:30:19.534034119 AEST","-64"
"47","Jun 24, 2020 13:30:19.636257291 AEST","-64"
"48","Jun 24, 2020 13:30:19.739476889 AEST","-64"
"49","Jun 24, 2020 13:30:20.047002705 AEST","-64"
"50","Jun 24, 2020 13:30:20.148234277 AEST","-64"
"51","Jun 24, 2020 13:30:20.251285550 AEST","-64"
"52","Jun 24, 2020 13:30:20.353334206 AEST","-64"
"53","Jun 24, 2020 13:30:20.457988070 AEST","-64"
"54","Jun 24, 2020 13:30:20.557903565 AEST","-64"
"55","Jun 24, 2020 13:30:20.660269111 AEST","-64"
"56","Jun 24, 2020 13:30:20.762786164 AEST","-64"
"57","Jun 24, 2020 13:30:20.865222881 AEST","-64"
"58","Jun 24, 2020 13:30:21.071003916 AEST","-64"
"59","Jun 24, 2020 13:30:21.172228948 AEST","-64"
"60","Jun 24, 2020 13:30:21.274621394 AEST","-64"
"61","Jun 24, 2020 13:30:21.377001150 AEST","-64"
"62","Jun 24, 2020 13:30:21.479614418 AEST","-64"
"63","Jun 24, 2020 13:30:21.581950338 AEST","-64"
"64","Jun 24, 2020 13:30:21.684266247 AEST","-64"
"65","Jun 24, 2020 13:30:21.889413096 AEST","-64"
"66","Jun 24, 2020 13:30:21.992390159 AEST","-64"
"67","Jun 24, 2020 13:30:22.094983314 AEST","-64"
"68","Jun 24, 2020 13:30:22.401387300 AEST","-64"
"69","Jun 24, 2020 13:30:22.504590104 AEST","-64"
"70","Jun 24, 2020 13:30:22.605994712 AEST","-64"
"71","Jun 24, 2020 13:30:22.810787537 AEST","-64"
"72","Jun 24, 2020 13:30:23.118026683 AEST","-64"
"73","Jun 24, 2020 13:30:23.220263290 AEST","-64"
"74","Jun 24, 2020 13:30:23.322634817 AEST","-64"
"75","Jun 24, 2020 13:30:23.425009132 AEST","-64"
"76","Jun 24, 2020 13:30:23.732785639 AEST","-64"
"77","Jun 24, 2020 13:30:23.834624566 AEST","-64"
"78","Jun 24, 2020 13:30:24.040542998 AEST","-64"
"79","Jun 24, 2020 13:30:24.142028228 AEST","-64"
"80","Jun 24, 2020 13:30:24.346609272 AEST","-64"
"81","Jun 24, 2020 13:30:24.449436031 AEST","-64"
"82","Jun 24, 2020 13:30:24.653851581 AEST","-64"
"83","Jun 24, 2020 13:30:24.961137220 AEST","-64"
"84","Jun 24, 2020 13:30:25.063597772 AEST","-64"
"85","Jun 24, 2020 13:30:25.166950315 AEST","-64"
"86","Jun 24, 2020 13:30:25.269014249 AEST","-64"
"87","Jun 24, 2020 13:30:25.472993662 AEST","-64"
"88","Jun 24, 2020 13:30:25.575493359 AEST","-64"
"89","Jun 24, 2020 13:30:25.677896805 AEST","-60"
"90","Jun 24, 2020 13:30:25.882537272 AEST","-64"
"91","Jun 24, 2020 13:30:25.985442012 AEST","-64"
"92","Jun 24, 2020 13:30:26.087431317 AEST","-64"
"93","Jun 24, 2020 13:30:26.189878080 AEST","-64"
"94","Jun 24, 2020 13:30:26.394726537 AEST","-64"
"95","Jun 24, 2020 13:30:26.701981454 AEST","-64"
"96","Jun 24, 2020 13:30:26.804231341 AEST","-64"
"97","Jun 24, 2020 13:30:26.906556712 AEST","-64"
"98","Jun 24, 2020 13:30:27.009139295 AEST","-64"
"99","Jun 24, 2020 13:30:27.213766506 AEST","-64"
"100","Jun 24, 2020 13:30:27.316267951 AEST","-64"
"101","Jun 24, 2020 13:30:27.418570632 AEST","-64"
"102","Jun 24, 2020 13:30:27.520961012 AEST","-64"
"103","Jun 24, 2020 13:30:27.623345832 AEST","-64"
"104","Jun 24, 2020 13:30:27.725950417 AEST","-64"
"105","Jun 24, 2020 13:30:27.829387550 AEST","-64"
