frame.number,frame.time,wlan_radio.signal_dbm,wlan_radio.11n.mcs_index,wlan_radio.data_rate
"1","Jul  2, 2020 22:23:19.058390000 AEST","-56","15","144.444"
"2","Jul  2, 2020 22:23:19.320332000 AEST","-55","15","144.444"
"3","Jul  2, 2020 22:23:19.637780000 AEST","-55","15","144.444"
"4","Jul  2, 2020 22:23:19.719381000 AEST","-55","15","144.444"
"5","Jul  2, 2020 22:23:19.719871000 AEST","-54","15","144.444"
"6","Jul  2, 2020 22:23:19.721681000 AEST","-55","15","144.444"
"7","Jul  2, 2020 22:23:19.776515000 AEST","-54","15","144.444"
"8","Jul  2, 2020 22:23:19.785503000 AEST","-55","15","144.444"
"9","Jul  2, 2020 22:23:19.828300000 AEST","-55","15","144.444"
"10","Jul  2, 2020 22:23:19.890170000 AEST","-55","15","144.444"
"11","Jul  2, 2020 22:23:19.948278000 AEST","-55","15","144.444"
"12","Jul  2, 2020 22:23:19.957440000 AEST","-55","15","144.444"
"13","Jul  2, 2020 22:23:19.958918000 AEST","-55","15","144.444"
"14","Jul  2, 2020 22:23:20.030234000 AEST","-54","15","144.444"
"15","Jul  2, 2020 22:23:20.323717000 AEST","-54","15","144.444"
"16","Jul  2, 2020 22:23:21.117336000 AEST","-54","15","144.444"
"17","Jul  2, 2020 22:23:21.235361000 AEST","-55","15","144.444"
"18","Jul  2, 2020 22:23:21.324861000 AEST","-55","15","144.444"
"19","Jul  2, 2020 22:23:22.328466000 AEST","-55","15","144.444"
"20","Jul  2, 2020 22:23:23.329593000 AEST","-54","15","144.444"
"21","Jul  2, 2020 22:23:24.329824000 AEST","-55","15","144.444"
"22","Jul  2, 2020 22:23:24.331562000 AEST","-55","15","144.444"
"23","Jul  2, 2020 22:23:25.335588000 AEST","-54","15","144.444"
"24","Jul  2, 2020 22:23:25.351032000 AEST","-54","15","144.444"
"25","Jul  2, 2020 22:23:25.827411000 AEST","-54","15","144.444"
"26","Jul  2, 2020 22:23:26.340319000 AEST","-54","15","144.444"
"27","Jul  2, 2020 22:23:27.345055000 AEST","-53","15","144.444"
"28","Jul  2, 2020 22:23:28.347290000 AEST","-54","15","144.444"
"29","Jul  2, 2020 22:23:29.352003000 AEST","-54","15","144.444"
"30","Jul  2, 2020 22:23:29.352534000 AEST","-53","15","144.444"
"31","Jul  2, 2020 22:23:29.632895000 AEST","-54","15","144.444"
"32","Jul  2, 2020 22:23:30.061838000 AEST","-53","15","144.444"
"33","Jul  2, 2020 22:23:30.312096000 AEST","-54","15","144.444"
"34","Jul  2, 2020 22:23:30.354588000 AEST","-54","15","144.444"
"35","Jul  2, 2020 22:23:31.307533000 AEST","-54","15","144.444"
"36","Jul  2, 2020 22:23:31.357724000 AEST","-54","15","144.444"
"37","Jul  2, 2020 22:23:31.446620000 AEST","-54","15","144.444"
"38","Jul  2, 2020 22:23:31.469425000 AEST","-53","15","144.444"
"39","Jul  2, 2020 22:23:32.359422000 AEST","-59","15","144.444"
"40","Jul  2, 2020 22:23:32.486543000 AEST","-58","15","144.444"
"41","Jul  2, 2020 22:23:32.486755000 AEST","-58","15","144.444"
"42","Jul  2, 2020 22:23:32.487061000 AEST",,"15","144.444"
"43","Jul  2, 2020 22:23:32.487071000 AEST","-58","15","144.444"
"44","Jul  2, 2020 22:23:33.360532000 AEST","-55","15","144.444"
"45","Jul  2, 2020 22:23:33.546527000 AEST","-55","15","144.444"
"46","Jul  2, 2020 22:23:33.546747000 AEST","-55","15","144.444"
"47","Jul  2, 2020 22:23:33.747983000 AEST","-52","15","144.444"
"48","Jul  2, 2020 22:23:34.227445000 AEST","-52","15","144.444"
"49","Jul  2, 2020 22:23:34.363451000 AEST","-53","15","144.444"
"50","Jul  2, 2020 22:23:35.366742000 AEST","-58","15","144.444"
"51","Jul  2, 2020 22:23:35.366991000 AEST","-58","15","144.444"
"52","Jul  2, 2020 22:23:35.632600000 AEST","-62","15","144.444"
"53","Jul  2, 2020 22:23:35.632786000 AEST","-62","15","144.444"
"54","Jul  2, 2020 22:23:36.143879000 AEST","-62","15","144.444"
"55","Jul  2, 2020 22:23:36.205645000 AEST","-60","15","144.444"
"56","Jul  2, 2020 22:23:36.368968000 AEST","-57","15","144.444"
"57","Jul  2, 2020 22:23:36.499751000 AEST","-57","15","144.444"
"58","Jul  2, 2020 22:23:36.500036000 AEST","-57","15","144.444"
"59","Jul  2, 2020 22:23:36.500516000 AEST","-57","15","144.444"
"60","Jul  2, 2020 22:23:36.506169000 AEST","-57","15","144.444"
"61","Jul  2, 2020 22:23:36.860636000 AEST","-54","15","144.444"
"62","Jul  2, 2020 22:23:36.861069000 AEST",,"15","144.444"
