frame.number,frame.time,wlan_radio.signal_dbm,wlan_radio.11n.mcs_index,wlan_radio.data_rate,wlan_radio.noise_dbm,wlan_radio.snr
"1","Jul  2, 2020 22:29:52.609824000 AEST","-32","15","144.444","-89","57"
"2","Jul  2, 2020 22:29:52.647283000 AEST","-32","15","144.444","-89","57"
"3","Jul  2, 2020 22:29:52.979513000 AEST","-32","15","144.444","-89","57"
"4","Jul  2, 2020 22:29:53.610455000 AEST","-33","15","144.444","-89","56"
"5","Jul  2, 2020 22:29:54.646936000 AEST","-31","15","144.444","-88","57"
"6","Jul  2, 2020 22:29:54.647910000 AEST","-31","15","144.444","-88","57"
"7","Jul  2, 2020 22:29:55.539570000 AEST","-32","15","144.444","-88","56"
"8","Jul  2, 2020 22:29:55.700966000 AEST","-32","15","144.444","-88","56"
"9","Jul  2, 2020 22:29:56.621263000 AEST","-33","15","144.444","-87","54"
"10","Jul  2, 2020 22:29:57.606475000 AEST","-34","15","144.444","-87","53"
"11","Jul  2, 2020 22:29:57.624713000 AEST","-33","15","144.444","-87","54"
"12","Jul  2, 2020 22:29:57.683487000 AEST","-33","15","144.444","-87","54"
"13","Jul  2, 2020 22:29:57.683958000 AEST",,"15","144.444","-87",
"14","Jul  2, 2020 22:29:57.683971000 AEST","-33","15","144.444","-87","54"
"15","Jul  2, 2020 22:29:57.731054000 AEST","-33","15","144.444","-87","54"
"16","Jul  2, 2020 22:29:57.732159000 AEST","-33","15","144.444","-87","54"
"17","Jul  2, 2020 22:29:57.797288000 AEST","-33","15","144.444","-87","54"
"18","Jul  2, 2020 22:29:57.859209000 AEST","-33","15","144.444","-87","54"
"19","Jul  2, 2020 22:29:57.861833000 AEST","-33","15","144.444","-87","54"
"20","Jul  2, 2020 22:29:57.941377000 AEST","-33","15","144.444","-87","54"
"21","Jul  2, 2020 22:29:57.942094000 AEST",,"15","144.444","-87",
"22","Jul  2, 2020 22:29:57.942104000 AEST",,"15","144.444","-87",
"23","Jul  2, 2020 22:29:57.942163000 AEST",,"15","144.444","-87",
"24","Jul  2, 2020 22:29:57.942168000 AEST","-33","15","144.444","-87","54"
"25","Jul  2, 2020 22:29:58.023047000 AEST","-33","15","144.444","-87","54"
"26","Jul  2, 2020 22:29:58.625551000 AEST","-33","15","144.444","-88","55"
"27","Jul  2, 2020 22:29:59.626793000 AEST","-33","15","144.444","-88","55"
"28","Jul  2, 2020 22:30:00.628303000 AEST","-38","15","144.444","-87","49"
"29","Jul  2, 2020 22:30:00.813828000 AEST","-34","15","144.444","-87","53"
"30","Jul  2, 2020 22:30:00.814122000 AEST","-34","15","144.444","-87","53"
"31","Jul  2, 2020 22:30:00.821014000 AEST","-34","15","144.444","-87","53"
"32","Jul  2, 2020 22:30:01.632765000 AEST","-34","15","144.444","-87","53"
"33","Jul  2, 2020 22:30:02.634271000 AEST","-33","15","144.444","-86","53"
"34","Jul  2, 2020 22:30:03.636728000 AEST","-33","15","144.444","-86","53"
"35","Jul  2, 2020 22:30:04.638619000 AEST","-33","15","144.444","-86","53"
"36","Jul  2, 2020 22:30:05.643506000 AEST","-33","15","144.444","-87","54"
"37","Jul  2, 2020 22:30:05.700456000 AEST","-32","15","144.444","-87","55"
"38","Jul  2, 2020 22:30:06.140669000 AEST","-34","15","144.444","-87","53"
"39","Jul  2, 2020 22:30:06.316929000 AEST","-34","15","144.444","-87","53"
"40","Jul  2, 2020 22:30:06.646113000 AEST","-33","15","144.444","-87","54"
