frame.number,frame.time,wlan_radio.signal_dbm
"1","Jun 24, 2020 13:48:17.431421726 AEST","-72"
"2","Jun 24, 2020 13:48:17.534962583 AEST","-76"
"3","Jun 24, 2020 13:48:17.637371155 AEST","-58"
"4","Jun 24, 2020 13:48:17.739529190 AEST","-72"
"5","Jun 24, 2020 13:48:17.841373676 AEST","-58"
"6","Jun 24, 2020 13:48:17.944388274 AEST","-66"
"7","Jun 24, 2020 13:48:18.046530869 AEST","-68"
"8","Jun 24, 2020 13:48:18.148388037 AEST","-56"
"9","Jun 24, 2020 13:48:18.250809591 AEST","-60"
"10","Jun 24, 2020 13:48:18.353393168 AEST","-72"
"11","Jun 24, 2020 13:48:18.456555575 AEST","-64"
"12","Jun 24, 2020 13:48:18.557804281 AEST","-58"
"13","Jun 24, 2020 13:48:18.660166530 AEST","-74"
"14","Jun 24, 2020 13:48:18.865168056 AEST","-68"
"15","Jun 24, 2020 13:48:18.968584915 AEST","-72"
"16","Jun 24, 2020 13:48:19.070954044 AEST","-60"
"17","Jun 24, 2020 13:48:19.172423355 AEST","-68"
"18","Jun 24, 2020 13:48:19.274633210 AEST","-64"
"19","Jun 24, 2020 13:48:19.376982542 AEST","-66"
"20","Jun 24, 2020 13:48:19.479652692 AEST","-68"
"21","Jun 24, 2020 13:48:19.581916207 AEST","-68"
"22","Jun 24, 2020 13:48:19.684299575 AEST","-68"
"23","Jun 24, 2020 13:48:19.787731942 AEST","-72"
"24","Jun 24, 2020 13:48:19.889386909 AEST","-68"
"25","Jun 24, 2020 13:48:19.991514059 AEST","-62"
"26","Jun 24, 2020 13:48:20.093820665 AEST","-64"
"27","Jun 24, 2020 13:48:20.196310059 AEST","-66"
"28","Jun 24, 2020 13:48:20.299747411 AEST","-68"
"29","Jun 24, 2020 13:48:20.401513276 AEST","-72"
"30","Jun 24, 2020 13:48:20.504543203 AEST","-70"
"31","Jun 24, 2020 13:48:20.605746354 AEST","-68"
"32","Jun 24, 2020 13:48:20.708183547 AEST","-72"
"33","Jun 24, 2020 13:48:20.810940181 AEST","-70"
"34","Jun 24, 2020 13:48:20.913121986 AEST","-66"
"35","Jun 24, 2020 13:48:21.016575510 AEST","-70"
"36","Jun 24, 2020 13:48:21.220216353 AEST","-68"
"37","Jun 24, 2020 13:48:21.322655732 AEST","-68"
"38","Jun 24, 2020 13:48:21.424960321 AEST","-66"
"39","Jun 24, 2020 13:48:21.527500429 AEST","-68"
"40","Jun 24, 2020 13:48:21.629987130 AEST","-70"
"41","Jun 24, 2020 13:48:21.732242740 AEST","-68"
"42","Jun 24, 2020 13:48:21.834579572 AEST","-72"
"43","Jun 24, 2020 13:48:21.937433010 AEST","-70"
"44","Jun 24, 2020 13:48:22.039495680 AEST","-68"
"45","Jun 24, 2020 13:48:22.141819862 AEST","-70"
"46","Jun 24, 2020 13:48:22.244180023 AEST","-70"
"47","Jun 24, 2020 13:48:22.347709288 AEST","-68"
"48","Jun 24, 2020 13:48:22.449079757 AEST","-70"
"49","Jun 24, 2020 13:48:22.552531765 AEST","-70"
"50","Jun 24, 2020 13:48:22.653854191 AEST","-70"
"51","Jun 24, 2020 13:48:22.756250773 AEST","-70"
"52","Jun 24, 2020 13:48:22.960938652 AEST","-70"
"53","Jun 24, 2020 13:48:23.064531387 AEST","-68"
"54","Jun 24, 2020 13:48:23.166926048 AEST","-68"
"55","Jun 24, 2020 13:48:23.268171678 AEST","-70"
"56","Jun 24, 2020 13:48:23.473163493 AEST","-70"
"57","Jun 24, 2020 13:48:23.575383669 AEST","-70"
"58","Jun 24, 2020 13:48:23.677851683 AEST","-70"
"59","Jun 24, 2020 13:48:23.780333908 AEST","-72"
"60","Jun 24, 2020 13:48:23.883715514 AEST","-70"
"61","Jun 24, 2020 13:48:23.985389017 AEST","-72"
"62","Jun 24, 2020 13:48:24.087370202 AEST","-72"
"63","Jun 24, 2020 13:48:24.189743617 AEST","-70"
"64","Jun 24, 2020 13:48:24.292332304 AEST","-70"
"65","Jun 24, 2020 13:48:24.394777010 AEST","-66"
"66","Jun 24, 2020 13:48:24.497083232 AEST","-70"
"67","Jun 24, 2020 13:48:24.600525504 AEST","-70"
"68","Jun 24, 2020 13:48:24.702851777 AEST","-70"
"69","Jun 24, 2020 13:48:24.906719371 AEST","-70"
"70","Jun 24, 2020 13:48:25.009258535 AEST","-72"
"71","Jun 24, 2020 13:48:25.112525737 AEST","-70"
"72","Jun 24, 2020 13:48:25.316102716 AEST","-70"
"73","Jun 24, 2020 13:48:25.418519370 AEST","-70"
"74","Jun 24, 2020 13:48:25.520892655 AEST","-68"
"75","Jun 24, 2020 13:48:25.725916250 AEST","-66"
"76","Jun 24, 2020 13:48:25.828131716 AEST","-70"
"77","Jun 24, 2020 13:48:25.931701286 AEST","-72"
"78","Jun 24, 2020 13:48:26.035173099 AEST","-72"
"79","Jun 24, 2020 13:48:26.135385951 AEST","-68"
"80","Jun 24, 2020 13:48:26.237692201 AEST","-68"
"81","Jun 24, 2020 13:48:26.340097482 AEST","-70"
"82","Jun 24, 2020 13:48:26.545453066 AEST","-72"
"83","Jun 24, 2020 13:48:26.648482039 AEST","-72"
"84","Jun 24, 2020 13:48:26.749907430 AEST","-70"
"85","Jun 24, 2020 13:48:26.954676790 AEST","-68"
"86","Jun 24, 2020 13:48:27.057137724 AEST","-72"
"87","Jun 24, 2020 13:48:27.262813533 AEST","-68"
"88","Jun 24, 2020 13:48:27.364118059 AEST","-70"
"89","Jun 24, 2020 13:48:27.466540725 AEST","-70"
"90","Jun 24, 2020 13:48:27.569393252 AEST","-70"
"91","Jun 24, 2020 13:48:27.671985711 AEST","-66"
"92","Jun 24, 2020 13:48:27.774168960 AEST","-70"
"93","Jun 24, 2020 13:48:27.876107570 AEST","-70"
"94","Jun 24, 2020 13:48:27.978536446 AEST","-68"
"95","Jun 24, 2020 13:48:28.081426167 AEST","-72"
"96","Jun 24, 2020 13:48:28.183359909 AEST","-64"
"97","Jun 24, 2020 13:48:28.285674404 AEST","-72"
"98","Jun 24, 2020 13:48:28.388117313 AEST","-68"
"99","Jun 24, 2020 13:48:28.490709999 AEST","-70"
"100","Jun 24, 2020 13:48:28.593393508 AEST","-68"
"101","Jun 24, 2020 13:48:28.696484644 AEST","-72"
"102","Jun 24, 2020 13:48:28.798883405 AEST","-68"
"103","Jun 24, 2020 13:48:28.900086041 AEST","-64"
"104","Jun 24, 2020 13:48:29.004112219 AEST","-68"
"105","Jun 24, 2020 13:48:29.104956352 AEST","-68"
"106","Jun 24, 2020 13:48:29.311394922 AEST","-64"
"107","Jun 24, 2020 13:48:29.412079229 AEST","-70"
"108","Jun 24, 2020 13:48:29.514699713 AEST","-68"
"109","Jun 24, 2020 13:48:29.617386648 AEST","-66"
"110","Jun 24, 2020 13:48:29.719660782 AEST","-70"
"111","Jun 24, 2020 13:48:29.821879792 AEST","-70"
"112","Jun 24, 2020 13:48:29.924115540 AEST","-70"
"113","Jun 24, 2020 13:48:30.026551506 AEST","-66"
"114","Jun 24, 2020 13:48:30.130050568 AEST","-68"
"115","Jun 24, 2020 13:48:30.231428552 AEST","-68"
"116","Jun 24, 2020 13:48:30.334842357 AEST","-68"
"117","Jun 24, 2020 13:48:30.436048229 AEST","-68"
"118","Jun 24, 2020 13:48:30.538665264 AEST","-68"
"119","Jun 24, 2020 13:48:30.572609697 AEST","-70"
"120","Jun 24, 2020 13:48:30.576450196 AEST","-72"
"121","Jun 24, 2020 13:48:30.589398071 AEST","-68"
"122","Jun 24, 2020 13:48:30.593387285 AEST","-70"
"123","Jun 24, 2020 13:48:30.596274030 AEST","-68"
"124","Jun 24, 2020 13:48:30.641436810 AEST","-68"
"125","Jun 24, 2020 13:48:30.743518461 AEST","-68"
"126","Jun 24, 2020 13:48:30.845848473 AEST","-68"
"127","Jun 24, 2020 13:48:30.948035383 AEST","-66"
"128","Jun 24, 2020 13:48:31.050465666 AEST","-68"
"129","Jun 24, 2020 13:48:31.152919293 AEST","-66"
"130","Jun 24, 2020 13:48:31.255404188 AEST","-66"
"131","Jun 24, 2020 13:48:31.357831674 AEST","-66"
"132","Jun 24, 2020 13:48:31.562498493 AEST","-68"
"133","Jun 24, 2020 13:48:31.665333006 AEST","-66"
"134","Jun 24, 2020 13:48:31.768416767 AEST","-68"
"135","Jun 24, 2020 13:48:31.869776669 AEST","-68"
"136","Jun 24, 2020 13:48:31.972041808 AEST","-68"
"137","Jun 24, 2020 13:48:32.075636435 AEST","-68"
"138","Jun 24, 2020 13:48:32.181436153 AEST","-66"
"139","Jun 24, 2020 13:48:32.280844918 AEST","-70"
"140","Jun 24, 2020 13:48:32.382886435 AEST","-68"
"141","Jun 24, 2020 13:48:32.486055137 AEST","-66"
"142","Jun 24, 2020 13:48:32.587709489 AEST","-72"
"143","Jun 24, 2020 13:48:32.689597301 AEST","-70"
"144","Jun 24, 2020 13:48:32.792419588 AEST","-70"
"145","Jun 24, 2020 13:48:32.893785149 AEST","-70"
"146","Jun 24, 2020 13:48:32.996078898 AEST","-70"
"147","Jun 24, 2020 13:48:33.098410923 AEST","-70"
"148","Jun 24, 2020 13:48:33.201134761 AEST","-66"
"149","Jun 24, 2020 13:48:33.303499638 AEST","-68"
"150","Jun 24, 2020 13:48:33.405631299 AEST","-68"
"151","Jun 24, 2020 13:48:33.508039082 AEST","-68"
"152","Jun 24, 2020 13:48:33.610622874 AEST","-68"
"153","Jun 24, 2020 13:48:33.713464030 AEST","-72"
"154","Jun 24, 2020 13:48:33.917796285 AEST","-68"
"155","Jun 24, 2020 13:48:34.020046339 AEST","-68"
"156","Jun 24, 2020 13:48:34.122484951 AEST","-68"
"157","Jun 24, 2020 13:48:34.225387617 AEST","-70"
"158","Jun 24, 2020 13:48:34.429728942 AEST","-68"
"159","Jun 24, 2020 13:48:34.532058781 AEST","-70"
