frame.number,frame.time,wlan_radio.signal_dbm
"1","Jun 24, 2020 14:24:47.832464170 AEST","-56"
"2","Jun 24, 2020 14:24:47.935048437 AEST","-58"
"3","Jun 24, 2020 14:24:48.140810126 AEST","-64"
"4","Jun 24, 2020 14:24:48.243562568 AEST","-64"
"5","Jun 24, 2020 14:24:48.345544157 AEST","-68"
"6","Jun 24, 2020 14:24:48.447099697 AEST","-58"
"7","Jun 24, 2020 14:24:48.549411624 AEST","-60"
"8","Jun 24, 2020 14:24:48.651919181 AEST","-64"
"9","Jun 24, 2020 14:24:48.707108497 AEST","-56"
"10","Jun 24, 2020 14:24:48.710008514 AEST","-56"
"11","Jun 24, 2020 14:24:48.715569252 AEST","-56"
"12","Jun 24, 2020 14:24:48.755224774 AEST","-60"
"13","Jun 24, 2020 14:24:48.856476324 AEST","-60"
"14","Jun 24, 2020 14:24:48.959175226 AEST","-60"
"15","Jun 24, 2020 14:24:49.062309894 AEST","-66"
"16","Jun 24, 2020 14:24:49.163847222 AEST","-64"
"17","Jun 24, 2020 14:24:49.368603302 AEST","-64"
"18","Jun 24, 2020 14:24:49.573332411 AEST","-64"
"19","Jun 24, 2020 14:24:49.778370796 AEST","-64"
"20","Jun 24, 2020 14:24:49.880779446 AEST","-60"
"21","Jun 24, 2020 14:24:49.983509180 AEST","-64"
"22","Jun 24, 2020 14:24:50.085473455 AEST","-64"
"23","Jun 24, 2020 14:24:50.187798615 AEST","-60"
"24","Jun 24, 2020 14:24:50.250237703 AEST","-64"
"25","Jun 24, 2020 14:24:50.253407548 AEST","-64"
"26","Jun 24, 2020 14:24:50.259074671 AEST","-64"
"27","Jun 24, 2020 14:24:50.263814210 AEST","-64"
"28","Jun 24, 2020 14:24:50.266903718 AEST","-64"
"29","Jun 24, 2020 14:24:50.269565723 AEST","-64"
"30","Jun 24, 2020 14:24:50.291247198 AEST","-64"
"31","Jun 24, 2020 14:24:50.494853695 AEST","-58"
"32","Jun 24, 2020 14:24:50.597286590 AEST","-58"
"33","Jun 24, 2020 14:24:51.008004245 AEST","-60"
"34","Jun 24, 2020 14:24:51.211598855 AEST","-60"
"35","Jun 24, 2020 14:24:51.416598597 AEST","-58"
"36","Jun 24, 2020 14:24:51.519997297 AEST","-60"
"37","Jun 24, 2020 14:24:51.622409934 AEST","-60"
"38","Jun 24, 2020 14:24:51.724092998 AEST","-64"
"39","Jun 24, 2020 14:24:51.826710187 AEST","-64"
"40","Jun 24, 2020 14:24:51.928461978 AEST","-58"
"41","Jun 24, 2020 14:24:52.030958157 AEST","-58"
"42","Jun 24, 2020 14:24:52.235638556 AEST","-56"
"43","Jun 24, 2020 14:24:52.339226339 AEST","-58"
"44","Jun 24, 2020 14:24:52.440452306 AEST","-60"
"45","Jun 24, 2020 14:24:52.747768927 AEST","-58"
"46","Jun 24, 2020 14:24:52.851205023 AEST","-56"
"47","Jun 24, 2020 14:24:52.953394236 AEST","-58"
"48","Jun 24, 2020 14:24:53.055990091 AEST","-56"
"49","Jun 24, 2020 14:24:53.157603354 AEST","-56"
"50","Jun 24, 2020 14:24:53.259654981 AEST","-56"
"51","Jun 24, 2020 14:24:53.362068446 AEST","-60"
"52","Jun 24, 2020 14:24:53.464672379 AEST","-60"
"53","Jun 24, 2020 14:24:53.669288515 AEST","-64"
"54","Jun 24, 2020 14:24:53.771688968 AEST","-64"
"55","Jun 24, 2020 14:24:53.874060645 AEST","-64"
"56","Jun 24, 2020 14:24:53.977027069 AEST","-64"
"57","Jun 24, 2020 14:24:54.079029375 AEST","-64"
"58","Jun 24, 2020 14:24:54.181247554 AEST","-60"
"59","Jun 24, 2020 14:24:54.387171858 AEST","-64"
"60","Jun 24, 2020 14:24:54.590933924 AEST","-64"
"61","Jun 24, 2020 14:24:54.693284525 AEST","-64"
"62","Jun 24, 2020 14:24:54.795741598 AEST","-64"
"63","Jun 24, 2020 14:24:54.899162051 AEST","-64"
"64","Jun 24, 2020 14:24:55.103977711 AEST","-64"
"65","Jun 24, 2020 14:24:55.205296968 AEST","-60"
"66","Jun 24, 2020 14:24:55.307632669 AEST","-64"
"67","Jun 24, 2020 14:24:55.409997297 AEST","-64"
"68","Jun 24, 2020 14:24:55.512596357 AEST","-64"
"69","Jun 24, 2020 14:24:55.616144825 AEST","-64"
"70","Jun 24, 2020 14:24:55.717390415 AEST","-56"
"71","Jun 24, 2020 14:24:55.819610543 AEST","-58"
"72","Jun 24, 2020 14:24:55.922012192 AEST","-56"
"73","Jun 24, 2020 14:24:56.025374836 AEST","-58"
"74","Jun 24, 2020 14:24:56.229197421 AEST","-58"
"75","Jun 24, 2020 14:24:56.331767728 AEST","-60"
"76","Jun 24, 2020 14:24:56.434963648 AEST","-64"
"77","Jun 24, 2020 14:24:56.537384247 AEST","-64"
"78","Jun 24, 2020 14:24:56.639084234 AEST","-64"
"79","Jun 24, 2020 14:24:56.741308857 AEST","-60"
"80","Jun 24, 2020 14:24:56.843798016 AEST","-60"
"81","Jun 24, 2020 14:24:56.947101799 AEST","-60"
"82","Jun 24, 2020 14:24:57.049554272 AEST","-64"
"83","Jun 24, 2020 14:24:57.253385101 AEST","-64"
"84","Jun 24, 2020 14:24:57.355602808 AEST","-58"
"85","Jun 24, 2020 14:24:57.457976827 AEST","-58"
"86","Jun 24, 2020 14:24:57.560360245 AEST","-64"
"87","Jun 24, 2020 14:24:57.867579344 AEST","-64"
"88","Jun 24, 2020 14:24:57.971095561 AEST","-60"
"89","Jun 24, 2020 14:24:58.072761524 AEST","-58"
"90","Jun 24, 2020 14:24:58.175001033 AEST","-60"
"91","Jun 24, 2020 14:24:58.277303439 AEST","-64"
"92","Jun 24, 2020 14:24:58.379678429 AEST","-64"
"93","Jun 24, 2020 14:24:58.483331129 AEST","-60"
"94","Jun 24, 2020 14:24:58.687079846 AEST","-58"
"95","Jun 24, 2020 14:24:58.789315860 AEST","-56"
"96","Jun 24, 2020 14:24:58.891655359 AEST","-56"
"97","Jun 24, 2020 14:24:59.097413805 AEST","-56"
"98","Jun 24, 2020 14:24:59.159051708 AEST","-58"
"99","Jun 24, 2020 14:24:59.162880812 AEST","-58"
"100","Jun 24, 2020 14:24:59.165413007 AEST","-60"
"101","Jun 24, 2020 14:24:59.168991801 AEST","-64"
"102","Jun 24, 2020 14:24:59.170728890 AEST","-62"
"103","Jun 24, 2020 14:24:59.173992527 AEST","-64"
"104","Jun 24, 2020 14:24:59.176980254 AEST","-64"
"105","Jun 24, 2020 14:24:59.505939288 AEST","-60"
"106","Jun 24, 2020 14:24:59.813459825 AEST","-56"
"107","Jun 24, 2020 14:24:59.915530271 AEST","-56"
"108","Jun 24, 2020 14:25:00.017978016 AEST","-56"
"109","Jun 24, 2020 14:25:00.120297343 AEST","-56"
"110","Jun 24, 2020 14:25:00.222972038 AEST","-56"
"111","Jun 24, 2020 14:25:00.325344916 AEST","-64"
"112","Jun 24, 2020 14:25:00.427558081 AEST","-64"
"113","Jun 24, 2020 14:25:00.530490361 AEST","-58"
"114","Jun 24, 2020 14:25:00.633413287 AEST","-64"
"115","Jun 24, 2020 14:25:00.837637584 AEST","-56"
