frame.number,frame.time,wlan_radio.signal_dbm
"1","Jun 24, 2020 14:19:06.331965759 AEST","-64"
"2","Jun 24, 2020 14:19:06.435283406 AEST","-56"
"3","Jun 24, 2020 14:19:06.537450064 AEST","-56"
"4","Jun 24, 2020 14:19:06.640361366 AEST","-56"
"5","Jun 24, 2020 14:19:06.741549304 AEST","-64"
"6","Jun 24, 2020 14:19:06.844231609 AEST","-58"
"7","Jun 24, 2020 14:19:07.048946185 AEST","-56"
"8","Jun 24, 2020 14:19:07.152344633 AEST","-56"
"9","Jun 24, 2020 14:19:07.253726630 AEST","-56"
"10","Jun 24, 2020 14:19:07.357157071 AEST","-56"
"11","Jun 24, 2020 14:19:07.458501388 AEST","-56"
"12","Jun 24, 2020 14:19:07.560773141 AEST","-56"
"13","Jun 24, 2020 14:19:07.663184500 AEST","-58"
"14","Jun 24, 2020 14:19:07.767629789 AEST","-58"
"15","Jun 24, 2020 14:19:07.869381999 AEST","-58"
"16","Jun 24, 2020 14:19:07.971547720 AEST","-58"
"17","Jun 24, 2020 14:19:08.073385681 AEST","-60"
"18","Jun 24, 2020 14:19:08.175368787 AEST","-58"
"19","Jun 24, 2020 14:19:08.277588153 AEST","-60"
"20","Jun 24, 2020 14:19:08.380148131 AEST","-60"
"21","Jun 24, 2020 14:19:08.482430753 AEST","-58"
"22","Jun 24, 2020 14:19:08.585382824 AEST","-58"
"23","Jun 24, 2020 14:19:08.687168894 AEST","-60"
"24","Jun 24, 2020 14:19:08.789607175 AEST","-60"
"25","Jun 24, 2020 14:19:08.892557372 AEST","-56"
"26","Jun 24, 2020 14:19:08.994834666 AEST","-58"
"27","Jun 24, 2020 14:19:09.096821227 AEST","-56"
"28","Jun 24, 2020 14:19:09.199163809 AEST","-56"
"29","Jun 24, 2020 14:19:09.301622936 AEST","-60"
"30","Jun 24, 2020 14:19:09.404351302 AEST","-64"
"31","Jun 24, 2020 14:19:09.506424219 AEST","-64"
"32","Jun 24, 2020 14:19:09.711163840 AEST","-64"
"33","Jun 24, 2020 14:19:09.917131206 AEST","-64"
"34","Jun 24, 2020 14:19:10.019533299 AEST","-64"
"35","Jun 24, 2020 14:19:10.121420652 AEST","-64"
"36","Jun 24, 2020 14:19:10.223185279 AEST","-64"
"37","Jun 24, 2020 14:19:10.327063531 AEST","-64"
"38","Jun 24, 2020 14:19:10.427997335 AEST","-64"
"39","Jun 24, 2020 14:19:10.530392599 AEST","-64"
"40","Jun 24, 2020 14:19:10.633389700 AEST","-64"
"41","Jun 24, 2020 14:19:10.735138165 AEST","-64"
"42","Jun 24, 2020 14:19:10.837617064 AEST","-64"
"43","Jun 24, 2020 14:19:10.940086748 AEST","-64"
"44","Jun 24, 2020 14:19:11.042353310 AEST","-64"
"45","Jun 24, 2020 14:19:11.149108983 AEST","-62"
"46","Jun 24, 2020 14:19:11.248155993 AEST","-64"
