frame.number,frame.time,wlan_radio.signal_dbm
"1","Jun 24, 2020 13:45:24.377198217 AEST","-52"
"2","Jun 24, 2020 13:45:24.480670044 AEST","-52"
"3","Jun 24, 2020 13:45:24.685418670 AEST","-50"
"4","Jun 24, 2020 13:45:24.889297851 AEST","-48"
"5","Jun 24, 2020 13:45:24.991744055 AEST","-42"
"6","Jun 24, 2020 13:45:25.094222873 AEST","-48"
"7","Jun 24, 2020 13:45:25.196811664 AEST","-56"
"8","Jun 24, 2020 13:45:25.299905360 AEST","-48"
"9","Jun 24, 2020 13:45:25.401367674 AEST","-48"
"10","Jun 24, 2020 13:45:25.504225193 AEST","-48"
"11","Jun 24, 2020 13:45:25.708376877 AEST","-48"
"12","Jun 24, 2020 13:45:25.810710298 AEST","-50"
"13","Jun 24, 2020 13:45:25.913195829 AEST","-52"
"14","Jun 24, 2020 13:45:26.118508484 AEST","-48"
"15","Jun 24, 2020 13:45:26.220316713 AEST","-50"
"16","Jun 24, 2020 13:45:26.322937557 AEST","-50"
"17","Jun 24, 2020 13:45:26.426294744 AEST","-52"
"18","Jun 24, 2020 13:45:26.528705013 AEST","-52"
"19","Jun 24, 2020 13:45:26.732527728 AEST","-48"
"20","Jun 24, 2020 13:45:26.835776164 AEST","-48"
"21","Jun 24, 2020 13:45:27.039759353 AEST","-48"
"22","Jun 24, 2020 13:45:27.141979464 AEST","-48"
"23","Jun 24, 2020 13:45:27.244490259 AEST","-50"
"24","Jun 24, 2020 13:45:27.347570238 AEST","-52"
"25","Jun 24, 2020 13:45:27.449419461 AEST","-52"
"26","Jun 24, 2020 13:45:27.552748926 AEST","-48"
"27","Jun 24, 2020 13:45:27.653908293 AEST","-48"
"28","Jun 24, 2020 13:45:27.756469283 AEST","-48"
"29","Jun 24, 2020 13:45:27.858818194 AEST","-50"
"30","Jun 24, 2020 13:45:27.961109554 AEST","-50"
"31","Jun 24, 2020 13:45:28.063552166 AEST","-52"
"32","Jun 24, 2020 13:45:28.268371881 AEST","-52"
"33","Jun 24, 2020 13:45:28.370849888 AEST","-48"
"34","Jun 24, 2020 13:45:28.473423193 AEST","-48"
"35","Jun 24, 2020 13:45:28.575502748 AEST","-52"
"36","Jun 24, 2020 13:45:28.677954529 AEST","-50"
"37","Jun 24, 2020 13:45:28.781410328 AEST","-52"
"38","Jun 24, 2020 13:45:28.882754082 AEST","-50"
"39","Jun 24, 2020 13:45:28.985372206 AEST","-48"
"40","Jun 24, 2020 13:45:29.087712494 AEST","-52"
"41","Jun 24, 2020 13:45:29.189917089 AEST","-50"
"42","Jun 24, 2020 13:45:29.292445788 AEST","-48"
"43","Jun 24, 2020 13:45:29.413420945 AEST","-48"
"44","Jun 24, 2020 13:45:29.416004255 AEST","-48"
"45","Jun 24, 2020 13:45:29.418452339 AEST","-48"
"46","Jun 24, 2020 13:45:29.421428371 AEST","-48"
"47","Jun 24, 2020 13:45:29.424203841 AEST","-48"
"48","Jun 24, 2020 13:45:29.434092186 AEST","-50"
"49","Jun 24, 2020 13:45:29.497342241 AEST","-52"
"50","Jun 24, 2020 13:45:29.600673916 AEST","-50"
"51","Jun 24, 2020 13:45:29.701919072 AEST","-50"
"52","Jun 24, 2020 13:45:29.804491590 AEST","-48"
"53","Jun 24, 2020 13:45:29.906967823 AEST","-48"
"54","Jun 24, 2020 13:45:30.009409575 AEST","-48"
"55","Jun 24, 2020 13:45:30.112658379 AEST","-48"
"56","Jun 24, 2020 13:45:30.316509190 AEST","-52"
"57","Jun 24, 2020 13:45:30.418860755 AEST","-48"
"58","Jun 24, 2020 13:45:30.521387812 AEST","-48"
"59","Jun 24, 2020 13:45:30.725906096 AEST","-48"
"60","Jun 24, 2020 13:45:30.829288204 AEST","-48"
"61","Jun 24, 2020 13:45:30.930739006 AEST","-50"
"62","Jun 24, 2020 13:45:31.033394525 AEST","-48"
"63","Jun 24, 2020 13:45:31.442754747 AEST","-52"
"64","Jun 24, 2020 13:45:31.545113690 AEST","-48"
"65","Jun 24, 2020 13:45:31.648683022 AEST","-48"
"66","Jun 24, 2020 13:45:31.749910545 AEST","-52"
"67","Jun 24, 2020 13:45:32.159472355 AEST","-48"
"68","Jun 24, 2020 13:45:32.269846544 AEST","-48"
"69","Jun 24, 2020 13:45:32.466700008 AEST","-48"
"70","Jun 24, 2020 13:45:32.876304005 AEST","-48"
"71","Jun 24, 2020 13:45:32.978910562 AEST","-48"
"72","Jun 24, 2020 13:45:33.081413773 AEST","-48"
"73","Jun 24, 2020 13:45:33.183487360 AEST","-48"
"74","Jun 24, 2020 13:45:33.285866494 AEST","-48"
"75","Jun 24, 2020 13:45:33.389115071 AEST","-48"
"76","Jun 24, 2020 13:45:33.490815487 AEST","-48"
"77","Jun 24, 2020 13:45:33.593395851 AEST","-48"
"78","Jun 24, 2020 13:45:33.695824910 AEST","-48"
"79","Jun 24, 2020 13:45:33.798005622 AEST","-48"
"80","Jun 24, 2020 13:45:33.900415203 AEST","-48"
"81","Jun 24, 2020 13:45:34.002673189 AEST","-48"
"82","Jun 24, 2020 13:45:34.105382063 AEST","-48"
"83","Jun 24, 2020 13:45:34.207430743 AEST","-48"
"84","Jun 24, 2020 13:45:34.311050798 AEST","-48"
"85","Jun 24, 2020 13:45:34.412247533 AEST","-48"
"86","Jun 24, 2020 13:45:34.514915994 AEST","-48"
"87","Jun 24, 2020 13:45:34.617269407 AEST","-48"
"88","Jun 24, 2020 13:45:34.719488617 AEST","-48"
"89","Jun 24, 2020 13:45:34.821885635 AEST","-48"
"90","Jun 24, 2020 13:45:34.924295335 AEST","-48"
"91","Jun 24, 2020 13:45:35.027832737 AEST","-56"
"92","Jun 24, 2020 13:45:35.129209851 AEST","-52"
"93","Jun 24, 2020 13:45:35.231661429 AEST","-52"
"94","Jun 24, 2020 13:45:35.335013877 AEST","-48"
"95","Jun 24, 2020 13:45:35.436306166 AEST","-48"
"96","Jun 24, 2020 13:45:35.538715378 AEST","-48"
"97","Jun 24, 2020 13:45:35.641395045 AEST","-48"
"98","Jun 24, 2020 13:45:35.743410231 AEST","-48"
"99","Jun 24, 2020 13:45:35.846403447 AEST","-48"
"100","Jun 24, 2020 13:45:35.948218257 AEST","-48"
"101","Jun 24, 2020 13:45:36.051598925 AEST","-48"
"102","Jun 24, 2020 13:45:36.359010843 AEST","-48"
"103","Jun 24, 2020 13:45:36.562664993 AEST","-48"
"104","Jun 24, 2020 13:45:36.665308749 AEST","-48"
"105","Jun 24, 2020 13:45:36.767641965 AEST","-48"
"106","Jun 24, 2020 13:45:36.869885041 AEST","-48"
"107","Jun 24, 2020 13:45:36.972251656 AEST","-48"
"108","Jun 24, 2020 13:45:37.075785961 AEST","-48"
"109","Jun 24, 2020 13:45:37.177425835 AEST","-48"
"110","Jun 24, 2020 13:45:37.279651521 AEST","-48"
"111","Jun 24, 2020 13:45:37.382995746 AEST","-48"
"112","Jun 24, 2020 13:45:37.586617920 AEST","-48"
"113","Jun 24, 2020 13:45:37.689323319 AEST","-48"
"114","Jun 24, 2020 13:45:37.792452483 AEST","-48"
"115","Jun 24, 2020 13:45:37.894720125 AEST","-48"
"116","Jun 24, 2020 13:45:37.996260954 AEST","-48"
"117","Jun 24, 2020 13:45:38.099752404 AEST","-42"
"118","Jun 24, 2020 13:45:38.201429102 AEST","-52"
"119","Jun 24, 2020 13:45:38.303658710 AEST","-56"
"120","Jun 24, 2020 13:45:38.405896666 AEST","-52"
"121","Jun 24, 2020 13:45:38.508176760 AEST","-50"
"122","Jun 24, 2020 13:45:38.610805036 AEST","-56"
"123","Jun 24, 2020 13:45:38.713058364 AEST","-48"
"124","Jun 24, 2020 13:45:38.815798276 AEST","-48"
"125","Jun 24, 2020 13:45:38.917932518 AEST","-48"
"126","Jun 24, 2020 13:45:39.123790879 AEST","-48"
"127","Jun 24, 2020 13:45:39.327391242 AEST","-48"
"128","Jun 24, 2020 13:45:39.429772651 AEST","-50"
"129","Jun 24, 2020 13:45:39.737432243 AEST","-50"
"130","Jun 24, 2020 13:45:39.840585024 AEST","-52"
"131","Jun 24, 2020 13:45:40.044404550 AEST","-52"
"132","Jun 24, 2020 13:45:40.146731756 AEST","-50"
"133","Jun 24, 2020 13:45:40.249069900 AEST","-52"
"134","Jun 24, 2020 13:45:40.454024734 AEST","-50"
"135","Jun 24, 2020 13:45:40.556178895 AEST","-56"
"136","Jun 24, 2020 13:45:40.658775704 AEST","-52"
"137","Jun 24, 2020 13:45:40.761050145 AEST","-52"
"138","Jun 24, 2020 13:45:40.863992072 AEST","-52"
"139","Jun 24, 2020 13:45:40.966172712 AEST","-52"
"140","Jun 24, 2020 13:45:41.068160235 AEST","-56"
"141","Jun 24, 2020 13:45:41.170773229 AEST","-64"
"142","Jun 24, 2020 13:45:41.273111731 AEST","-50"
"143","Jun 24, 2020 13:45:41.375554411 AEST","-50"
"144","Jun 24, 2020 13:45:41.580299040 AEST","-50"
"145","Jun 24, 2020 13:45:41.682592557 AEST","-50"
"146","Jun 24, 2020 13:45:41.888185261 AEST","-52"
"147","Jun 24, 2020 13:45:41.991314139 AEST","-52"
"148","Jun 24, 2020 13:45:42.092168905 AEST","-48"
"149","Jun 24, 2020 13:45:42.194786007 AEST","-52"
"150","Jun 24, 2020 13:45:42.297291968 AEST","-52"
"151","Jun 24, 2020 13:45:42.501910829 AEST","-50"
"152","Jun 24, 2020 13:45:42.604157669 AEST","-52"
"153","Jun 24, 2020 13:45:42.706610498 AEST","-52"
"154","Jun 24, 2020 13:45:42.912178814 AEST","-48"
"155","Jun 24, 2020 13:45:43.218619122 AEST","-50"
"156","Jun 24, 2020 13:45:43.321298343 AEST","-52"
"157","Jun 24, 2020 13:45:43.423528596 AEST","-52"
"158","Jun 24, 2020 13:45:43.525954112 AEST","-50"
"159","Jun 24, 2020 13:45:43.530836229 AEST","-50"
"160","Jun 24, 2020 13:45:43.542523160 AEST","-50"
"161","Jun 24, 2020 13:45:43.546060815 AEST","-52"
"162","Jun 24, 2020 13:45:43.549477980 AEST","-52"
"163","Jun 24, 2020 13:45:43.628184134 AEST","-50"
"164","Jun 24, 2020 13:45:43.730598091 AEST","-50"
"165","Jun 24, 2020 13:45:43.833416978 AEST","-52"
"166","Jun 24, 2020 13:45:43.936527009 AEST","-50"
"167","Jun 24, 2020 13:45:44.038928651 AEST","-50"
"168","Jun 24, 2020 13:45:44.140168712 AEST","-50"
"169","Jun 24, 2020 13:45:44.242509949 AEST","-52"
"170","Jun 24, 2020 13:45:44.345043372 AEST","-50"
"171","Jun 24, 2020 13:45:44.447424282 AEST","-50"
"172","Jun 24, 2020 13:45:44.550924463 AEST","-50"
"173","Jun 24, 2020 13:45:44.653361876 AEST","-50"
"174","Jun 24, 2020 13:45:44.754948167 AEST","-50"
"175","Jun 24, 2020 13:45:44.857182753 AEST","-50"
"176","Jun 24, 2020 13:45:44.959329324 AEST","-50"
"177","Jun 24, 2020 13:45:45.061795705 AEST","-50"
"178","Jun 24, 2020 13:45:45.165442543 AEST","-50"
"179","Jun 24, 2020 13:45:45.289215342 AEST","-52"
"180","Jun 24, 2020 13:45:45.292043304 AEST","-50"
"181","Jun 24, 2020 13:45:45.339802231 AEST","-52"
"182","Jun 24, 2020 13:45:45.342896208 AEST","-50"
"183","Jun 24, 2020 13:45:45.346570883 AEST","-52"
"184","Jun 24, 2020 13:45:45.349465413 AEST","-52"
"185","Jun 24, 2020 13:45:45.355405407 AEST","-56"
"186","Jun 24, 2020 13:45:45.359213364 AEST","-50"
"187","Jun 24, 2020 13:45:45.573933304 AEST","-52"
"188","Jun 24, 2020 13:45:45.676174920 AEST","-50"
"189","Jun 24, 2020 13:45:45.778534240 AEST","-52"
