frame.number,frame.time,wlan_radio.signal_dbm
"1","Jun 24, 2020 14:02:15.496945157 AEST","-56"
"2","Jun 24, 2020 14:02:15.584101495 AEST","-56"
"3","Jun 24, 2020 14:02:15.587603910 AEST","-58"
"4","Jun 24, 2020 14:02:15.592886333 AEST","-56"
"5","Jun 24, 2020 14:02:15.599709718 AEST","-56"
"6","Jun 24, 2020 14:02:15.604122473 AEST","-56"
"7","Jun 24, 2020 14:02:15.614486521 AEST","-56"
"8","Jun 24, 2020 14:02:15.617296976 AEST","-56"
"9","Jun 24, 2020 14:02:15.704048834 AEST","-56"
"10","Jun 24, 2020 14:02:16.009190525 AEST","-64"
"11","Jun 24, 2020 14:02:16.111330728 AEST","-60"
"12","Jun 24, 2020 14:02:16.213681434 AEST","-56"
"13","Jun 24, 2020 14:02:16.316148691 AEST","-50"
"14","Jun 24, 2020 14:02:16.419674810 AEST","-60"
"15","Jun 24, 2020 14:02:16.623318430 AEST","-58"
"16","Jun 24, 2020 14:02:16.828328435 AEST","-56"
"17","Jun 24, 2020 14:02:17.135341907 AEST","-56"
"18","Jun 24, 2020 14:02:17.262873697 AEST","-56"
"19","Jun 24, 2020 14:02:17.275088843 AEST","-58"
"20","Jun 24, 2020 14:02:17.278027871 AEST","-58"
"21","Jun 24, 2020 14:02:17.281017938 AEST","-58"
"22","Jun 24, 2020 14:02:17.285873332 AEST","-60"
"23","Jun 24, 2020 14:02:17.340139505 AEST","-58"
"24","Jun 24, 2020 14:02:17.545380365 AEST","-60"
"25","Jun 24, 2020 14:02:17.647330088 AEST","-56"
"26","Jun 24, 2020 14:02:17.749876090 AEST","-58"
"27","Jun 24, 2020 14:02:17.954703095 AEST","-56"
"28","Jun 24, 2020 14:02:18.159291573 AEST","-56"
"29","Jun 24, 2020 14:02:18.261796391 AEST","-56"
"30","Jun 24, 2020 14:02:18.466489201 AEST","-56"
"31","Jun 24, 2020 14:02:18.671245075 AEST","-56"
"32","Jun 24, 2020 14:02:18.773694599 AEST","-56"
"33","Jun 24, 2020 14:02:18.876302871 AEST","-56"
"34","Jun 24, 2020 14:02:18.978536091 AEST","-56"
"35","Jun 24, 2020 14:02:19.081415043 AEST","-56"
"36","Jun 24, 2020 14:02:19.183225173 AEST","-56"
"37","Jun 24, 2020 14:02:19.286764338 AEST","-58"
"38","Jun 24, 2020 14:02:19.389248175 AEST","-60"
"39","Jun 24, 2020 14:02:19.593104092 AEST","-60"
"40","Jun 24, 2020 14:02:19.695363582 AEST","-58"
"41","Jun 24, 2020 14:02:19.798823466 AEST","-60"
"42","Jun 24, 2020 14:02:19.900766223 AEST","-64"
"43","Jun 24, 2020 14:02:20.002904717 AEST","-60"
"44","Jun 24, 2020 14:02:20.104985075 AEST","-58"
"45","Jun 24, 2020 14:02:20.207294209 AEST","-60"
"46","Jun 24, 2020 14:02:20.309811781 AEST","-58"
"47","Jun 24, 2020 14:02:20.413304895 AEST","-58"
"48","Jun 24, 2020 14:02:20.514528555 AEST","-64"
"49","Jun 24, 2020 14:02:20.616907496 AEST","-58"
"50","Jun 24, 2020 14:02:20.720482783 AEST","-58"
"51","Jun 24, 2020 14:02:20.925446320 AEST","-64"
"52","Jun 24, 2020 14:02:21.026538243 AEST","-64"
"53","Jun 24, 2020 14:02:21.129471529 AEST","-60"
"54","Jun 24, 2020 14:02:21.231271419 AEST","-56"
"55","Jun 24, 2020 14:02:21.334770695 AEST","-56"
"56","Jun 24, 2020 14:02:21.436061463 AEST","-56"
"57","Jun 24, 2020 14:02:21.538683063 AEST","-64"
"58","Jun 24, 2020 14:02:21.640915938 AEST","-60"
"59","Jun 24, 2020 14:02:21.743262983 AEST","-60"
"60","Jun 24, 2020 14:02:21.948969291 AEST","-60"
"61","Jun 24, 2020 14:02:22.050488011 AEST","-58"
"62","Jun 24, 2020 14:02:22.255262872 AEST","-60"
"63","Jun 24, 2020 14:02:22.460090185 AEST","-56"
"64","Jun 24, 2020 14:02:22.562431796 AEST","-58"
"65","Jun 24, 2020 14:02:22.664858444 AEST","-64"
"66","Jun 24, 2020 14:02:22.767202151 AEST","-58"
"67","Jun 24, 2020 14:02:22.869811092 AEST","-60"
"68","Jun 24, 2020 14:02:22.972185232 AEST","-60"
"69","Jun 24, 2020 14:02:23.075331431 AEST","-58"
"70","Jun 24, 2020 14:02:23.248674706 AEST","-56"
"71","Jun 24, 2020 14:02:23.256002575 AEST","-58"
"72","Jun 24, 2020 14:02:23.261761401 AEST","-60"
"73","Jun 24, 2020 14:02:23.267464532 AEST","-60"
"74","Jun 24, 2020 14:02:23.282188296 AEST","-56"
"75","Jun 24, 2020 14:02:23.285468723 AEST","-56"
"76","Jun 24, 2020 14:02:23.291323118 AEST","-56"
"77","Jun 24, 2020 14:02:23.294161189 AEST","-56"
"78","Jun 24, 2020 14:02:23.303785121 AEST","-58"
"79","Jun 24, 2020 14:02:23.381636827 AEST","-58"
"80","Jun 24, 2020 14:02:23.484032004 AEST","-60"
"81","Jun 24, 2020 14:02:23.689015765 AEST","-60"
"82","Jun 24, 2020 14:02:23.791233972 AEST","-58"
"83","Jun 24, 2020 14:02:23.996131498 AEST","-58"
"84","Jun 24, 2020 14:02:24.098977207 AEST","-58"
"85","Jun 24, 2020 14:02:24.201423079 AEST","-58"
"86","Jun 24, 2020 14:02:24.303198207 AEST","-60"
"87","Jun 24, 2020 14:02:24.611619808 AEST","-58"
"88","Jun 24, 2020 14:02:24.712916262 AEST","-58"
"89","Jun 24, 2020 14:02:24.731306274 AEST","-56"
"90","Jun 24, 2020 14:02:24.737255128 AEST","-60"
"91","Jun 24, 2020 14:02:24.743468961 AEST","-58"
"92","Jun 24, 2020 14:02:24.746217152 AEST","-58"
"93","Jun 24, 2020 14:02:24.748867368 AEST","-60"
"94","Jun 24, 2020 14:02:24.752029803 AEST","-58"
"95","Jun 24, 2020 14:02:24.815257146 AEST","-58"
"96","Jun 24, 2020 14:02:25.122593427 AEST","-58"
"97","Jun 24, 2020 14:02:25.225407191 AEST","-60"
"98","Jun 24, 2020 14:02:25.327204970 AEST","-58"
"99","Jun 24, 2020 14:02:25.532069957 AEST","-58"
"100","Jun 24, 2020 14:02:25.634646340 AEST","-58"
"101","Jun 24, 2020 14:02:25.736958841 AEST","-58"
"102","Jun 24, 2020 14:02:25.941760854 AEST","-58"
"103","Jun 24, 2020 14:02:26.044566160 AEST","-56"
"104","Jun 24, 2020 14:02:26.248832265 AEST","-58"
"105","Jun 24, 2020 14:02:26.351329472 AEST","-56"
"106","Jun 24, 2020 14:02:26.453796230 AEST","-58"
"107","Jun 24, 2020 14:02:26.659129332 AEST","-64"
"108","Jun 24, 2020 14:02:26.760840283 AEST","-64"
"109","Jun 24, 2020 14:02:26.863560391 AEST","-64"
"110","Jun 24, 2020 14:02:27.068271434 AEST","-60"
"111","Jun 24, 2020 14:02:27.136007355 AEST","-56"
"112","Jun 24, 2020 14:02:27.140595392 AEST","-64"
"113","Jun 24, 2020 14:02:27.143873375 AEST","-56"
"114","Jun 24, 2020 14:02:27.145785857 AEST","-56"
"115","Jun 24, 2020 14:02:27.148509527 AEST","-56"
"116","Jun 24, 2020 14:02:27.273465688 AEST","-60"
"117","Jun 24, 2020 14:02:27.376439565 AEST","-60"
"118","Jun 24, 2020 14:02:27.477594988 AEST","-60"
"119","Jun 24, 2020 14:02:27.579986370 AEST","-60"
"120","Jun 24, 2020 14:02:27.682974222 AEST","-64"
"121","Jun 24, 2020 14:02:27.784970703 AEST","-60"
"122","Jun 24, 2020 14:02:27.887245861 AEST","-64"
"123","Jun 24, 2020 14:02:28.092124241 AEST","-64"
"124","Jun 24, 2020 14:02:28.195383671 AEST","-64"
"125","Jun 24, 2020 14:02:28.296842036 AEST","-60"
"126","Jun 24, 2020 14:02:28.706447549 AEST","-64"
"127","Jun 24, 2020 14:02:28.809422361 AEST","-60"
"128","Jun 24, 2020 14:02:28.911859555 AEST","-60"
"129","Jun 24, 2020 14:02:29.116200207 AEST","-60"
"130","Jun 24, 2020 14:02:29.218360576 AEST","-60"
"131","Jun 24, 2020 14:02:29.321413491 AEST","-58"
