frame.number,frame.time,wlan_radio.signal_dbm
"1","Jun 24, 2020 14:15:02.622519639 AEST","-48"
"2","Jun 24, 2020 14:15:02.725187759 AEST","-48"
"3","Jun 24, 2020 14:15:02.827778754 AEST","-50"
"4","Jun 24, 2020 14:15:02.929947047 AEST","-48"
"5","Jun 24, 2020 14:15:03.032190543 AEST","-48"
"6","Jun 24, 2020 14:15:03.135720383 AEST","-48"
"7","Jun 24, 2020 14:15:03.236919936 AEST","-48"
"8","Jun 24, 2020 14:15:03.339547097 AEST","-48"
"9","Jun 24, 2020 14:15:03.442881036 AEST","-48"
"10","Jun 24, 2020 14:15:03.544783179 AEST","-48"
"11","Jun 24, 2020 14:15:03.646641702 AEST","-48"
"12","Jun 24, 2020 14:15:03.749023347 AEST","-50"
"13","Jun 24, 2020 14:15:03.851283560 AEST","-48"
"14","Jun 24, 2020 14:15:03.954882620 AEST","-48"
"15","Jun 24, 2020 14:15:04.057263598 AEST","-48"
"16","Jun 24, 2020 14:15:04.159143785 AEST","-48"
"17","Jun 24, 2020 14:15:04.260928950 AEST","-48"
"18","Jun 24, 2020 14:15:04.363302137 AEST","-52"
"19","Jun 24, 2020 14:15:04.465803311 AEST","-56"
"20","Jun 24, 2020 14:15:04.569354723 AEST","-56"
"21","Jun 24, 2020 14:15:04.671772706 AEST","-52"
"22","Jun 24, 2020 14:15:04.773194463 AEST","-50"
"23","Jun 24, 2020 14:15:04.875911850 AEST","-50"
"24","Jun 24, 2020 14:15:04.977795924 AEST","-50"
"25","Jun 24, 2020 14:15:05.182527376 AEST","-48"
"26","Jun 24, 2020 14:15:05.284841548 AEST","-48"
"27","Jun 24, 2020 14:15:05.387389066 AEST","-50"
"28","Jun 24, 2020 14:15:05.592967250 AEST","-50"
"29","Jun 24, 2020 14:15:05.695304858 AEST","-50"
"30","Jun 24, 2020 14:15:05.799854796 AEST","-52"
"31","Jun 24, 2020 14:15:05.899500716 AEST","-48"
"32","Jun 24, 2020 14:15:06.001824360 AEST","-48"
"33","Jun 24, 2020 14:15:06.104467037 AEST","-48"
"34","Jun 24, 2020 14:15:06.206603920 AEST","-48"
"35","Jun 24, 2020 14:15:06.309133056 AEST","-48"
"36","Jun 24, 2020 14:15:06.411432327 AEST","-48"
